gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
236,22.6496,1.49612e-006,1.4829e-005,6.05245e-005,9.88915e-005,6.49275e-005,1.7071e-005,1.85396e-006,
237,22.9306,1.37079e-006,1.35876e-005,5.54617e-005,9.06262e-005,5.9506e-005,1.56471e-005,1.6995e-006,
238,23.2148,1.25427e-006,1.24335e-005,5.07541e-005,8.29401e-005,5.44638e-005,1.43226e-005,1.5558e-006,
239,23.5023,1.14611e-006,1.13619e-005,4.6383e-005,7.58026e-005,4.97809e-005,1.30922e-005,1.42231e-006,
240,23.7931,1.04583e-006,1.03685e-005,4.23306e-005,6.91848e-005,4.54384e-005,1.19512e-005,1.29847e-006,
241,24.0873,9.52961e-007,9.44875e-006,3.85797e-005,6.3063e-005,4.14255e-005,1.08988e-005,1.18466e-006,
242,24.3848,8.6699e-007,8.5973e-006,3.51076e-005,5.73956e-005,3.77094e-005,9.9233e-006,1.07896e-006,
243,24.6859,7.87547e-007,7.80998e-006,3.18941e-005,5.21429e-005,3.42559e-005,9.01241e-006,9.79385e-007,
244,24.9904,7.14359e-007,7.08451e-006,2.8933e-005,4.73051e-005,3.10804e-005,8.17786e-006,8.88826e-007,
245,25.2985,6.47052e-007,6.41729e-006,2.62093e-005,4.28542e-005,2.81576e-005,7.40933e-006,8.05365e-007,
246,25.6101,5.85247e-007,5.80458e-006,2.3708e-005,3.87664e-005,2.54732e-005,6.70333e-006,7.28668e-007,
247,25.9253,5.28577e-007,5.24275e-006,2.14144e-005,3.50178e-005,2.30114e-005,6.05594e-006,6.5835e-007,
248,26.2442,4.7669e-007,4.72833e-006,1.93141e-005,3.15851e-005,2.0757e-005,5.46301e-006,5.93939e-007,
