gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
246,25.6101,24.6897,24.8318,25.076,25.4906,26.1882,27.3551,29.3003,
247,25.9253,25.0044,25.1466,25.3908,25.8054,26.503,27.6699,29.6153,
248,26.2442,25.3228,25.465,25.7093,26.1239,26.8215,27.9884,29.9339,
249,26.5668,25.6449,25.7871,26.0314,26.446,27.1437,28.3106,30.2562,
250,26.8931,25.9707,26.113,26.3573,26.7719,27.4696,28.6365,30.5822,
251,27.2232,26.3003,26.4426,26.6869,27.1016,27.7993,28.9663,30.912,
252,27.5571,26.6338,26.7761,27.0204,27.4351,28.1328,29.2998,31.2456,
253,27.8949,26.9711,27.1135,27.3578,27.7725,28.4702,29.6373,31.5831,
254,28.2366,27.3124,27.4547,27.6991,28.1138,28.8115,29.9787,31.9244,
255,28.5823,27.6576,27.8,28.0444,28.4591,29.1568,30.324,32.2696,
256,28.932,28.0069,28.1492,28.3936,28.8084,29.5062,30.6734,32.6189,
257,29.2857,28.3602,28.5025,28.7469,29.1617,29.8595,31.0267,32.9723,
258,29.6435,28.7176,28.8599,29.1044,29.5191,30.217,31.3842,33.3298,
259,30.0055,29.0791,29.2215,29.4659,29.8807,30.5786,31.7458,33.6914,
260,30.3716,29.4449,29.5873,29.8317,30.2465,30.9444,32.1116,34.0572,
261,30.742,29.8149,29.9573,30.2017,30.6166,31.3144,32.4816,34.4273,
262,31.1167,30.1892,30.3316,30.576,30.9909,31.6888,32.856,34.8016,
263,31.4958,30.5678,30.7102,30.9547,31.3695,32.0674,33.2346,35.1802,
264,31.8792,30.9509,31.0933,31.3377,31.7526,32.4505,33.6177,35.5632,
265,32.267,31.3384,31.4808,31.7252,32.1401,32.838,34.0052,35.9507,
266,32.6594,31.7303,31.8728,32.1172,32.5321,33.2299,34.3971,36.3427,
267,33.0563,32.1269,32.2693,32.5137,32.9286,33.6265,34.7936,36.7391,
268,33.4578,32.528,32.6704,32.9149,33.3297,34.0276,35.1947,37.1403,
269,33.864,32.9337,33.0761,33.3206,33.7355,34.4333,35.6004,37.5461,
270,34.2748,33.3441,33.4866,33.7311,34.1459,34.8438,36.0109,37.9566,
271,34.6904,33.7593,33.9018,34.1463,34.5611,35.259,36.4261,38.3719,
272,35.1109,34.1794,34.3218,34.5663,34.9812,35.679,36.8462,38.792,
273,35.5362,34.6043,34.7467,34.9912,35.4061,36.1039,37.2711,39.217,
274,35.9664,35.0341,35.1765,35.421,35.8359,36.5338,37.701,39.6469,
275,36.4016,35.4689,35.6113,35.8558,36.2707,36.9686,38.1359,40.0817,
276,36.8419,35.9088,36.0512,36.2957,36.7106,37.4085,38.5758,40.5216,
277,37.2872,36.3537,36.4962,36.7407,37.1556,37.8535,39.0208,40.9666,
278,37.7377,36.8038,36.9463,37.1908,37.6057,38.3036,39.4709,41.4168,
279,38.1935,37.2592,37.4016,37.6462,38.0611,38.759,39.9263,41.8721,
280,38.6545,37.7198,37.8623,38.1068,38.5217,39.2197,40.3869,42.3326,
281,39.1209,38.1858,38.3283,38.5728,38.9877,39.6856,40.8529,42.7984,
282,39.5926,38.6572,38.7996,39.0442,39.4591,40.157,41.3243,43.2697,
283,40.0698,39.134,39.2765,39.521,39.9359,40.6339,41.8011,43.7465,
284,40.5526,39.6164,39.7589,40.0034,40.4183,41.1162,42.2834,44.2288,
285,41.0409,40.1043,40.2468,40.4914,40.9063,41.6042,42.7713,44.7167,
286,41.5349,40.5979,40.7404,40.985,41.3999,42.0978,43.2649,45.2102,
287,42.0347,41.0973,41.2398,41.4843,41.8992,42.5971,43.7642,45.7094,
288,42.5402,41.6024,41.7449,41.9894,42.4043,43.1022,44.2692,46.2144,
289,43.0516,42.1134,42.2559,42.5004,42.9153,43.6131,44.7801,46.7252,
290,43.5689,42.6303,42.7728,43.0173,43.4322,44.13,45.2969,47.242,
291,44.0922,43.1532,43.2957,43.5402,43.955,44.6528,45.8196,47.7647,
292,44.6215,43.6822,43.8247,44.0692,44.484,45.1817,46.3484,48.2935,
293,45.157,44.2173,44.3598,44.6042,45.019,45.7166,46.8832,48.8286,
294,45.6987,44.7586,44.901,45.1455,45.5602,46.2577,47.4243,49.3699,
295,46.2467,45.3062,45.4486,45.693,46.1076,46.805,47.9717,49.9174,
296,46.801,45.86,46.0024,46.2468,46.6613,47.3587,48.5255,50.4712,
297,47.3617,46.4203,46.5627,46.8069,47.2214,47.9188,49.0858,51.0316,
298,47.9289,46.987,47.1293,47.3735,47.788,48.4856,49.6526,51.5985,
299,48.5027,47.5603,47.7025,47.9467,48.3613,49.0589,50.2259,52.172,
300,49.0832,48.1402,48.2824,48.5266,48.9412,49.6389,50.806,52.7521,
301,49.6704,48.7268,48.869,49.1132,49.5279,50.2256,51.3928,53.3389,
302,50.2644,49.3202,49.4624,49.7067,50.1214,50.8191,51.9864,53.9325,
303,50.8652,49.9205,50.0627,50.307,50.7218,51.4196,52.5868,54.5331,
304,51.473,50.5278,50.67,50.9144,51.3291,52.027,53.1943,55.1406,
305,52.0879,51.1421,51.2844,51.5288,51.9436,52.6414,53.8088,55.7551,
306,52.7099,51.7636,51.9059,52.1503,52.5651,53.263,54.4304,56.3767,
307,53.3391,52.3924,52.5347,52.7791,53.1939,53.8918,55.0592,57.0055,
308,53.9756,53.0284,53.1707,53.4151,53.83,54.5279,55.6953,57.6417,
