gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
206,15.5645,-3.84724,-3.80934,-3.76622,-3.71698,-3.66066,-3.59629,-3.52262,
207,15.7633,-3.81324,-3.77583,-3.73328,-3.68468,-3.62909,-3.56556,-3.49283,
208,15.9645,-3.77931,-3.74238,-3.70039,-3.65244,-3.59757,-3.53487,-3.46307,
209,16.168,-3.74543,-3.70899,-3.66757,-3.62025,-3.56611,-3.50423,-3.43335,
210,16.3738,-3.71163,-3.67567,-3.63481,-3.58812,-3.5347,-3.47364,-3.40368,
211,16.5821,-3.67789,-3.64243,-3.60211,-3.55606,-3.50335,-3.4431,-3.37405,
212,16.7927,-3.64424,-3.60926,-3.56949,-3.52406,-3.47207,-3.41262,-3.34447,
213,17.0058,-3.61066,-3.57617,-3.53694,-3.49213,-3.44085,-3.38219,-3.31495,
214,17.2213,-3.57716,-3.54316,-3.50446,-3.46028,-3.40969,-3.35183,-3.28548,
215,17.4394,-3.54376,-3.51023,-3.47207,-3.42849,-3.37861,-3.32152,-3.25608,
216,17.66,-3.51044,-3.47738,-3.43975,-3.39679,-3.34759,-3.29129,-3.22675,
217,17.8831,-3.47721,-3.44463,-3.40752,-3.36516,-3.31665,-3.26112,-3.19747,
218,18.1088,-3.44408,-3.41196,-3.37537,-3.33361,-3.28578,-3.23102,-3.16826,
219,18.3372,-3.41104,-3.37939,-3.34332,-3.30215,-3.255,-3.20099,-3.13911,
220,18.5681,-3.3781,-3.34691,-3.31135,-3.27078,-3.22429,-3.17105,-3.11004,
221,18.8018,-3.34527,-3.31453,-3.27948,-3.23949,-3.19368,-3.14118,-3.08104,
222,19.0381,-3.31253,-3.28225,-3.24771,-3.2083,-3.16315,-3.11139,-3.05211,
223,19.2772,-3.27991,-3.25008,-3.21604,-3.1772,-3.13271,-3.08169,-3.02327,
224,19.5191,-3.2474,-3.21801,-3.18447,-3.14621,-3.10236,-3.05208,-2.99451,
225,19.7638,-3.215,-3.18606,-3.153,-3.11531,-3.07211,-3.02257,-2.96583,
226,20.0113,-3.18271,-3.15421,-3.12165,-3.08452,-3.04197,-2.99314,-2.93724,
227,20.2617,-3.15055,-3.12248,-3.09041,-3.05384,-3.01193,-2.96382,-2.90874,
228,20.5149,-3.11851,-3.09088,-3.05929,-3.02328,-2.98199,-2.9346,-2.88033,
229,20.7711,-3.08659,-3.05939,-3.0283,-2.99282,-2.95216,-2.90548,-2.85201,
230,21.0303,-3.05481,-3.02803,-2.99742,-2.96249,-2.92244,-2.87647,-2.82378,
231,21.2925,-3.02316,-2.9968,-2.96666,-2.93226,-2.89283,-2.84756,-2.79566,
232,21.5577,-2.99164,-2.9657,-2.93603,-2.90216,-2.86334,-2.81876,-2.76763,
233,21.826,-2.96026,-2.93474,-2.90553,-2.87218,-2.83396,-2.79007,-2.73971,
234,22.0974,-2.92901,-2.9039,-2.87515,-2.84233,-2.8047,-2.76148,-2.71189,
235,22.3719,-2.89791,-2.8732,-2.84491,-2.8126,-2.77556,-2.73302,-2.68417,
236,22.6496,-2.86695,-2.84264,-2.8148,-2.783,-2.74654,-2.70467,-2.65657,
237,22.9306,-2.83614,-2.81222,-2.78483,-2.75353,-2.71765,-2.67643,-2.62907,
238,23.2148,-2.80548,-2.78194,-2.75499,-2.72419,-2.68889,-2.64832,-2.60169,
239,23.5023,-2.77497,-2.75181,-2.72529,-2.69499,-2.66025,-2.62033,-2.57443,
240,23.7931,-2.74461,-2.72182,-2.69574,-2.66593,-2.63175,-2.59247,-2.5473,
241,24.0873,-2.7144,-2.69199,-2.66633,-2.637,-2.60338,-2.56473,-2.52028,
242,24.3848,-2.68435,-2.6623,-2.63707,-2.60822,-2.57514,-2.53712,-2.49339,
243,24.6859,-2.65446,-2.63277,-2.60796,-2.57958,-2.54705,-2.50964,-2.46662,
244,24.9904,-2.62472,-2.60339,-2.57899,-2.55108,-2.51909,-2.4823,-2.43998,
245,25.2985,-2.59514,-2.57417,-2.55018,-2.52274,-2.49127,-2.45509,-2.41346,
246,25.6101,-2.56573,-2.54511,-2.52153,-2.49454,-2.4636,-2.42801,-2.38708,
247,25.9253,-2.53648,-2.51621,-2.49303,-2.4665,-2.43608,-2.40108,-2.36082,
248,26.2442,-2.5074,-2.48747,-2.46469,-2.4386,-2.4087,-2.37429,-2.3347,
