gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
119,4.70108,-7.22547,-6.86054,-6.43319,-5.93662,-5.36132,-4.70218,-3.96956,
120,4.77408,-7.18223,-6.82187,-6.39941,-5.90786,-5.33761,-4.6834,-3.95538,
121,4.84793,-7.13911,-6.78328,-6.36562,-5.87906,-5.31382,-4.66452,-3.94114,
122,4.92263,-7.0961,-6.74474,-6.33183,-5.85021,-5.28996,-4.64555,-3.92682,
123,4.99819,-7.05322,-6.70625,-6.29805,-5.82132,-5.26602,-4.6265,-3.91241,
124,5.07463,-7.01044,-6.66781,-6.26427,-5.79238,-5.242,-4.60738,-3.89795,
125,5.15196,-6.96777,-6.62943,-6.23048,-5.76339,-5.21791,-4.58818,-3.88339,
126,5.23019,-6.92521,-6.5911,-6.1967,-5.73437,-5.19375,-4.56889,-3.86874,
127,5.30931,-6.88276,-6.55282,-6.16291,-5.7053,-5.16953,-4.5495,-3.85404,
128,5.38936,-6.84042,-6.51459,-6.12913,-5.67619,-5.14525,-4.53004,-3.83924,
129,5.47033,-6.79817,-6.47641,-6.09534,-5.64704,-5.12089,-4.51052,-3.82437,
130,5.55225,-6.75605,-6.43828,-6.06154,-5.61785,-5.09648,-4.49092,-3.80944,
131,5.63511,-6.71407,-6.4002,-6.02775,-5.58862,-5.07199,-4.47123,-3.7944,
132,5.71893,-6.67217,-6.36216,-5.99395,-5.55935,-5.04744,-4.45146,-3.7793,
133,5.80372,-6.63037,-6.32416,-5.96016,-5.53004,-5.02282,-4.43161,-3.76414,
134,5.88949,-6.58866,-6.28622,-5.92636,-5.50069,-4.99813,-4.41171,-3.74887,
135,5.97626,-6.54704,-6.24833,-5.89256,-5.4713,-4.97337,-4.39172,-3.73356,
136,6.06403,-6.50551,-6.21049,-5.85876,-5.44187,-4.94855,-4.37164,-3.71817,
137,6.15282,-6.46406,-6.17269,-5.82497,-5.4124,-4.92368,-4.35149,-3.70269,
138,6.24264,-6.4227,-6.13493,-5.79118,-5.38291,-4.89875,-4.33127,-3.68714,
139,6.3335,-6.38143,-6.09721,-5.75739,-5.35338,-4.87377,-4.31099,-3.67153,
140,6.42541,-6.34024,-6.05953,-5.7236,-5.32382,-4.84872,-4.29063,-3.65582,
141,6.51839,-6.29914,-6.02189,-5.68981,-5.29422,-4.8236,-4.27019,-3.64006,
142,6.61244,-6.25814,-5.9843,-5.65602,-5.26459,-4.79843,-4.24968,-3.62423,
143,6.70758,-6.21723,-5.94674,-5.62224,-5.23493,-4.77321,-4.22908,-3.60831,
144,6.80383,-6.17641,-5.90922,-5.58846,-5.20523,-4.74793,-4.20845,-3.59232,
145,6.90119,-6.13567,-5.87175,-5.55468,-5.17551,-4.72259,-4.18774,-3.57629,
146,6.99968,-6.095,-5.83431,-5.5209,-5.14576,-4.6972,-4.16697,-3.56016,
147,7.0993,-6.05441,-5.79691,-5.48713,-5.11597,-4.67174,-4.14611,-3.54396,
148,7.20009,-6.0139,-5.75955,-5.45336,-5.08616,-4.64624,-4.12519,-3.52773,
149,7.30204,-5.97345,-5.72224,-5.41959,-5.05631,-4.62068,-4.10421,-3.5114,
150,7.40517,-5.93309,-5.68499,-5.38583,-5.02645,-4.5951,-4.08319,-3.49499,
151,7.5095,-5.8928,-5.64777,-5.35207,-4.99656,-4.56946,-4.06209,-3.47854,
152,7.61503,-5.85259,-5.6106,-5.31832,-4.96665,-4.54377,-4.04093,-3.46203,
153,7.72179,-5.81244,-5.57346,-5.28457,-4.93671,-4.51803,-4.01969,-3.44543,
154,7.82979,-5.77238,-5.53635,-5.25083,-4.90675,-4.49225,-3.9984,-3.42877,
155,7.93903,-5.73241,-5.49929,-5.21711,-4.87677,-4.46642,-3.97706,-3.41208,
156,8.04955,-5.69251,-5.46228,-5.18339,-4.84677,-4.44054,-3.95567,-3.39531,
157,8.16134,-5.65269,-5.4253,-5.14967,-4.81675,-4.41462,-3.93422,-3.37845,
158,8.27443,-5.61295,-5.38836,-5.11597,-4.78671,-4.38866,-3.91271,-3.36157,
159,8.38882,-5.57328,-5.35147,-5.08228,-4.75666,-4.36267,-3.89113,-3.34463,
160,8.50455,-5.53367,-5.31461,-5.0486,-4.72658,-4.33663,-3.86949,-3.3276,
161,8.62161,-5.49414,-5.2778,-5.01494,-4.6965,-4.31056,-3.8478,-3.31051,
162,8.74003,-5.45468,-5.24103,-4.98128,-4.6664,-4.28445,-3.82609,-3.29339,
163,8.85982,-5.41529,-5.2043,-4.94764,-4.63628,-4.2583,-3.80432,-3.2762,
164,8.981,-5.37597,-5.16762,-4.91403,-4.60616,-4.23213,-3.7825,-3.25893,
165,9.10358,-5.33673,-5.13099,-4.88043,-4.57603,-4.20594,-3.76062,-3.24162,
166,9.22759,-5.29755,-5.09441,-4.84685,-4.5459,-4.17971,-3.7387,-3.22429,
167,9.35303,-5.25845,-5.05788,-4.81329,-4.51576,-4.15346,-3.71671,-3.20688,
168,9.47992,-5.21943,-5.0214,-4.77976,-4.48562,-4.12717,-3.6947,-3.18941,
169,9.60828,-5.1805,-4.98496,-4.74625,-4.45547,-4.10085,-3.67266,-3.1719,
170,9.73813,-5.14165,-4.94858,-4.71276,-4.42532,-4.07451,-3.65058,-3.15436,
171,9.86949,-5.10286,-4.91225,-4.6793,-4.39516,-4.04814,-3.62845,-3.13675,
172,10.0024,-5.06416,-4.87597,-4.64586,-4.36501,-4.02176,-3.60628,-3.11908,
173,10.1368,-5.02553,-4.83974,-4.61245,-4.33486,-3.99534,-3.58407,-3.10137,
174,10.2728,-4.98698,-4.80356,-4.57907,-4.30471,-3.96891,-3.56182,-3.08364,
175,10.4103,-4.94851,-4.76744,-4.54571,-4.27457,-3.94246,-3.53953,-3.06584,
176,10.5494,-4.91012,-4.73137,-4.51239,-4.24443,-3.916,-3.51723,-3.04798,
177,10.6902,-4.87181,-4.69536,-4.47909,-4.2143,-3.88952,-3.49489,-3.03008,
178,10.8326,-4.83357,-4.65941,-4.44583,-4.18417,-3.86302,-3.47252,-3.01218,
179,10.9766,-4.79542,-4.62351,-4.41261,-4.15406,-3.83652,-3.45011,-2.99422,
180,11.1223,-4.75735,-4.58767,-4.37941,-4.12396,-3.81001,-3.42768,-2.97621,
181,11.2697,-4.71935,-4.55189,-4.34626,-4.09388,-3.78349,-3.40521,-2.95816,
182,11.4188,-4.68145,-4.51617,-4.31314,-4.06381,-3.75696,-3.38272,-2.9401,
183,11.5696,-4.64364,-4.48053,-4.28007,-4.03375,-3.73044,-3.36021,-2.922,
184,11.7222,-4.60592,-4.44496,-4.24703,-4.00372,-3.70392,-3.3377,-2.90385,
185,11.8766,-4.56829,-4.40945,-4.21404,-3.97371,-3.67739,-3.31517,-2.88565,
186,12.0327,-4.53075,-4.374,-4.18109,-3.94372,-3.65086,-3.29261,-2.86744,
187,12.1906,-4.49329,-4.33863,-4.14819,-3.91376,-3.62434,-3.27003,-2.84922,
188,12.3504,-4.45592,-4.30333,-4.11534,-3.88382,-3.59781,-3.24742,-2.83096,
189,12.512,-4.41865,-4.2681,-4.08253,-3.85391,-3.5713,-3.2248,-2.81265,
190,12.6755,-4.38147,-4.23294,-4.04978,-3.82402,-3.54479,-3.20217,-2.7943,
191,12.8409,-4.34439,-4.19786,-4.01709,-3.79417,-3.51829,-3.17952,-2.77596,
192,13.0082,-4.3074,-4.16285,-3.98444,-3.76435,-3.4918,-3.15689,-2.7576,
193,13.1774,-4.2705,-4.12792,-3.95185,-3.73456,-3.46532,-3.13426,-2.73921,
194,13.3486,-4.23371,-4.09306,-3.91934,-3.70482,-3.43885,-3.11161,-2.72078,
195,13.5218,-4.19701,-4.05829,-3.88688,-3.67511,-3.4124,-3.08896,-2.70233,
196,13.697,-4.16041,-4.0236,-3.85448,-3.64544,-3.38597,-3.06631,-2.68388,
197,13.8742,-4.12391,-3.98899,-3.82215,-3.61582,-3.35956,-3.04365,-2.66542,
198,14.0535,-4.08752,-3.95447,-3.78989,-3.58623,-3.33317,-3.02099,-2.64694,
199,14.2348,-4.05123,-3.92004,-3.75769,-3.5567,-3.3068,-2.99833,-2.62842,
