gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
117,45.3631,39.3857,39.3857,39.3857,39.3857,39.3857,39.3521,39.3521,39.3521,39.3521,39.3521,39.3139,39.3139,39.3139,39.3139,39.3139,39.2731,39.2731,39.2731,39.2731,39.2731,39.2323,39.2323,39.2323,39.2323,39.2323
118,46.7394,40.6354,40.6354,40.6354,40.6354,40.6354,40.6019,40.6019,40.6019,40.6019,40.6019,40.5636,40.5636,40.5636,40.5636,40.5636,40.5228,40.5228,40.5228,40.5228,40.5228,40.4821,40.4821,40.4821,40.4821,40.4821
119,48.1559,41.9223,41.9223,41.9223,41.9223,41.9223,41.8888,41.8888,41.8888,41.8888,41.8888,41.8506,41.8506,41.8506,41.8506,41.8506,41.8097,41.8097,41.8097,41.8097,41.8097,41.7691,41.7691,41.7691,41.7691,41.7691
120,49.614,43.2475,43.2475,43.2475,43.2475,43.2475,43.214,43.214,43.214,43.214,43.214,43.1758,43.1758,43.1758,43.1758,43.1758,43.135,43.135,43.135,43.135,43.135,43.0944,43.0944,43.0944,43.0944,43.0944
121,51.1148,44.612,44.612,44.612,44.612,44.612,44.5786,44.5786,44.5786,44.5786,44.5786,44.5404,44.5404,44.5404,44.5404,44.5404,44.4996,44.4996,44.4996,44.4996,44.4996,44.4591,44.4591,44.4591,44.4591,44.4591
122,52.6596,46.0172,46.0172,46.0172,46.0172,46.0172,45.9838,45.9838,45.9838,45.9838,45.9838,45.9456,45.9456,45.9456,45.9456,45.9456,45.9047,45.9047,45.9047,45.9047,45.9047,45.8643,45.8643,45.8643,45.8643,45.8643
123,54.2497,47.4641,47.4641,47.4641,47.4641,47.4641,47.4308,47.4308,47.4308,47.4308,47.4308,47.3926,47.3926,47.3926,47.3926,47.3926,47.3517,47.3517,47.3517,47.3517,47.3517,47.3114,47.3114,47.3114,47.3114,47.3114
124,55.8863,48.9539,48.9539,48.9539,48.9539,48.9539,48.9206,48.9206,48.9206,48.9206,48.9206,48.8825,48.8825,48.8825,48.8825,48.8825,48.8417,48.8417,48.8417,48.8417,48.8417,48.8014,48.8014,48.8014,48.8014,48.8014
125,57.5709,50.4878,50.4878,50.4878,50.4878,50.4878,50.4546,50.4546,50.4546,50.4546,50.4546,50.4165,50.4165,50.4165,50.4165,50.4165,50.3757,50.3757,50.3757,50.3757,50.3757,50.3355,50.3355,50.3355,50.3355,50.3355
126,59.3049,52.0673,52.0673,52.0673,52.0673,52.0673,52.0341,52.0341,52.0341,52.0341,52.0341,51.9961,51.9961,51.9961,51.9961,51.9961,51.9554,51.9554,51.9554,51.9554,51.9554,51.915,51.915,51.915,51.915,51.915
127,61.0897,53.6935,53.6935,53.6935,53.6935,53.6935,53.6604,53.6604,53.6604,53.6604,53.6604,53.6225,53.6225,53.6225,53.6225,53.6225,53.5818,53.5818,53.5818,53.5818,53.5818,53.5415,53.5415,53.5415,53.5415,53.5415
128,62.9268,55.368,55.368,55.368,55.368,55.368,55.335,55.335,55.335,55.335,55.335,55.2971,55.2971,55.2971,55.2971,55.2971,55.2565,55.2565,55.2565,55.2565,55.2565,55.2162,55.2162,55.2162,55.2162,55.2162
129,64.8177,57.0921,57.0921,57.0921,57.0921,57.0921,57.0592,57.0592,57.0592,57.0592,57.0592,57.0214,57.0214,57.0214,57.0214,57.0214,56.9809,56.9809,56.9809,56.9809,56.9809,56.9405,56.9405,56.9405,56.9405,56.9405
130,66.7641,58.8673,58.8673,58.8673,58.8673,58.8673,58.8345,58.8345,58.8345,58.8345,58.8345,58.7968,58.7968,58.7968,58.7968,58.7968,58.7563,58.7563,58.7563,58.7563,58.7563,58.7159,58.7159,58.7159,58.7159,58.7159
131,68.7675,60.6949,60.6949,60.6949,60.6949,60.6949,60.6622,60.6622,60.6622,60.6622,60.6622,60.6247,60.6247,60.6247,60.6247,60.6247,60.5843,60.5843,60.5843,60.5843,60.5843,60.5439,60.5439,60.5439,60.5439,60.5439
132,70.8295,62.5766,62.5766,62.5766,62.5766,62.5766,62.544,62.544,62.544,62.544,62.544,62.5066,62.5066,62.5066,62.5066,62.5066,62.4663,62.4663,62.4663,62.4663,62.4663,62.426,62.426,62.426,62.426,62.426
133,72.9521,64.5139,64.5139,64.5139,64.5139,64.5139,64.4814,64.4814,64.4814,64.4814,64.4814,64.4441,64.4441,64.4441,64.4441,64.4441,64.4038,64.4038,64.4038,64.4038,64.4038,64.3637,64.3637,64.3637,64.3637,64.3637
134,75.1368,66.5086,66.5086,66.5086,66.5086,66.5086,66.4762,66.4762,66.4762,66.4762,66.4762,66.439,66.439,66.439,66.439,66.439,66.3988,66.3988,66.3988,66.3988,66.3988,66.3588,66.3588,66.3588,66.3588,66.3588
135,77.3855,68.5622,68.5622,68.5622,68.5622,68.5622,68.5299,68.5299,68.5299,68.5299,68.5299,68.4929,68.4929,68.4929,68.4929,68.4929,68.4529,68.4529,68.4529,68.4529,68.4529,68.4129,68.4129,68.4129,68.4129,68.4129
