gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
35,0.804452,0.670325,0.706289,0.749259,0.802445,0.867609,0.947329,1.04546,0.673837,0.709727,0.752719,0.805836,0.870974,0.950682,1.04866,0.677361,0.713165,0.756191,0.809244,0.874339,0.954036,1.05187,0.680884,0.716602,0.759663,0.812652,0.877704,0.957389,1.05508,0.684407,0.72004,0.763134,0.81606,0.881069,0.960743,1.05829,0.687931,0.723473,0.766606,0.819468,0.884434,0.964096,1.06149,0.691454,0.726864,0.770077,0.822876,0.887799,0.96745,1.0647
36,0.832192,0.695227,0.730705,0.774225,0.827671,0.893203,0.973461,1.07077,0.698816,0.734142,0.777672,0.830981,0.896343,0.976617,1.07386,0.70237,0.737579,0.781114,0.8343,0.899483,0.979725,1.07695,0.705923,0.741017,0.784557,0.837625,0.902623,0.982832,1.08005,0.709477,0.744454,0.787999,0.84095,0.905763,0.98594,1.08314,0.713031,0.747891,0.791441,0.844275,0.908903,0.989047,1.08623,0.716585,0.751374,0.794884,0.847599,0.912043,0.992155,1.08932
37,0.860254,0.721375,0.756698,0.800592,0.854234,0.919036,0.999441,1.09635,0.724506,0.759843,0.803631,0.857148,0.921934,1.00235,1.09935,0.727602,0.762987,0.806696,0.860062,0.924832,1.00527,1.10237,0.730699,0.766132,0.80977,0.862956,0.92773,1.00816,1.10538,0.733795,0.769277,0.812843,0.865849,0.930628,1.01105,1.10839,0.736892,0.772422,0.815917,0.868742,0.933526,1.01394,1.1114,0.739989,0.775567,0.818991,0.871635,0.936424,1.01683,1.11441
38,0.888641,0.746045,0.782064,0.826443,0.879454,0.944257,1.02463,1.12212,0.749169,0.785296,0.829463,0.882442,0.947267,1.02762,1.12515,0.75241,0.788528,0.832482,0.885431,0.950321,1.0306,1.12819,0.755687,0.791761,0.835483,0.888419,0.953375,1.03359,1.13127,0.758964,0.794993,0.838483,0.891393,0.956428,1.03658,1.13435,0.762241,0.798225,0.841484,0.894366,0.959482,1.0396,1.13742,0.765518,0.801457,0.844485,0.897339,0.962535,1.04262,1.1405
39,0.917356,0.77249,0.808392,0.852054,0.904837,0.969996,1.04951,1.14753,0.775631,0.811537,0.855152,0.907906,0.973229,1.05286,1.15096,0.778757,0.814682,0.85825,0.910975,0.976453,1.05621,1.15438,0.781869,0.817827,0.861332,0.914043,0.979643,1.05957,1.1578,0.784981,0.820971,0.864387,0.917112,0.982833,1.06292,1.16119,0.788094,0.824116,0.867442,0.92019,0.986023,1.06627,1.16454,0.791206,0.827261,0.870498,0.923269,0.989213,1.06962,1.16789
40,0.946404,0.798524,0.834613,0.877681,0.930508,0.996286,1.07596,1.17375,0.801734,0.837801,0.880832,0.933685,0.999495,1.07924,1.17721,0.804955,0.84099,0.883984,0.936861,1.0027,1.08253,1.18067,0.808229,0.844178,0.887136,0.940038,1.00591,1.08582,1.18413,0.811503,0.847367,0.890296,0.943214,1.0091,1.0891,1.18759,0.814777,0.850555,0.893462,0.946391,1.0123,1.09239,1.19104,0.818052,0.853744,0.896628,0.949625,1.01549,1.09568,1.19459
41,0.975789,0.82444,0.859965,0.902806,0.955936,1.02172,1.10147,1.19999,0.828075,0.86344,0.906322,0.959528,1.02527,1.10515,1.20373,0.83171,0.866909,0.909838,0.96312,1.02882,1.10882,1.20747,0.835259,0.870379,0.913354,0.966711,1.03236,1.1125,1.21122,0.838794,0.873848,0.91687,0.970303,1.03591,1.11618,1.21496,0.842329,0.877317,0.92038,0.973895,1.0395,1.11986,1.2187,0.845864,0.880786,0.923888,0.977474,1.04308,1.12353,1.22245
42,1.00551,0.851003,0.885829,0.928731,0.982133,1.0475,1.12718,1.22619,0.854646,0.889415,0.932433,0.985982,1.05145,1.13136,1.23046,0.858289,0.893038,0.936135,0.989831,1.05541,1.13556,1.23473,0.861888,0.896661,0.939836,0.99368,1.05936,1.13975,1.23899,0.865436,0.900285,0.943538,0.997529,1.06332,1.14395,1.24326,0.868983,0.903908,0.947256,1.00138,1.06727,1.14815,1.24753,0.872531,0.907531,0.95103,1.00523,1.07121,1.15234,1.2518
43,1.03558,0.876943,0.911505,0.954268,1.00792,1.07365,1.15429,1.25378,0.880684,0.915504,0.958516,1.01224,1.07798,1.1587,1.25827,0.884425,0.919483,0.962764,1.01655,1.08232,1.16305,1.26277,0.888166,0.923447,0.967013,1.02087,1.08665,1.16739,1.26726,0.891977,0.92741,0.971261,1.02519,1.09098,1.17173,1.27176,0.895798,0.931374,0.975509,1.0295,1.09532,1.17608,1.27626,0.899619,0.935337,0.979747,1.03382,1.09967,1.18042,1.28076
44,1.066,0.903508,0.938119,0.981219,1.03502,1.10089,1.18162,1.28229,0.907442,0.942199,0.985673,1.03951,1.10538,1.18609,1.28683,0.911375,0.946279,0.990126,1.044,1.10988,1.19056,1.2913,0.915308,0.950451,0.99458,1.04849,1.11437,1.1951,1.29573,0.91921,0.954627,0.999034,1.05299,1.11887,1.19965,1.30016,0.923078,0.958802,1.00349,1.05748,1.12336,1.20421,1.30458,0.926946,0.962977,1.00794,1.06197,1.12786,1.20876,1.30901
