gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
83,15.9899,13.3524,13.3524,13.3524,13.3219,13.3219,13.3219,13.2858,13.2858,13.2858,13.2457,13.2457,13.2457,13.2044,13.2044,13.2044
84,16.5054,13.818,13.818,13.818,13.7876,13.7876,13.7876,13.7516,13.7516,13.7516,13.7115,13.7115,13.7115,13.6701,13.6701,13.6701
85,17.036,14.2976,14.2976,14.2976,14.2674,14.2674,14.2674,14.2315,14.2315,14.2315,14.1915,14.1915,14.1915,14.1503,14.1503,14.1503
86,17.5821,14.7915,14.7915,14.7915,14.7614,14.7614,14.7614,14.7257,14.7257,14.7257,14.6859,14.6859,14.6859,14.6447,14.6447,14.6447
87,18.1442,15.3001,15.3001,15.3001,15.2701,15.2701,15.2701,15.2345,15.2345,15.2345,15.1948,15.1948,15.1948,15.1539,15.1539,15.1539
88,18.7228,15.8239,15.8239,15.8239,15.794,15.794,15.794,15.7586,15.7586,15.7586,15.719,15.719,15.719,15.6783,15.6783,15.6783
89,19.3184,16.3634,16.3634,16.3634,16.3336,16.3336,16.3336,16.2982,16.2982,16.2982,16.2589,16.2589,16.2589,16.2185,16.2185,16.2185
90,19.9314,16.9188,16.9188,16.9188,16.8891,16.8891,16.8891,16.854,16.854,16.854,16.8149,16.8149,16.8149,16.7747,16.7747,16.7747
91,20.5623,17.4909,17.4909,17.4909,17.4613,17.4613,17.4613,17.4263,17.4263,17.4263,17.3874,17.3874,17.3874,17.3474,17.3474,17.3474
92,21.2118,18.08,18.08,18.08,18.0506,18.0506,18.0506,18.0158,18.0158,18.0158,17.977,17.977,17.977,17.9372,17.9372,17.9372
93,21.8803,18.6866,18.6866,18.6866,18.6573,18.6573,18.6573,18.6226,18.6226,18.6226,18.5841,18.5841,18.5841,18.5443,18.5443,18.5443
94,22.5684,19.3114,19.3114,19.3114,19.2822,19.2822,19.2822,19.2476,19.2476,19.2476,19.2091,19.2091,19.2091,19.1694,19.1694,19.1694
95,23.2766,19.9549,19.9549,19.9549,19.9258,19.9258,19.9258,19.8913,19.8913,19.8913,19.8529,19.8529,19.8529,19.8132,19.8132,19.8132
96,24.0056,20.6174,20.6174,20.6174,20.5885,20.5885,20.5885,20.5542,20.5542,20.5542,20.5158,20.5158,20.5158,20.4763,20.4763,20.4763
97,24.756,21.2993,21.2993,21.2993,21.2706,21.2706,21.2706,21.2365,21.2365,21.2365,21.1984,21.1984,21.1984,21.159,21.159,21.159
98,25.5283,22.0014,22.0014,22.0014,21.9727,21.9727,21.9727,21.9387,21.9387,21.9387,21.9008,21.9008,21.9008,21.8618,21.8618,21.8618
99,26.3233,22.7246,22.7246,22.7246,22.6959,22.6959,22.6959,22.6619,22.6619,22.6619,22.6241,22.6241,22.6241,22.5852,22.5852,22.5852
100,27.1416,23.4692,23.4692,23.4692,23.4405,23.4405,23.4405,23.4065,23.4065,23.4065,23.3687,23.3687,23.3687,23.3298,23.3298,23.3298
101,27.9838,24.236,24.236,24.236,24.2073,24.2073,24.2073,24.1734,24.1734,24.1734,24.1356,24.1356,24.1356,24.0968,24.0968,24.0968
102,28.8508,25.0255,25.0255,25.0255,24.9969,24.9969,24.9969,24.9631,24.9631,24.9631,24.9255,24.9255,24.9255,24.8868,24.8868,24.8868
103,29.7431,25.8385,25.8385,25.8385,25.81,25.81,25.81,25.7763,25.7763,25.7763,25.7389,25.7389,25.7389,25.7002,25.7002,25.7002
104,30.6616,26.6756,26.6756,26.6756,26.6471,26.6471,26.6471,26.6135,26.6135,26.6135,26.5762,26.5762,26.5762,26.5377,26.5377,26.5377
105,31.607,27.5375,27.5375,27.5375,27.5091,27.5091,27.5091,27.4756,27.4756,27.4756,27.4383,27.4383,27.4383,27.4,27.4,27.4
106,32.5802,28.4251,28.4251,28.4251,28.3967,28.3967,28.3967,28.3632,28.3632,28.3632,28.326,28.326,28.326,28.2877,28.2877,28.2877
107,33.5818,29.339,29.339,29.339,29.3106,29.3106,29.3106,29.2772,29.2772,29.2772,29.2401,29.2401,29.2401,29.2018,29.2018,29.2018
108,34.6128,30.2799,30.2799,30.2799,30.2517,30.2517,30.2517,30.2183,30.2183,30.2183,30.1812,30.1812,30.1812,30.1431,30.1431,30.1431
109,35.674,31.2488,31.2488,31.2488,31.2206,31.2206,31.2206,31.1873,31.1873,31.1873,31.1503,31.1503,31.1503,31.1122,31.1122,31.1122
110,36.7663,32.2463,32.2463,32.2463,32.2183,32.2183,32.2183,32.1851,32.1851,32.1851,32.1481,32.1481,32.1481,32.1102,32.1102,32.1102
111,37.8906,33.2733,33.2733,33.2733,33.2453,33.2453,33.2453,33.2122,33.2122,33.2122,33.1754,33.1754,33.1754,33.1376,33.1376,33.1376
112,39.0479,34.3307,34.3307,34.3307,34.3027,34.3027,34.3027,34.2697,34.2697,34.2697,34.233,34.233,34.233,34.1953,34.1953,34.1953
113,40.239,35.4194,35.4194,35.4194,35.3914,35.3914,35.3914,35.3584,35.3584,35.3584,35.3218,35.3218,35.3218,35.2842,35.2842,35.2842
114,41.4651,36.5402,36.5402,36.5402,36.5123,36.5123,36.5123,36.4793,36.4793,36.4793,36.4427,36.4427,36.4427,36.4052,36.4052,36.4052
115,42.7271,37.6941,37.6941,37.6941,37.6663,37.6663,37.6663,37.6335,37.6335,37.6335,37.5969,37.5969,37.5969,37.5594,37.5594,37.5594
116,44.0261,38.8822,38.8822,38.8822,38.8545,38.8545,38.8545,38.8217,38.8217,38.8217,38.7852,38.7852,38.7852,38.7477,38.7477,38.7477
117,45.3631,40.1053,40.1053,40.1053,40.0777,40.0777,40.0777,40.045,40.045,40.045,40.0086,40.0086,40.0086,39.9712,39.9712,39.9712
