gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
338,76.916,-0.261817,-0.261398,-0.260921,-0.260372,-0.259733,-0.258986,-0.258109,-0.261815,-0.261396,-0.260919,-0.26037,-0.259731,-0.258984,-0.258107,-0.261813,-0.261394,-0.260917,-0.260368,-0.25973,-0.258982,-0.258105,-0.261811,-0.261392,-0.260915,-0.260366,-0.259727,-0.25898,-0.258103,-0.257527,-0.257116,-0.256642,-0.256101,-0.255475,-0.254742,-0.253881,-0.253345,-0.252943,-0.252478,-0.251939,-0.251324,-0.250605,-0.249761,-0.249271,-0.248877,-0.248422,-0.247893,-0.24728,-0.246575,-0.245746
339,77.8256,-0.25623,-0.255824,-0.255363,-0.254831,-0.254213,-0.253489,-0.25264,-0.256228,-0.255822,-0.255361,-0.25483,-0.254211,-0.253487,-0.252638,-0.256226,-0.255821,-0.255359,-0.254828,-0.254209,-0.253486,-0.252636,-0.256224,-0.255818,-0.255357,-0.254825,-0.254207,-0.253483,-0.252634,-0.252027,-0.25163,-0.251171,-0.250647,-0.250041,-0.249331,-0.248498,-0.247931,-0.247542,-0.247092,-0.24657,-0.245974,-0.245278,-0.244461,-0.24394,-0.243558,-0.243117,-0.242606,-0.242012,-0.24133,-0.240527
340,78.7458,-0.250758,-0.250366,-0.249919,-0.249405,-0.248806,-0.248105,-0.247283,-0.250756,-0.250364,-0.249917,-0.249403,-0.248804,-0.248103,-0.247281,-0.250755,-0.250362,-0.249916,-0.249401,-0.248802,-0.248102,-0.247279,-0.250752,-0.25036,-0.249913,-0.249399,-0.2488,-0.248099,-0.247277,-0.246641,-0.246256,-0.245812,-0.245305,-0.244718,-0.244031,-0.243224,-0.242629,-0.242252,-0.241816,-0.241311,-0.240734,-0.240061,-0.239269,-0.238719,-0.23835,-0.237923,-0.237427,-0.236853,-0.236192,-0.235415
341,79.6766,-0.2454,-0.24502,-0.244588,-0.244089,-0.243509,-0.242831,-0.242035,-0.245398,-0.245018,-0.244586,-0.244088,-0.243508,-0.242829,-0.242033,-0.245396,-0.245016,-0.244584,-0.244086,-0.243506,-0.242828,-0.242031,-0.245394,-0.245014,-0.244582,-0.244084,-0.243504,-0.242825,-0.242029,-0.241367,-0.240994,-0.240564,-0.240074,-0.239505,-0.23884,-0.238059,-0.237436,-0.237071,-0.23665,-0.236161,-0.235602,-0.23495,-0.234184,-0.233607,-0.233249,-0.232836,-0.232356,-0.2318,-0.23116,-0.230408
342,80.6182,-0.240152,-0.239784,-0.239366,-0.238884,-0.238322,-0.237665,-0.236895,-0.24015,-0.239782,-0.239364,-0.238882,-0.23832,-0.237664,-0.236893,-0.240149,-0.23978,-0.239362,-0.23888,-0.238319,-0.237662,-0.236891,-0.240146,-0.239778,-0.23936,-0.238878,-0.238316,-0.23766,-0.236889,-0.236201,-0.235841,-0.235424,-0.23495,-0.234399,-0.233755,-0.232999,-0.232351,-0.231998,-0.23159,-0.231116,-0.230576,-0.229944,-0.229203,-0.2286,-0.228254,-0.227854,-0.227389,-0.226851,-0.226231,-0.225503
343,81.5708,-0.235013,-0.234656,-0.234252,-0.233785,-0.233242,-0.232606,-0.231859,-0.235011,-0.234655,-0.23425,-0.233783,-0.23324,-0.232604,-0.231858,-0.235009,-0.234653,-0.234249,-0.233782,-0.233238,-0.232602,-0.231856,-0.235007,-0.234651,-0.234246,-0.23378,-0.233236,-0.2326,-0.231854,-0.231143,-0.230794,-0.230391,-0.229931,-0.229398,-0.228775,-0.228043,-0.227372,-0.22703,-0.226635,-0.226176,-0.225653,-0.225042,-0.224324,-0.223698,-0.223362,-0.222975,-0.222525,-0.222004,-0.221404,-0.220699
344,82.5343,-0.22998,-0.229635,-0.229244,-0.228792,-0.228266,-0.22765,-0.226927,-0.229978,-0.229633,-0.229242,-0.22879,-0.228264,-0.227648,-0.226926,-0.229977,-0.229632,-0.229241,-0.228789,-0.228262,-0.227647,-0.226924,-0.229975,-0.22963,-0.229238,-0.228786,-0.22826,-0.227645,-0.226922,-0.22619,-0.225852,-0.225462,-0.225017,-0.224501,-0.223897,-0.223189,-0.222496,-0.222165,-0.221783,-0.221339,-0.220832,-0.22024,-0.219545,-0.218897,-0.218572,-0.218198,-0.217762,-0.217257,-0.216677,-0.215994
345,83.509,-0.225052,-0.224718,-0.224339,-0.223902,-0.223392,-0.222797,-0.222097,-0.22505,-0.224716,-0.224338,-0.2239,-0.223391,-0.222795,-0.222095,-0.225049,-0.224715,-0.224336,-0.223899,-0.223389,-0.222793,-0.222094,-0.225047,-0.224713,-0.224334,-0.223897,-0.223387,-0.222791,-0.222092,-0.221339,-0.221012,-0.220634,-0.220204,-0.219705,-0.21912,-0.218434,-0.217722,-0.217401,-0.217031,-0.216601,-0.216111,-0.215538,-0.214865,-0.214196,-0.213882,-0.213519,-0.213098,-0.212609,-0.212047,-0.211387
346,84.495,-0.220226,-0.219903,-0.219537,-0.219113,-0.21862,-0.218043,-0.217366,-0.220224,-0.219901,-0.219535,-0.219111,-0.218618,-0.218041,-0.217364,-0.220223,-0.2199,-0.219533,-0.21911,-0.218617,-0.21804,-0.217362,-0.220221,-0.219898,-0.219531,-0.219108,-0.218615,-0.218038,-0.21736,-0.21659,-0.216273,-0.215907,-0.215491,-0.215007,-0.214442,-0.213777,-0.213046,-0.212736,-0.212378,-0.211962,-0.211487,-0.210933,-0.210281,-0.209594,-0.20929,-0.208938,-0.20853,-0.208057,-0.207513,-0.206874
347,85.4925,-0.215501,-0.215188,-0.214833,-0.214423,-0.213946,-0.213387,-0.212732,-0.215499,-0.215186,-0.214832,-0.214422,-0.213944,-0.213386,-0.21273,-0.215497,-0.215184,-0.21483,-0.21442,-0.213943,-0.213384,-0.212728,-0.215495,-0.215182,-0.214828,-0.214418,-0.213941,-0.213382,-0.212726,-0.211939,-0.211632,-0.211278,-0.210875,-0.210407,-0.20986,-0.209217,-0.208469,-0.208168,-0.207821,-0.207419,-0.20696,-0.206423,-0.205792,-0.205087,-0.204793,-0.204452,-0.204058,-0.2036,-0.203073,-0.202454
