gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
34,2.67182,1.61282,1.61282,1.61282,1.61282,1.61282,1.58305,1.58305,1.58305,1.58305,1.58305,1.55111,1.55111,1.55111,1.55111,1.55111,1.51893,1.51893,1.51893,1.51893,1.51893,1.4895,1.4895,1.4895,1.4895,1.4895
35,2.797,1.69533,1.69533,1.69533,1.69533,1.69533,1.66357,1.66357,1.66357,1.66357,1.66357,1.62899,1.62899,1.62899,1.62899,1.62899,1.59433,1.59433,1.59433,1.59433,1.59433,1.56261,1.56261,1.56261,1.56261,1.56261
36,2.92586,1.78064,1.78064,1.78064,1.78064,1.78064,1.74759,1.74759,1.74759,1.74759,1.74759,1.71099,1.71099,1.71099,1.71099,1.71099,1.67413,1.67413,1.67413,1.67413,1.67413,1.63969,1.63969,1.63969,1.63969,1.63969
37,3.05848,1.86905,1.86905,1.86905,1.86905,1.86905,1.83473,1.83473,1.83473,1.83473,1.83473,1.79646,1.79646,1.79646,1.79646,1.79646,1.75745,1.75745,1.75745,1.75745,1.75745,1.72066,1.72066,1.72066,1.72066,1.72066
38,3.195,1.96231,1.96231,1.96231,1.96231,1.96231,1.92582,1.92582,1.92582,1.92582,1.92582,1.88542,1.88542,1.88542,1.88542,1.88542,1.84473,1.84473,1.84473,1.84473,1.84473,1.80534,1.80534,1.80534,1.80534,1.80534
39,3.33551,2.06029,2.06029,2.06029,2.06029,2.06029,2.022,2.022,2.022,2.022,2.022,1.97952,1.97952,1.97952,1.97952,1.97952,1.93646,1.93646,1.93646,1.93646,1.93646,1.89507,1.89507,1.89507,1.89507,1.89507
40,3.48015,2.1619,2.1619,2.1619,2.1619,2.1619,2.12264,2.12264,2.12264,2.12264,2.12264,2.07851,2.07851,2.07851,2.07851,2.07851,2.03289,2.03289,2.03289,2.03289,2.03289,1.98919,1.98919,1.98919,1.98919,1.98919
41,3.62902,2.26716,2.26716,2.26716,2.26716,2.26716,2.22661,2.22661,2.22661,2.22661,2.22661,2.18125,2.18125,2.18125,2.18125,2.18125,2.13392,2.13392,2.13392,2.13392,2.13392,2.08796,2.08796,2.08796,2.08796,2.08796
42,3.78225,2.37733,2.37733,2.37733,2.37733,2.37733,2.33513,2.33513,2.33513,2.33513,2.33513,2.28817,2.28817,2.28817,2.28817,2.28817,2.23941,2.23941,2.23941,2.23941,2.23941,2.19179,2.19179,2.19179,2.19179,2.19179
43,3.93998,2.4925,2.4925,2.4925,2.4925,2.4925,2.44965,2.44965,2.44965,2.44965,2.44965,2.40094,2.40094,2.40094,2.40094,2.40094,2.34985,2.34985,2.34985,2.34985,2.34985,2.30029,2.30029,2.30029,2.30029,2.30029
