gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
262,31.1167,-8704.94,-8704.94,-8704.95,-8704.95,-8704.95,-8704.94,-8704.94
263,31.4958,-8698.71,-8698.7,-8698.72,-8698.71,-8698.72,-8698.7,-8698.71
264,31.8792,-8692.46,-8692.45,-8692.47,-8692.46,-8692.47,-8692.45,-8692.46
265,32.267,-8686.22,-8686.21,-8686.23,-8686.22,-8686.23,-8686.21,-8686.22
266,32.6594,-8679.95,-8679.94,-8679.96,-8679.95,-8679.96,-8679.94,-8679.95
267,33.0563,-8673.65,-8673.64,-8673.66,-8673.65,-8673.66,-8673.64,-8673.65
268,33.4578,-8667.33,-8667.33,-8667.34,-8667.33,-8667.34,-8667.33,-8667.33
269,33.864,-8661.01,-8661,-8661.02,-8661.01,-8661.02,-8661,-8661.01
270,34.2748,-8654.69,-8654.68,-8654.69,-8654.69,-8654.69,-8654.68,-8654.69
271,34.6904,-8648.36,-8648.35,-8648.37,-8648.36,-8648.37,-8648.35,-8648.36
272,35.1109,-8642,-8641.99,-8642.01,-8642,-8642.01,-8641.99,-8642
273,35.5362,-8635.61,-8635.6,-8635.61,-8635.61,-8635.61,-8635.6,-8635.61
274,35.9664,-8629.17,-8629.16,-8629.18,-8629.17,-8629.18,-8629.16,-8629.17
275,36.4016,-8622.7,-8622.69,-8622.71,-8622.7,-8622.71,-8622.69,-8622.7
276,36.8419,-8616.22,-8616.21,-8616.22,-8616.22,-8616.22,-8616.21,-8616.22
277,37.2872,-8609.7,-8609.69,-8609.71,-8609.7,-8609.71,-8609.69,-8609.7
278,37.7377,-8603.14,-8603.13,-8603.15,-8603.14,-8603.15,-8603.13,-8603.14
279,38.1935,-8596.52,-8596.51,-8596.53,-8596.52,-8596.53,-8596.51,-8596.52
280,38.6545,-8589.83,-8589.83,-8589.84,-8589.83,-8589.84,-8589.83,-8589.83
281,39.1209,-8583.08,-8583.08,-8583.09,-8583.08,-8583.09,-8583.08,-8583.08
282,39.5926,-8576.29,-8576.29,-8576.3,-8576.29,-8576.3,-8576.29,-8576.29
283,40.0698,-8569.56,-8569.56,-8569.57,-8569.56,-8569.57,-8569.56,-8569.56
284,40.5526,-8562.97,-8562.96,-8562.98,-8562.97,-8562.98,-8562.96,-8562.97
