gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
214,17.2213,17.0914,17.0916,17.0918,17.092,17.0921,17.0923,17.0925
215,17.4394,17.308,17.3081,17.3083,17.3085,17.3087,17.3088,17.309
216,17.66,17.527,17.5272,17.5274,17.5275,17.5277,17.5279,17.5281
217,17.8831,17.7486,17.7488,17.749,17.7491,17.7493,17.7495,17.7497
218,18.1088,17.9727,17.9729,17.9731,17.9733,17.9735,17.9736,17.9738
219,18.3372,18.1995,18.1997,18.1999,18.2,18.2002,18.2004,18.2006
220,18.5681,18.4289,18.4291,18.4292,18.4294,18.4296,18.4298,18.43
221,18.8018,18.6609,18.6611,18.6613,18.6615,18.6616,18.6618,18.662
222,19.0381,18.8956,18.8958,18.896,18.8962,18.8964,18.8966,18.8967
223,19.2772,19.1331,19.1332,19.1334,19.1336,19.1338,19.134,19.1342
224,19.5191,19.3732,19.3734,19.3736,19.3738,19.374,19.3742,19.3744
225,19.7638,19.6162,19.6164,19.6166,19.6168,19.617,19.6172,19.6174
226,20.0113,19.862,19.8622,19.8624,19.8626,19.8628,19.863,19.8632
227,20.2617,20.1106,20.1108,20.111,20.1112,20.1114,20.1116,20.1118
228,20.5149,20.3621,20.3623,20.3625,20.3627,20.363,20.3632,20.3634
229,20.7711,20.6166,20.6168,20.617,20.6172,20.6174,20.6176,20.6178
230,21.0303,20.8739,20.8742,20.8744,20.8746,20.8748,20.875,20.8752
231,21.2925,21.1343,21.1345,21.1347,21.1349,21.1351,21.1354,21.1356
232,21.5577,21.3977,21.3979,21.3981,21.3983,21.3985,21.3987,21.399
233,21.826,21.6641,21.6643,21.6645,21.6647,21.665,21.6652,21.6654
234,22.0974,21.9336,21.9338,21.934,21.9343,21.9345,21.9347,21.9349
235,22.3719,22.2062,22.2065,22.2067,22.2069,22.2071,22.2073,22.2076
236,22.6496,22.482,22.4823,22.4825,22.4827,22.4829,22.4831,22.4834
237,22.9306,22.761,22.7612,22.7615,22.7617,22.7619,22.7622,22.7624
238,23.2148,23.0432,23.0435,23.0437,23.0439,23.0442,23.0444,23.0446
239,23.5023,23.3287,23.329,23.3292,23.3294,23.3297,23.3299,23.3301
240,23.7931,23.6175,23.6178,23.618,23.6182,23.6185,23.6187,23.6189
241,24.0873,23.9097,23.9099,23.9101,23.9104,23.9106,23.9109,23.9111
242,24.3848,24.2052,24.2054,24.2057,24.2059,24.2062,24.2064,24.2066
243,24.6859,24.5041,24.5044,24.5046,24.5049,24.5051,24.5054,24.5056
244,24.9904,24.8065,24.8068,24.807,24.8073,24.8075,24.8078,24.808
245,25.2985,25.1125,25.1127,25.113,25.1132,25.1135,25.1137,25.114
246,25.6101,25.4219,25.4222,25.4224,25.4227,25.4229,25.4232,25.4234
247,25.9253,25.735,25.7352,25.7355,25.7357,25.736,25.7363,25.7365
