gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
112,39.0479,-13.4365,-13.4187,-13.3939,-13.4365,-13.4187,-13.3939,-13.4365,-13.4187,-13.3939,-13.4365,-13.4187,-13.3939,-13.4365,-13.4187,-13.3939
113,40.239,-13.2356,-13.2181,-13.1937,-13.2356,-13.2181,-13.1937,-13.2356,-13.2181,-13.1937,-13.2356,-13.2181,-13.1937,-13.2356,-13.2181,-13.1937
114,41.4651,-13.0379,-13.0207,-12.9966,-13.0379,-13.0207,-12.9966,-13.0379,-13.0207,-12.9966,-13.0379,-13.0207,-12.9966,-13.0379,-13.0207,-12.9966
115,42.7271,-12.8434,-12.8265,-12.8028,-12.8434,-12.8265,-12.8028,-12.8434,-12.8265,-12.8028,-12.8434,-12.8265,-12.8028,-12.8434,-12.8265,-12.8028
116,44.0261,-12.6521,-12.6354,-12.612,-12.6521,-12.6354,-12.612,-12.6521,-12.6354,-12.612,-12.6521,-12.6354,-12.612,-12.6521,-12.6354,-12.612
117,45.3631,-12.4638,-12.4473,-12.4243,-12.4638,-12.4473,-12.4243,-12.4638,-12.4473,-12.4243,-12.4638,-12.4473,-12.4243,-12.4638,-12.4473,-12.4243
118,46.7394,-12.2785,-12.2623,-12.2396,-12.2785,-12.2623,-12.2396,-12.2785,-12.2623,-12.2396,-12.2785,-12.2623,-12.2396,-12.2785,-12.2623,-12.2396
119,48.1559,-12.0961,-12.0801,-12.0578,-12.0961,-12.0801,-12.0578,-12.0961,-12.0801,-12.0578,-12.0961,-12.0801,-12.0578,-12.0961,-12.0801,-12.0578
120,49.614,-11.9166,-11.9009,-11.879,-11.9166,-11.9009,-11.879,-11.9166,-11.9009,-11.879,-11.9166,-11.9009,-11.879,-11.9166,-11.9009,-11.879
121,51.1148,-11.74,-11.7245,-11.7029,-11.74,-11.7245,-11.7029,-11.74,-11.7245,-11.7029,-11.74,-11.7245,-11.7029,-11.74,-11.7245,-11.7029
122,52.6596,-11.5662,-11.5509,-11.5296,-11.5662,-11.5509,-11.5296,-11.5662,-11.5509,-11.5296,-11.5662,-11.5509,-11.5296,-11.5662,-11.5509,-11.5296
123,54.2497,-11.3951,-11.38,-11.359,-11.3951,-11.38,-11.359,-11.3951,-11.38,-11.359,-11.3951,-11.38,-11.359,-11.3951,-11.38,-11.359
124,55.8863,-11.2266,-11.2118,-11.1911,-11.2266,-11.2118,-11.1911,-11.2266,-11.2118,-11.1911,-11.2266,-11.2118,-11.1911,-11.2266,-11.2118,-11.1911
125,57.5709,-11.0608,-11.0462,-11.0259,-11.0608,-11.0462,-11.0259,-11.0608,-11.0462,-11.0259,-11.0608,-11.0462,-11.0259,-11.0608,-11.0462,-11.0259
126,59.3049,-10.8976,-10.8832,-10.8632,-10.8976,-10.8832,-10.8632,-10.8976,-10.8832,-10.8632,-10.8976,-10.8832,-10.8632,-10.8976,-10.8832,-10.8632
127,61.0897,-10.737,-10.7228,-10.703,-10.737,-10.7228,-10.703,-10.737,-10.7228,-10.703,-10.737,-10.7228,-10.703,-10.737,-10.7228,-10.703
128,62.9268,-10.5788,-10.5648,-10.5453,-10.5788,-10.5648,-10.5453,-10.5788,-10.5648,-10.5453,-10.5788,-10.5648,-10.5453,-10.5788,-10.5648,-10.5453
129,64.8177,-10.4231,-10.4093,-10.3901,-10.4231,-10.4093,-10.3901,-10.4231,-10.4093,-10.3901,-10.4231,-10.4093,-10.3901,-10.4231,-10.4093,-10.3901
130,66.7641,-10.2697,-10.2562,-10.2373,-10.2697,-10.2562,-10.2373,-10.2697,-10.2562,-10.2373,-10.2697,-10.2562,-10.2373,-10.2697,-10.2562,-10.2373
131,68.7675,-10.1188,-10.1054,-10.0868,-10.1188,-10.1054,-10.0868,-10.1188,-10.1054,-10.0868,-10.1188,-10.1054,-10.0868,-10.1188,-10.1054,-10.0868
132,70.8295,-9.97017,-9.957,-9.93865,-9.97017,-9.957,-9.93865,-9.97017,-9.957,-9.93865,-9.97017,-9.957,-9.93865,-9.97017,-9.957,-9.93865
133,72.9521,-9.82383,-9.81085,-9.79277,-9.82383,-9.81085,-9.79277,-9.82383,-9.81085,-9.79277,-9.82383,-9.81085,-9.79277,-9.82383,-9.81085,-9.79277
