gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
43,3.93998,-5.50544,-5.50531,-5.5039,-5.50058,-5.49554,-5.36088,-5.36088,-5.35996,-5.35732,-5.35292,-5.20492,-5.20492,-5.20445,-5.20236,-5.19854,-5.04363,-5.04363,-5.04344,-5.04187,-5.03872,-4.88241,-4.88241,-4.88237,-4.88135,-4.87877
44,4.10232,-5.45603,-5.45588,-5.45437,-5.45095,-5.44569,-5.31585,-5.31585,-5.31479,-5.3119,-5.30745,-5.16418,-5.16418,-5.16366,-5.1614,-5.15746,-5.00705,-5.00705,-5.00683,-5.0052,-5.00194,-4.84989,-4.84989,-4.84984,-4.8487,-4.846
45,4.26943,-5.40725,-5.40712,-5.40556,-5.40203,-5.39671,-5.27137,-5.2713,-5.27019,-5.26723,-5.26251,-5.12382,-5.12382,-5.12318,-5.12083,-5.11679,-4.97105,-4.97105,-4.97072,-4.96878,-4.96537,-4.81771,-4.81771,-4.81764,-4.81616,-4.8133
46,4.44143,-5.35907,-5.359,-5.35731,-5.35369,-5.34829,-5.22732,-5.22731,-5.22606,-5.223,-5.21807,-5.08397,-5.08397,-5.08316,-5.08067,-5.07656,-4.93524,-4.93524,-4.93485,-4.93278,-4.92912,-4.78569,-4.78569,-4.78554,-4.78404,-4.78094
47,4.61847,-5.31155,-5.31141,-5.30962,-5.30591,-5.30041,-5.18373,-5.18373,-5.18235,-5.17916,-5.17421,-5.04448,-5.04448,-5.04362,-5.0409,-5.03657,-4.89956,-4.89956,-4.89909,-4.89699,-4.89328,-4.75375,-4.75375,-4.7535,-4.75198,-4.74876
48,4.8007,-5.26475,-5.26452,-5.26248,-5.25874,-5.25319,-5.14054,-5.14053,-5.13902,-5.13575,-5.13077,-5.00532,-5.00532,-5.00434,-5.00151,-4.99701,-4.86411,-4.86411,-4.86357,-4.86137,-4.85753,-4.72198,-4.72198,-4.7217,-4.71995,-4.71669
49,4.98827,-5.21846,-5.21813,-5.21603,-5.2121,-5.20649,-5.09795,-5.09783,-5.09617,-5.09282,-5.08776,-4.96642,-4.9664,-4.96526,-4.96239,-4.95786,-4.82907,-4.82907,-4.82834,-4.82587,-4.82196,-4.69044,-4.69044,-4.69008,-4.68817,-4.68471
50,5.18134,-5.17261,-5.17219,-5.17009,-5.166,-5.16026,-5.05573,-5.05552,-5.05384,-5.05023,-5.04508,-4.92775,-4.92768,-4.92648,-4.92356,-4.91893,-4.79412,-4.79412,-4.7933,-4.79074,-4.78657,-4.65895,-4.65895,-4.65853,-4.65652,-4.65289
51,5.38006,-5.12721,-5.1268,-5.12459,-5.12043,-5.1145,-5.01382,-5.01356,-5.01183,-5.00808,-5.00274,-4.88947,-4.88941,-4.88804,-4.88494,-4.88022,-4.75929,-4.75929,-4.75839,-4.7558,-4.7515,-4.62746,-4.62746,-4.62698,-4.62488,-4.62119
52,5.58461,-5.08227,-5.08184,-5.07953,-5.07533,-5.06927,-4.97221,-4.97197,-4.97011,-4.96634,-4.96081,-4.85144,-4.85134,-4.84989,-4.84655,-4.84176,-4.72461,-4.72457,-4.7236,-4.72094,-4.71655,-4.59622,-4.59622,-4.59556,-4.59329,-4.58957
53,5.79515,-5.03775,-5.03726,-5.03486,-5.03064,-5.02458,-4.93089,-4.93065,-4.92868,-4.92491,-4.91934,-4.81359,-4.81348,-4.81195,-4.80858,-4.80353,-4.69013,-4.6901,-4.68895,-4.68616,-4.68176,-4.56502,-4.56502,-4.56427,-4.5619,-4.55793
54,6.01186,-4.99361,-4.99305,-4.9906,-4.98633,-4.98028,-4.88989,-4.8896,-4.88755,-4.88376,-4.87812,-4.77592,-4.7758,-4.77418,-4.7708,-4.76563,-4.65578,-4.65578,-4.65453,-4.65154,-4.64709,-4.53379,-4.53379,-4.53303,-4.53052,-4.52644
55,6.23493,-4.94994,-4.94926,-4.94674,-4.94243,-4.93632,-4.84929,-4.8489,-4.84675,-4.84288,-4.83719,-4.73844,-4.73827,-4.73657,-4.73315,-4.7279,-4.62158,-4.62154,-4.62023,-4.61718,-4.61249,-4.50259,-4.50259,-4.50176,-4.49917,-4.49506
56,6.46452,-4.90664,-4.90593,-4.90327,-4.89889,-4.89272,-4.80898,-4.80854,-4.80627,-4.80225,-4.79654,-4.70126,-4.70103,-4.69919,-4.69566,-4.69041,-4.58746,-4.58736,-4.58601,-4.58287,-4.57806,-4.4716,-4.4716,-4.47053,-4.46787,-4.46366
57,6.70085,-4.86367,-4.86292,-4.86024,-4.85569,-4.8495,-4.7689,-4.76839,-4.76607,-4.76187,-4.75617,-4.66429,-4.664,-4.66203,-4.65834,-4.6531,-4.55339,-4.55327,-4.55185,-4.54864,-4.54379,-4.44058,-4.44058,-4.43943,-4.43665,-4.43227
58,6.94411,-4.82104,-4.82027,-4.81753,-4.81282,-4.80661,-4.72905,-4.72853,-4.72613,-4.72189,-4.71606,-4.62744,-4.62711,-4.62506,-4.62125,-4.61594,-4.51952,-4.5194,-4.51777,-4.51453,-4.50965,-4.40953,-4.40951,-4.40837,-4.40546,-4.40096
59,7.19449,-4.77876,-4.77791,-4.77513,-4.7704,-4.76406,-4.68944,-4.68887,-4.68645,-4.68218,-4.67618,-4.59071,-4.59035,-4.58828,-4.58442,-4.57891,-4.48576,-4.48562,-4.48388,-4.48049,-4.47554,-4.37851,-4.37842,-4.37726,-4.37428,-4.36976
60,7.45221,-4.73678,-4.73588,-4.73304,-4.7283,-4.72185,-4.65006,-4.64942,-4.64695,-4.64266,-4.63658,-4.55409,-4.55371,-4.55161,-4.54769,-4.54205,-4.45206,-4.45188,-4.45012,-4.44665,-4.44151,-4.34755,-4.34749,-4.34612,-4.34314,-4.33852
61,7.71748,-4.69508,-4.69413,-4.69123,-4.6865,-4.67994,-4.61087,-4.61016,-4.60767,-4.60334,-4.59721,-4.51764,-4.51719,-4.51507,-4.51108,-4.50543,-4.41838,-4.41817,-4.41641,-4.41282,-4.40759,-4.31661,-4.31658,-4.31509,-4.31195,-4.30724
62,7.99052,-4.65365,-4.65262,-4.64971,-4.64495,-4.63834,-4.57193,-4.57113,-4.56861,-4.56424,-4.55807,-4.48137,-4.48086,-4.47865,-4.47464,-4.46895,-4.38478,-4.3845,-4.38272,-4.37905,-4.37383,-4.28571,-4.28563,-4.28411,-4.28087,-4.27606
63,8.27157,-4.61246,-4.6114,-4.60846,-4.60365,-4.59702,-4.53324,-4.53244,-4.52976,-4.52535,-4.5192,-4.44527,-4.44474,-4.44235,-4.43832,-4.43261,-4.35132,-4.35099,-4.34906,-4.3454,-4.34012,-4.25481,-4.25465,-4.25311,-4.24982,-4.24489
64,8.56085,-4.57161,-4.57045,-4.56748,-4.56265,-4.55599,-4.49474,-4.49392,-4.49115,-4.48667,-4.48052,-4.40929,-4.40873,-4.40626,-4.40214,-4.39637,-4.31797,-4.3176,-4.31548,-4.31179,-4.30645,-4.22388,-4.22368,-4.2221,-4.21877,-4.21381
65,8.85861,-4.53103,-4.52984,-4.52676,-4.52189,-4.51525,-4.45643,-4.45559,-4.45274,-4.44817,-4.44202,-4.3734,-4.37282,-4.37031,-4.3661,-4.36026,-4.28464,-4.28423,-4.28204,-4.27822,-4.27281,-4.19302,-4.19282,-4.19106,-4.1877,-4.18271
66,9.16509,-4.49069,-4.48948,-4.48628,-4.48141,-4.47477,-4.41833,-4.41743,-4.41455,-4.40993,-4.40369,-4.33763,-4.337,-4.33451,-4.33023,-4.32428,-4.25132,-4.25088,-4.2487,-4.24478,-4.2393,-4.16218,-4.16194,-4.16012,-4.1566,-4.15159
67,9.48056,-4.45059,-4.44934,-4.44611,-4.44116,-4.43455,-4.3804,-4.37944,-4.37656,-4.3719,-4.36557,-4.302,-4.30129,-4.2988,-4.29446,-4.28845,-4.21803,-4.21756,-4.21538,-4.21142,-4.20582,-4.13132,-4.13105,-4.12918,-4.12558,-4.12048
68,9.80527,-4.41069,-4.40943,-4.40615,-4.40115,-4.39455,-4.34264,-4.34161,-4.33872,-4.33401,-4.32759,-4.26647,-4.26567,-4.26319,-4.25882,-4.25281,-4.1848,-4.18428,-4.18209,-4.17809,-4.17243,-4.10042,-4.10012,-4.09821,-4.0946,-4.08935
69,10.1395,-4.37104,-4.36974,-4.36644,-4.36141,-4.35476,-4.30502,-4.30392,-4.30104,-4.29627,-4.28981,-4.23106,-4.23021,-4.22768,-4.22329,-4.21727,-4.15165,-4.15107,-4.14883,-4.14481,-4.13913,-4.06951,-4.06917,-4.06723,-4.06359,-4.05828
70,10.4835,-4.33161,-4.33027,-4.32698,-4.32192,-4.3152,-4.26754,-4.26641,-4.26352,-4.2587,-4.25227,-4.19581,-4.19492,-4.19226,-4.18788,-4.18183,-4.1186,-4.11802,-4.11561,-4.11158,-4.10589,-4.03864,-4.03825,-4.03625,-4.03257,-4.02725
71,10.8376,-4.29238,-4.291,-4.28773,-4.28265,-4.27587,-4.23026,-4.22907,-4.22614,-4.22132,-4.21491,-4.16065,-4.15975,-4.15696,-4.15257,-4.14649,-4.08561,-4.085,-4.08252,-4.0784,-4.07272,-4.00784,-4.00742,-4.00528,-4.00154,-3.99621
72,11.2021,-4.25335,-4.25195,-4.24869,-4.24358,-4.23676,-4.19317,-4.19194,-4.18893,-4.18414,-4.1777,-4.12558,-4.12467,-4.12182,-4.11736,-4.11125,-4.05267,-4.05202,-4.04951,-4.04529,-4.03958,-3.97701,-3.97654,-3.97439,-3.97051,-3.96518
73,11.5773,-4.21453,-4.2131,-4.20986,-4.20473,-4.19786,-4.15623,-4.15499,-4.15187,-4.14711,-4.14065,-4.09063,-4.08968,-4.0868,-4.08225,-4.07614,-4.01977,-4.01907,-4.01657,-4.01232,-4.00653,-3.94616,-3.94566,-3.94348,-3.93955,-3.93414
74,11.9634,-4.17592,-4.17447,-4.17124,-4.16609,-4.15926,-4.11943,-4.11818,-4.115,-4.11023,-4.10375,-4.05578,-4.05477,-4.0519,-4.04729,-4.04114,-3.98694,-3.98617,-3.98365,-3.97939,-3.9735,-3.91528,-3.91477,-3.91257,-3.90865,-3.9031
75,12.3609,-4.13756,-4.13607,-4.13283,-4.12768,-4.12089,-4.08276,-4.08152,-4.07831,-4.0735,-4.067,-4.02102,-4.01995,-4.01708,-4.01246,-4.00625,-3.95414,-3.95329,-3.95075,-3.94649,-3.94053,-3.88442,-3.88388,-3.88164,-3.87773,-3.87208
76,12.77,-4.09945,-4.09788,-4.09462,-4.08948,-4.08271,-4.04626,-4.045,-4.04178,-4.0369,-4.0304,-3.98634,-3.98522,-3.98236,-3.97773,-3.97146,-3.92137,-3.92048,-3.9179,-3.91363,-3.90768,-3.8536,-3.85299,-3.85072,-3.84679,-3.84117
77,13.1911,-4.06153,-4.05992,-4.0566,-4.05147,-4.04471,-4.00992,-4.00862,-4.0054,-4.00046,-3.99398,-3.95174,-3.95058,-3.94773,-3.94308,-3.93677,-3.88871,-3.88777,-3.88512,-3.88083,-3.87491,-3.82283,-3.82219,-3.81981,-3.81584,-3.81027
78,13.6246,-4.02378,-4.02217,-4.01876,-4.01366,-4.0069,-3.97374,-3.9724,-3.9692,-3.96425,-3.95772,-3.91725,-3.91607,-3.91319,-3.90854,-3.90224,-3.85608,-3.85513,-3.85238,-3.84809,-3.84216,-3.79208,-3.79138,-3.78896,-3.78491,-3.77937
79,14.0707,-3.98622,-3.98461,-3.98111,-3.97605,-3.96929,-3.93771,-3.93632,-3.93313,-3.92818,-3.92162,-3.8829,-3.88169,-3.87876,-3.87412,-3.86781,-3.82349,-3.82255,-3.81979,-3.81539,-3.80948,-3.76131,-3.76059,-3.75813,-3.75399,-3.74847
80,14.5299,-3.94883,-3.94723,-3.9437,-3.93862,-3.93186,-3.90181,-3.90039,-3.89722,-3.89224,-3.88568,-3.84867,-3.84744,-3.84443,-3.83981,-3.83353,-3.79097,-3.79,-3.78724,-3.78276,-3.77685,-3.73054,-3.72979,-3.72733,-3.72316,-3.71756
81,15.0026,-3.91164,-3.91004,-3.9065,-3.90138,-3.89463,-3.86607,-3.8646,-3.86143,-3.85648,-3.84987,-3.81454,-3.81331,-3.81023,-3.80561,-3.79934,-3.75851,-3.75751,-3.75473,-3.75023,-3.74429,-3.6998,-3.69901,-3.69652,-3.69236,-3.68665
82,15.4891,-3.87463,-3.87302,-3.86948,-3.86434,-3.85759,-3.83046,-3.82898,-3.82579,-3.82083,-3.81424,-3.78051,-3.77927,-3.77619,-3.77151,-3.76525,-3.72611,-3.72507,-3.72228,-3.7178,-3.7118,-3.66905,-3.66821,-3.6657,-3.66157,-3.65575
83,15.9899,-3.8378,-3.83618,-3.83265,-3.82749,-3.82075,-3.79504,-3.79349,-3.7903,-3.78533,-3.77879,-3.7466,-3.74532,-3.74224,-3.73749,-3.73127,-3.69377,-3.69269,-3.6899,-3.68543,-3.67937,-3.6383,-3.63744,-3.63492,-3.63078,-3.62495
