gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
359,98.4024,95.5199,95.559,95.6067,95.665,95.7362,95.8232,95.9294,95.5199,95.559,95.6067,95.665,95.7362,95.8231,95.9294,95.5199,95.559,95.6067,95.665,95.7362,95.8231,95.9294,95.5199,95.559,95.6067,95.665,95.7362,95.8231,95.9294,95.5386,95.5776,95.6253,95.6836,95.7548,95.8418,95.948,95.5758,95.6149,95.6626,95.7208,95.792,95.879,95.9852,95.6596,95.6987,95.7464,95.8047,95.8759,95.9628,96.0691
360,99.5609,96.6495,96.6886,96.7363,96.7945,96.8657,96.9527,97.0589,96.6495,96.6886,96.7363,96.7945,96.8657,96.9527,97.0589,96.6495,96.6886,96.7363,96.7945,96.8657,96.9527,97.0589,96.6495,96.6885,96.7362,96.7945,96.8657,96.9527,97.0589,96.6684,96.7074,96.7551,96.8134,96.8846,96.9715,97.0778,96.706,96.7451,96.7928,96.8511,96.9222,97.0092,97.1154,96.7909,96.8299,96.8776,96.9359,97.0071,97.094,97.2003
361,100.733,97.7922,97.8312,97.8789,97.9372,98.0084,98.0953,98.2016,97.7922,97.8312,97.8789,97.9372,98.0084,98.0953,98.2016,97.7922,97.8312,97.8789,97.9372,98.0084,98.0953,98.2016,97.7921,97.8312,97.8789,97.9372,98.0083,98.0953,98.2015,97.8112,97.8503,97.898,97.9562,98.0274,98.1144,98.2206,97.8494,97.8884,97.9361,97.9944,98.0656,98.1525,98.2587,97.9352,97.9742,98.0219,98.0802,98.1514,98.2383,98.3446
362,101.918,98.948,98.9871,99.0348,99.0931,99.1642,99.2512,99.3574,98.948,98.9871,99.0348,99.0931,99.1642,99.2512,99.3574,98.948,98.9871,99.0348,99.093,99.1642,99.2512,99.3574,98.948,98.9871,99.0348,99.093,99.1642,99.2512,99.3574,98.9673,99.0064,99.0541,99.1123,99.1835,99.2705,99.3767,99.0252,99.0642,99.1119,99.1702,99.2414,99.3284,99.4346,99.0927,99.1318,99.1795,99.2377,99.3089,99.3959,99.5021
363,103.118,100.117,100.156,100.204,100.262,100.334,100.421,100.527,100.117,100.156,100.204,100.262,100.334,100.421,100.527,100.117,100.156,100.204,100.262,100.334,100.421,100.527,100.117,100.156,100.204,100.262,100.334,100.421,100.527,100.137,100.176,100.223,100.282,100.353,100.44,100.547,100.195,100.234,100.282,100.34,100.412,100.499,100.605,100.263,100.303,100.35,100.409,100.48,100.567,100.674
364,104.331,101.3,101.339,101.387,101.445,101.516,101.604,101.71,101.3,101.339,101.387,101.445,101.516,101.604,101.71,101.3,101.339,101.387,101.445,101.516,101.604,101.71,101.3,101.339,101.387,101.445,101.516,101.604,101.71,101.319,101.359,101.406,101.465,101.536,101.623,101.73,101.379,101.418,101.466,101.524,101.595,101.683,101.789,101.448,101.487,101.535,101.593,101.665,101.752,101.858
365,105.558,102.496,102.536,102.583,102.642,102.713,102.8,102.906,102.496,102.536,102.583,102.642,102.713,102.8,102.906,102.496,102.536,102.583,102.642,102.713,102.8,102.906,102.496,102.536,102.583,102.642,102.713,102.8,102.906,102.516,102.556,102.603,102.662,102.733,102.82,102.926,102.576,102.616,102.663,102.722,102.793,102.88,102.986,102.676,102.715,102.763,102.822,102.893,102.98,103.086
366,106.8,103.707,103.746,103.794,103.852,103.923,104.01,104.116,103.707,103.746,103.794,103.852,103.923,104.01,104.116,103.707,103.746,103.794,103.852,103.923,104.01,104.116,103.707,103.746,103.794,103.852,103.923,104.01,104.116,103.727,103.766,103.814,103.872,103.943,104.03,104.137,103.788,103.827,103.875,103.933,104.004,104.091,104.197,103.889,103.928,103.976,104.034,104.105,104.192,104.298
367,108.055,104.931,104.971,105.018,105.077,105.148,105.235,105.341,104.931,104.971,105.018,105.076,105.148,105.235,105.341,104.931,104.971,105.018,105.076,105.148,105.235,105.341,104.931,104.971,105.018,105.076,105.148,105.235,105.341,104.952,104.991,105.039,105.097,105.168,105.255,105.361,105.013,105.052,105.1,105.158,105.229,105.316,105.423,105.116,105.155,105.202,105.261,105.332,105.419,105.525
368,109.326,106.17,106.209,106.257,106.315,106.386,106.473,106.579,106.17,106.209,106.257,106.315,106.386,106.473,106.579,106.17,106.209,106.257,106.315,106.386,106.473,106.579,106.17,106.209,106.257,106.315,106.386,106.473,106.579,106.191,106.23,106.278,106.336,106.407,106.494,106.6,106.253,106.292,106.34,106.398,106.469,106.556,106.662,106.356,106.395,106.443,106.501,106.573,106.659,106.766
