gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
48,4.8007,1.99214,1.99214,1.99214,1.99214,1.99214,1.97579,1.97579,1.97579,1.97579,1.97579,1.95758,1.95758,1.95758,1.95758,1.95758,1.93858,1.93858,1.93858,1.93858,1.93858,2.12344,2.12344,2.12344,2.12344,2.12344
49,4.98827,2.05857,2.05857,2.05857,2.05857,2.05857,2.04141,2.04141,2.04141,2.04141,2.04141,2.02225,2.02225,2.02225,2.02225,2.02225,2.00219,2.00219,2.00219,2.00219,2.00219,2.20418,2.20418,2.20418,2.20418,2.20418
50,5.18134,2.12702,2.12702,2.12702,2.12702,2.12702,2.10904,2.10904,2.10904,2.10904,2.10904,2.08892,2.08892,2.08892,2.08892,2.08892,2.06786,2.06786,2.06786,2.06786,2.06786,2.28777,2.28777,2.28777,2.28777,2.28777
51,5.38006,2.19759,2.19759,2.19759,2.19759,2.19759,2.17883,2.17883,2.17883,2.17883,2.17883,2.15777,2.15777,2.15777,2.15777,2.15777,2.13561,2.13561,2.13561,2.13561,2.13561,2.37593,2.37593,2.37593,2.37593,2.37593
52,5.58461,2.27043,2.27043,2.27043,2.27043,2.27043,2.25083,2.25083,2.25083,2.25083,2.25083,2.22876,2.22876,2.22876,2.22876,2.22876,2.20548,2.20548,2.20548,2.20548,2.20548,2.46785,2.46785,2.46785,2.46785,2.46785
53,5.79515,2.34553,2.34553,2.34553,2.34553,2.34553,2.32507,2.32507,2.32507,2.32507,2.32507,2.30204,2.30204,2.30204,2.30204,2.30204,2.27774,2.27774,2.27774,2.27774,2.27774,2.56257,2.56257,2.56257,2.56257,2.56257
54,6.01186,2.42299,2.42299,2.42299,2.42299,2.42299,2.40175,2.40175,2.40175,2.40175,2.40175,2.37774,2.37774,2.37774,2.37774,2.37774,2.35229,2.35229,2.35229,2.35229,2.35229,2.66033,2.66033,2.66033,2.66033,2.66033
55,6.23493,2.50297,2.50297,2.50297,2.50297,2.50297,2.48088,2.48088,2.48088,2.48088,2.48088,2.45585,2.45585,2.45585,2.45585,2.45585,2.42924,2.42924,2.42924,2.42924,2.42924,2.7636,2.7636,2.7636,2.7636,2.7636
56,6.46452,2.58547,2.58547,2.58547,2.58547,2.58547,2.56251,2.56251,2.56251,2.56251,2.56251,2.5365,2.5365,2.5365,2.5365,2.5365,2.50885,2.50885,2.50885,2.50885,2.50885,2.87113,2.87113,2.87113,2.87113,2.87113
57,6.70085,2.67056,2.67056,2.67056,2.67056,2.67056,2.64683,2.64683,2.64683,2.64683,2.64683,2.61985,2.61985,2.61985,2.61985,2.61985,2.59103,2.59103,2.59103,2.59103,2.59103,2.9821,2.9821,2.9821,2.9821,2.9821
