gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
79,14.0707,11.5048,11.5048,11.5048,11.5048,11.5048,11.4734,11.4734,11.4734,11.4734,11.4734,11.4362,11.4362,11.4362,11.4362,11.4362,11.3948,11.3948,11.3948,11.3948,11.3948,11.3523,11.3523,11.3523,11.3523,11.3523
80,14.5299,11.9197,11.9197,11.9197,11.9197,11.9197,11.8884,11.8884,11.8884,11.8884,11.8884,11.8515,11.8515,11.8515,11.8515,11.8515,11.8105,11.8105,11.8105,11.8105,11.8105,11.7681,11.7681,11.7681,11.7681,11.7681
81,15.0026,12.3472,12.3472,12.3472,12.3472,12.3472,12.3161,12.3161,12.3161,12.3161,12.3161,12.2794,12.2794,12.2794,12.2794,12.2794,12.2387,12.2387,12.2387,12.2387,12.2387,12.1966,12.1966,12.1966,12.1966,12.1966
82,15.4891,12.7875,12.7875,12.7875,12.7875,12.7875,12.7567,12.7567,12.7567,12.7567,12.7567,12.7203,12.7203,12.7203,12.7203,12.7203,12.6799,12.6799,12.6799,12.6799,12.6799,12.6382,12.6382,12.6382,12.6382,12.6382
83,15.9899,13.2411,13.2411,13.2411,13.2411,13.2411,13.2105,13.2105,13.2105,13.2105,13.2105,13.1745,13.1745,13.1745,13.1745,13.1745,13.1344,13.1344,13.1344,13.1344,13.1344,13.0931,13.0931,13.0931,13.0931,13.0931
84,16.5054,13.7082,13.7082,13.7082,13.7082,13.7082,13.6779,13.6779,13.6779,13.6779,13.6779,13.6422,13.6422,13.6422,13.6422,13.6422,13.6024,13.6024,13.6024,13.6024,13.6024,13.5615,13.5615,13.5615,13.5615,13.5615
85,17.036,14.1889,14.1889,14.1889,14.1889,14.1889,14.1589,14.1589,14.1589,14.1589,14.1589,14.1233,14.1233,14.1233,14.1233,14.1233,14.0838,14.0838,14.0838,14.0838,14.0838,14.0431,14.0431,14.0431,14.0431,14.0431
86,17.5821,14.6838,14.6838,14.6838,14.6838,14.6838,14.6539,14.6539,14.6539,14.6539,14.6539,14.6185,14.6185,14.6185,14.6185,14.6185,14.579,14.579,14.579,14.579,14.579,14.5383,14.5383,14.5383,14.5383,14.5383
87,18.1442,15.1938,15.1938,15.1938,15.1938,15.1938,15.1638,15.1638,15.1638,15.1638,15.1638,15.1284,15.1284,15.1284,15.1284,15.1284,15.0888,15.0888,15.0888,15.0888,15.0888,15.048,15.048,15.048,15.048,15.048
88,18.7228,15.7191,15.7191,15.7191,15.7191,15.7191,15.6892,15.6892,15.6892,15.6892,15.6892,15.6537,15.6537,15.6537,15.6537,15.6537,15.614,15.614,15.614,15.614,15.614,15.5731,15.5731,15.5731,15.5731,15.5731
89,19.3184,16.2599,16.2599,16.2599,16.2599,16.2599,16.2301,16.2301,16.2301,16.2301,16.2301,16.1948,16.1948,16.1948,16.1948,16.1948,16.1552,16.1552,16.1552,16.1552,16.1552,16.1144,16.1144,16.1144,16.1144,16.1144
90,19.9314,16.8169,16.8169,16.8169,16.8169,16.8169,16.7871,16.7871,16.7871,16.7871,16.7871,16.7519,16.7519,16.7519,16.7519,16.7519,16.7125,16.7125,16.7125,16.7125,16.7125,16.6719,16.6719,16.6719,16.6719,16.6719
91,20.5623,17.3905,17.3905,17.3905,17.3905,17.3905,17.3607,17.3607,17.3607,17.3607,17.3607,17.3256,17.3256,17.3256,17.3256,17.3256,17.2864,17.2864,17.2864,17.2864,17.2864,17.2462,17.2462,17.2462,17.2462,17.2462
92,21.2118,17.9814,17.9814,17.9814,17.9814,17.9814,17.9516,17.9516,17.9516,17.9516,17.9516,17.9165,17.9165,17.9165,17.9165,17.9165,17.8777,17.8777,17.8777,17.8777,17.8777,17.8377,17.8377,17.8377,17.8377,17.8377
93,21.8803,18.5898,18.5898,18.5898,18.5898,18.5898,18.5602,18.5602,18.5602,18.5602,18.5602,18.5253,18.5253,18.5253,18.5253,18.5253,18.4866,18.4866,18.4866,18.4866,18.4866,18.447,18.447,18.447,18.447,18.447
94,22.5684,19.2164,19.2164,19.2164,19.2164,19.2164,19.1869,19.1869,19.1869,19.1869,19.1869,19.1522,19.1522,19.1522,19.1522,19.1522,19.1138,19.1138,19.1138,19.1138,19.1138,19.0744,19.0744,19.0744,19.0744,19.0744
95,23.2766,19.8618,19.8618,19.8618,19.8618,19.8618,19.8323,19.8323,19.8323,19.8323,19.8323,19.7977,19.7977,19.7977,19.7977,19.7977,19.7594,19.7594,19.7594,19.7594,19.7594,19.7202,19.7202,19.7202,19.7202,19.7202
96,24.0056,20.5263,20.5263,20.5263,20.5263,20.5263,20.497,20.497,20.497,20.497,20.497,20.4625,20.4625,20.4625,20.4625,20.4625,20.4243,20.4243,20.4243,20.4243,20.4243,20.385,20.385,20.385,20.385,20.385
97,24.756,21.2107,21.2107,21.2107,21.2107,21.2107,21.1815,21.1815,21.1815,21.1815,21.1815,21.1472,21.1472,21.1472,21.1472,21.1472,21.109,21.109,21.109,21.109,21.109,21.0697,21.0697,21.0697,21.0697,21.0697
98,25.5283,21.9154,21.9154,21.9154,21.9154,21.9154,21.8864,21.8864,21.8864,21.8864,21.8864,21.8522,21.8522,21.8522,21.8522,21.8522,21.8142,21.8142,21.8142,21.8142,21.8142,21.7749,21.7749,21.7749,21.7749,21.7749
99,26.3233,22.6408,22.6408,22.6408,22.6408,22.6408,22.6121,22.6121,22.6121,22.6121,22.6121,22.5781,22.5781,22.5781,22.5781,22.5781,22.5403,22.5403,22.5403,22.5403,22.5403,22.5012,22.5012,22.5012,22.5012,22.5012
100,27.1416,23.3873,23.3873,23.3873,23.3873,23.3873,23.3589,23.3589,23.3589,23.3589,23.3589,23.3253,23.3253,23.3253,23.3253,23.3253,23.2878,23.2878,23.2878,23.2878,23.2878,23.2489,23.2489,23.2489,23.2489,23.2489
101,27.9838,24.1556,24.1556,24.1556,24.1556,24.1556,24.1273,24.1273,24.1273,24.1273,24.1273,24.0939,24.0939,24.0939,24.0939,24.0939,24.0567,24.0567,24.0567,24.0567,24.0567,24.0182,24.0182,24.0182,24.0182,24.0182
102,28.8508,24.947,24.947,24.947,24.947,24.947,24.9186,24.9186,24.9186,24.9186,24.9186,24.885,24.885,24.885,24.885,24.885,24.8476,24.8476,24.8476,24.8476,24.8476,24.8093,24.8093,24.8093,24.8093,24.8093
103,29.7431,25.7619,25.7619,25.7619,25.7619,25.7619,25.7335,25.7335,25.7335,25.7335,25.7335,25.6998,25.6998,25.6998,25.6998,25.6998,25.6622,25.6622,25.6622,25.6622,25.6622,25.6238,25.6238,25.6238,25.6238,25.6238
104,30.6616,26.6009,26.6009,26.6009,26.6009,26.6009,26.5725,26.5725,26.5725,26.5725,26.5725,26.5388,26.5388,26.5388,26.5388,26.5388,26.5013,26.5013,26.5013,26.5013,26.5013,26.4628,26.4628,26.4628,26.4628,26.4628
105,31.607,27.4648,27.4648,27.4648,27.4648,27.4648,27.4364,27.4364,27.4364,27.4364,27.4364,27.4027,27.4027,27.4027,27.4027,27.4027,27.3652,27.3652,27.3652,27.3652,27.3652,27.3268,27.3268,27.3268,27.3268,27.3268
106,32.5802,28.3543,28.3543,28.3543,28.3543,28.3543,28.326,28.326,28.326,28.326,28.326,28.2923,28.2923,28.2923,28.2923,28.2923,28.2549,28.2549,28.2549,28.2549,28.2549,28.2165,28.2165,28.2165,28.2165,28.2165
107,33.5818,29.2702,29.2702,29.2702,29.2702,29.2702,29.2419,29.2419,29.2419,29.2419,29.2419,29.2083,29.2083,29.2083,29.2083,29.2083,29.1709,29.1709,29.1709,29.1709,29.1709,29.1326,29.1326,29.1326,29.1326,29.1326
108,34.6128,30.2133,30.2133,30.2133,30.2133,30.2133,30.185,30.185,30.185,30.185,30.185,30.1515,30.1515,30.1515,30.1515,30.1515,30.1142,30.1142,30.1142,30.1142,30.1142,30.076,30.076,30.076,30.076,30.076
