gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
36,0.822196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.18,0.18,0.18,0.18,0.18,0.18,0.17
37,0.850258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.1,0.1,0.1,0.1,0.09,0.07,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.18,0.19,0.2,0.19,0.19,0.18,0.15
38,0.878644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.09,0.1,0.1,0.1,0.1,0.09,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.17,0.18,0.18,0.18,0.18,0.17,0.16
39,0.90736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.1,0.1,0.1,0.1,0.09,0.08,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.15
40,0.936408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.13
41,0.965793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.11,0.11,0.11,0.11,0.11,0.11,0.1
42,0.995519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.06,0.06,0.05,0.05,0.05,0.06
43,1.02559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.05,0.05,0.04,0.04,0.04,0.05
44,1.05601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.04,0.03,0.02,0.02,0.06,0.06,0.06,0.06,0.05,0.04,0.03,0.1,0.08,0.07,0.06,0.06,0.06,0.05
45,1.08678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.09,0.09,0.09,0.09,0.08,0.07,0.07
46,1.1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.07,0.07,0.06,0.06,0.06
47,1.14939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.07,0.07,0.07,0.07,0.07,0.07,0.06
48,1.18124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.06
49,1.21346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
50,1.24606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04
