gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
242,24.3848,23.3186,23.5466,23.7745,24.0024,24.2302,24.458,24.6857
243,24.6859,23.607,23.8378,24.0686,24.2992,24.5299,24.7604,24.991
244,24.9904,23.8988,24.1324,24.366,24.5995,24.833,25.0664,25.2998
245,25.2985,24.1939,24.4305,24.6669,24.9033,25.1397,25.376,25.6122
246,25.6101,24.4925,24.732,24.9713,25.2106,25.4499,25.6891,25.9282
247,25.9253,24.7945,25.0369,25.2792,25.5215,25.7637,26.0058,26.2479
248,26.2442,25.1001,25.3454,25.5907,25.8359,26.0811,26.3262,26.5713
249,26.5668,25.4091,25.6575,25.9058,26.154,26.4022,26.6504,26.8984
250,26.8931,25.7218,25.9732,26.2246,26.4758,26.7271,26.9782,27.2294
251,27.2232,26.038,26.2926,26.547,26.8014,27.0557,27.3099,27.5641
252,27.5571,26.358,26.6156,26.8732,27.1306,27.3881,27.6454,27.9028
253,27.8949,26.6816,26.9424,27.2031,27.4638,27.7243,27.9848,28.2453
254,28.2366,27.009,27.273,27.5369,27.8007,28.0645,28.3282,28.5919
255,28.5823,27.3402,27.6074,27.8745,28.1416,28.4086,28.6755,28.9424
256,28.932,27.6752,27.9457,28.2161,28.4864,28.7567,29.0269,29.297
257,29.2857,28.0141,28.2879,28.5616,28.8352,29.1088,29.3823,29.6557
258,29.6435,28.3569,28.6341,28.9111,29.1881,29.465,29.7418,30.0186
259,30.0055,28.7037,28.9842,29.2647,29.545,29.8253,30.1055,30.3857
260,30.3716,29.0545,29.3385,29.6223,29.9061,30.1898,30.4734,30.757
261,30.742,29.4094,29.6968,29.9841,30.2713,30.5585,30.8456,31.1326
262,31.1167,29.7684,30.0593,30.3501,30.6408,30.9315,31.2221,31.5126
263,31.4958,30.1316,30.426,30.7203,31.0146,31.3088,31.6029,31.897
264,31.8792,30.4989,30.7969,31.0949,31.3927,31.6905,31.9882,32.2858
265,32.267,30.8705,31.1722,31.4737,31.7752,32.0766,32.3779,32.6792
266,32.6594,31.2465,31.5518,31.857,32.1621,32.4671,32.7721,33.0771
267,33.0563,31.6267,31.9357,32.2447,32.5535,32.8622,33.1709,33.4796
268,33.4578,32.0114,32.3242,32.6368,32.9494,33.2619,33.5744,33.8868
269,33.864,32.4005,32.7171,33.0336,33.3499,33.6662,33.9825,34.2986
270,34.2748,32.7942,33.1146,33.4349,33.7551,34.0752,34.3953,34.7153
271,34.6904,33.1924,33.5167,33.8409,34.1649,34.489,34.8129,35.1368
272,35.1109,33.5952,33.9234,34.2515,34.5795,34.9075,35.2353,35.5632
273,35.5362,34.0027,34.3349,34.667,34.9989,35.3308,35.6627,35.9945
274,35.9664,34.4149,34.7511,35.0872,35.4232,35.7591,36.095,36.4308
275,36.4016,34.8319,35.1722,35.5123,35.8524,36.1924,36.5323,36.8721
276,36.8419,35.2537,35.5981,35.9423,36.2865,36.6306,36.9746,37.3186
277,37.2872,35.6804,36.0289,36.3774,36.7257,37.074,37.4221,37.7703
278,37.7377,36.112,36.4648,36.8174,37.17,37.5224,37.8748,38.2271
