gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
46,4.44143,2.87109e-005,0.000103885,0.000164565,0.000103885,2.87109e-005,0.000171761,0.000621487,0.000984497,0.000621487,0.000171761,0.000435084,0.00157428,0.00249381,0.00157428,0.000435084,0.000429968,0.00155576,0.00246448,0.00155576,0.000429968,0.000174313,0.000630721,0.000999125,0.000630721,0.000174313
47,4.61847,2.14269e-005,7.75294e-005,0.000122814,7.75294e-005,2.14269e-005,0.000134833,0.000487871,0.000772836,0.000487871,0.000134833,0.000359235,0.00129983,0.00205906,0.00129983,0.000359235,0.000371339,0.00134363,0.00212844,0.00134363,0.000371339,0.000156215,0.000565238,0.000895394,0.000565238,0.000156215
48,4.8007,1.55309e-005,5.61959e-005,8.90199e-005,5.61959e-005,1.55309e-005,0.000100343,0.000363073,0.000575144,0.000363073,0.000100343,0.000274252,0.000992333,0.00157195,0.000992333,0.000274252,0.000293378,0.00106154,0.00168158,0.00106154,0.000293378,0.000128864,0.000466271,0.00073862,0.000466271,0.000128864
49,4.98827,1.09017e-005,3.9446e-005,6.24863e-005,3.9446e-005,1.09017e-005,7.3661e-005,0.00026653,0.00042221,0.00026653,7.3661e-005,0.000211592,0.000765608,0.0012128,0.000765608,0.000211592,0.000237159,0.000858119,0.00135935,0.000858119,0.000237159,0.000108096,0.000391128,0.000619586,0.000391128,0.000108096
50,5.18134,7.62239e-006,2.75803e-005,4.36899e-005,2.75803e-005,7.62239e-006,5.38223e-005,0.000194747,0.000308498,0.000194747,5.38223e-005,0.000161085,0.000582859,0.000923307,0.000582859,0.000161085,0.000185804,0.000672299,0.00106499,0.000672299,0.000185804,8.59897e-005,0.000311139,0.000492875,0.000311139,8.59897e-005
51,5.38006,5.1656e-006,1.86908e-005,2.96081e-005,1.86908e-005,5.1656e-006,3.73677e-005,0.000135209,0.000214184,0.000135209,3.73677e-005,0.000115612,0.000418324,0.000662667,0.000418324,0.000115612,0.000139403,0.000504407,0.00079903,0.000504407,0.000139403,6.7626e-005,0.000244693,0.000387618,0.000244693,6.7626e-005
52,5.58461,3.4366e-006,1.24348e-005,1.96979e-005,1.24348e-005,3.4366e-006,2.5474e-005,9.21734e-005,0.000146012,9.21734e-005,2.5474e-005,8.08556e-005,0.000292562,0.000463447,0.000292562,8.08556e-005,0.000100036,0.000361962,0.000573383,0.000361962,0.000100036,4.96478e-005,0.000179642,0.000284571,0.000179642,4.96478e-005
53,5.79515,2.28169e-006,8.25592e-006,1.30782e-005,8.25592e-006,2.28169e-006,1.75345e-005,6.34455e-005,0.000100504,6.34455e-005,1.75345e-005,5.76028e-005,0.000208426,0.000330167,0.000208426,5.76028e-005,7.32596e-005,0.000265077,0.000419909,0.000265077,7.32596e-005,3.70416e-005,0.000134029,0.000212315,0.000134029,3.70416e-005
54,6.01186,1.45861e-006,5.27771e-006,8.36043e-006,5.27771e-006,1.45861e-006,1.16255e-005,4.2065e-005,6.66352e-005,4.2065e-005,1.16255e-005,3.95494e-005,0.000143103,0.000226689,0.000143103,3.95494e-005,5.18128e-005,0.000187476,0.00029698,0.000187476,5.18128e-005,2.67936e-005,9.69479e-005,0.000153575,9.69479e-005,2.67936e-005
55,6.23493,9.25945e-007,3.35037e-006,5.30732e-006,3.35037e-006,9.25945e-007,7.63061e-006,2.761e-005,4.37371e-005,2.761e-005,7.63061e-006,2.7103e-005,9.80677e-005,0.000155349,9.80677e-005,2.7103e-005,3.7042e-005,0.00013403,0.000212317,0.00013403,3.7042e-005,1.97996e-005,7.16413e-005,0.000113487,7.16413e-005,1.97996e-005
