gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
200,9.62577,-5.16577,-5.12915,-5.09299,-5.05727,-5.022,-4.98714,-4.95271,-5.12226,-5.08617,-5.05053,-5.01532,-4.98054,-4.94617,-4.91225,-5.07277,-5.03729,-5.00224,-4.9676,-4.93343,-4.89967,-4.86632,-5.0164,-4.98161,-4.94724,-4.91327,-4.87976,-4.84665,-4.81393,-4.95206,-4.91806,-4.88447,-4.85126,-4.81845,-4.78605,-4.75405,-4.87846,-4.84537,-4.81267,-4.78034,-4.7484,-4.71681,-4.68557,-4.79446,-4.76235,-4.73062,-4.69922,-4.6682,-4.6375,-4.60723
201,9.73566,-5.12483,-5.08831,-5.05226,-5.01664,-4.98148,-4.94673,-4.9124,-5.08193,-5.04594,-5.01041,-4.97529,-4.94062,-4.90635,-4.87251,-5.03313,-4.99774,-4.96279,-4.92825,-4.89415,-4.86049,-4.82724,-4.97753,-4.94283,-4.90855,-4.87466,-4.84124,-4.80821,-4.77558,-4.91407,-4.88015,-4.84663,-4.8135,-4.78078,-4.74845,-4.71653,-4.84146,-4.80844,-4.77581,-4.74355,-4.71168,-4.68015,-4.64899,-4.75857,-4.72652,-4.69484,-4.66351,-4.63255,-4.60193,-4.57172
202,9.84662,-5.08407,-5.04766,-5.01171,-4.9762,-4.94114,-4.9065,-4.87229,-5.04178,-5.00589,-4.97045,-4.93544,-4.90087,-4.86671,-4.83295,-4.99366,-4.95836,-4.92351,-4.88906,-4.85505,-4.82149,-4.78833,-4.93882,-4.90421,-4.87002,-4.83622,-4.80287,-4.76994,-4.7374,-4.87622,-4.84238,-4.80895,-4.7759,-4.74326,-4.711,-4.67917,-4.80459,-4.77164,-4.73909,-4.7069,-4.6751,-4.64365,-4.61256,-4.72281,-4.69082,-4.6592,-4.62793,-4.59703,-4.56648,-4.53634
203,9.95867,-5.04348,-5.00718,-4.97134,-4.93594,-4.901,-4.86647,-4.83236,-5.0018,-4.96601,-4.93068,-4.89577,-4.8613,-4.82724,-4.7936,-4.95435,-4.91915,-4.88439,-4.85004,-4.81613,-4.78265,-4.74959,-4.90027,-4.86575,-4.83164,-4.79794,-4.76467,-4.73183,-4.69938,-4.83853,-4.80477,-4.77142,-4.73845,-4.70589,-4.67372,-4.64197,-4.76787,-4.73499,-4.7025,-4.67039,-4.63866,-4.60729,-4.57628,-4.68717,-4.65524,-4.62368,-4.59248,-4.56164,-4.53117,-4.50109
204,10.0718,-5.00308,-4.96689,-4.93116,-4.89587,-4.86104,-4.82662,-4.79263,-4.96199,-4.92631,-4.89108,-4.85628,-4.82192,-4.78796,-4.75442,-4.91521,-4.88011,-4.84545,-4.8112,-4.77738,-4.74399,-4.71103,-4.86188,-4.82745,-4.79343,-4.75982,-4.72664,-4.69389,-4.66153,-4.80098,-4.7673,-4.73403,-4.70115,-4.66868,-4.63659,-4.60493,-4.73128,-4.69847,-4.66606,-4.63402,-4.60237,-4.57108,-4.54014,-4.65165,-4.61979,-4.5883,-4.55716,-4.52639,-4.496,-4.46599
205,10.1861,-4.96287,-4.92678,-4.89117,-4.85598,-4.82126,-4.78696,-4.75308,-4.92236,-4.88679,-4.85166,-4.81696,-4.78271,-4.74886,-4.71543,-4.87624,-4.84124,-4.80667,-4.77253,-4.73881,-4.7055,-4.67265,-4.82365,-4.78931,-4.75539,-4.72187,-4.68877,-4.65612,-4.62385,-4.76358,-4.72999,-4.69681,-4.66401,-4.63162,-4.59961,-4.56804,-4.69483,-4.66209,-4.62976,-4.5978,-4.56623,-4.53501,-4.50416,-4.61627,-4.58447,-4.55304,-4.52197,-4.49127,-4.46096,-4.43102
206,10.3014,-4.92286,-4.88686,-4.85135,-4.81629,-4.78168,-4.74748,-4.71372,-4.88291,-4.84744,-4.81242,-4.77783,-4.74368,-4.70995,-4.67663,-4.83743,-4.80253,-4.76807,-4.73402,-4.70041,-4.6672,-4.63444,-4.78558,-4.75133,-4.7175,-4.68408,-4.65107,-4.61851,-4.58634,-4.72633,-4.69283,-4.65973,-4.62702,-4.59472,-4.5628,-4.53131,-4.65851,-4.62586,-4.5936,-4.56172,-4.53023,-4.49909,-4.46832,-4.58101,-4.54928,-4.51792,-4.48692,-4.45629,-4.42605,-4.39618
207,10.4179,-4.88302,-4.84713,-4.81173,-4.77677,-4.74228,-4.7082,-4.67455,-4.84363,-4.80827,-4.77336,-4.73887,-4.70484,-4.67121,-4.638,-4.7988,-4.764,-4.72964,-4.6957,-4.66219,-4.62908,-4.59641,-4.74766,-4.71351,-4.67978,-4.64645,-4.61355,-4.58107,-4.549,-4.68924,-4.65582,-4.62281,-4.59019,-4.55798,-4.52614,-4.49475,-4.62234,-4.58977,-4.55759,-4.52579,-4.49438,-4.46332,-4.43263,-4.54588,-4.51421,-4.48293,-4.452,-4.42144,-4.39129,-4.36149
208,10.5356,-4.84337,-4.8076,-4.77228,-4.73745,-4.70307,-4.66911,-4.63558,-4.80453,-4.76927,-4.73447,-4.7001,-4.66618,-4.63266,-4.59956,-4.76033,-4.72563,-4.69138,-4.65754,-4.62414,-4.59113,-4.55856,-4.70991,-4.67585,-4.64222,-4.60899,-4.57619,-4.54379,-4.51183,-4.65229,-4.61896,-4.58604,-4.55352,-4.5214,-4.48965,-4.45834,-4.58632,-4.55382,-4.52172,-4.49,-4.45867,-4.4277,-4.39709,-4.51088,-4.47928,-4.44807,-4.41721,-4.38673,-4.35666,-4.32693
209,10.6544,-4.8039,-4.76824,-4.73305,-4.69831,-4.66405,-4.63021,-4.59679,-4.7656,-4.73046,-4.69577,-4.66151,-4.6277,-4.5943,-4.56131,-4.72203,-4.68744,-4.65329,-4.61956,-4.58626,-4.55336,-4.52088,-4.67232,-4.63836,-4.60483,-4.5717,-4.53899,-4.50669,-4.47482,-4.6155,-4.58226,-4.54943,-4.517,-4.48497,-4.45331,-4.42209,-4.55043,-4.51802,-4.486,-4.45436,-4.42311,-4.39223,-4.36171,-4.47601,-4.44449,-4.41335,-4.38256,-4.35217,-4.32217,-4.29252
