gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
106,32.5802,28.4761,28.4761,28.4761,28.447,28.447,28.447,28.4126,28.4126,28.4126,28.3742,28.3742,28.3742,28.3349,28.3349,28.3349
107,33.5818,29.3899,29.3899,29.3899,29.361,29.361,29.361,29.3266,29.3266,29.3266,29.2884,29.2884,29.2884,29.2493,29.2493,29.2493
108,34.6128,30.3309,30.3309,30.3309,30.3021,30.3021,30.3021,30.2679,30.2679,30.2679,30.2299,30.2299,30.2299,30.1909,30.1909,30.1909
109,35.674,31.2999,31.2999,31.2999,31.2712,31.2712,31.2712,31.2372,31.2372,31.2372,31.1993,31.1993,31.1993,31.1606,31.1606,31.1606
110,36.7663,32.2976,32.2976,32.2976,32.269,32.269,32.269,32.2352,32.2352,32.2352,32.1976,32.1976,32.1976,32.159,32.159,32.159
111,37.8906,33.3248,33.3248,33.3248,33.2964,33.2964,33.2964,33.2628,33.2628,33.2628,33.2253,33.2253,33.2253,33.1869,33.1869,33.1869
112,39.0479,34.3827,34.3827,34.3827,34.3543,34.3543,34.3543,34.3208,34.3208,34.3208,34.2834,34.2834,34.2834,34.245,34.245,34.245
113,40.239,35.4718,35.4718,35.4718,35.4436,35.4436,35.4436,35.4102,35.4102,35.4102,35.3729,35.3729,35.3729,35.3344,35.3344,35.3344
114,41.4651,36.5933,36.5933,36.5933,36.5651,36.5651,36.5651,36.5318,36.5318,36.5318,36.4946,36.4946,36.4946,36.4561,36.4561,36.4561
115,42.7271,37.748,37.748,37.748,37.7199,37.7199,37.7199,37.6867,37.6867,37.6867,37.6497,37.6497,37.6497,37.6113,37.6113,37.6113
116,44.0261,38.9369,38.9369,38.9369,38.9089,38.9089,38.9089,38.8759,38.8759,38.8759,38.8389,38.8389,38.8389,38.8007,38.8007,38.8007
117,45.3631,40.161,40.161,40.161,40.1332,40.1332,40.1332,40.1003,40.1003,40.1003,40.0634,40.0634,40.0634,40.0254,40.0254,40.0254
118,46.7394,41.4214,41.4214,41.4214,41.3937,41.3937,41.3937,41.3608,41.3608,41.3608,41.3241,41.3241,41.3241,41.2862,41.2862,41.2862
119,48.1559,42.719,42.719,42.719,42.6914,42.6914,42.6914,42.6587,42.6587,42.6587,42.622,42.622,42.622,42.5843,42.5843,42.5843
120,49.614,44.0551,44.0551,44.0551,44.0275,44.0275,44.0275,43.9949,43.9949,43.9949,43.9583,43.9583,43.9583,43.9207,43.9207,43.9207
121,51.1148,45.4301,45.4301,45.4301,45.4029,45.4029,45.4029,45.3704,45.3704,45.3704,45.3341,45.3341,45.3341,45.2967,45.2967,45.2967
122,52.6596,46.8451,46.8451,46.8451,46.8181,46.8181,46.8181,46.786,46.786,46.786,46.7501,46.7501,46.7501,46.7129,46.7129,46.7129
123,54.2497,48.3017,48.3017,48.3017,48.2746,48.2746,48.2746,48.2426,48.2426,48.2426,48.207,48.207,48.207,48.1703,48.1703,48.1703
124,55.8863,49.8015,49.8015,49.8015,49.7742,49.7742,49.7742,49.7421,49.7421,49.7421,49.7065,49.7065,49.7065,49.6699,49.6699,49.6699
125,57.5709,51.3454,51.3454,51.3454,51.3181,51.3181,51.3181,51.2859,51.2859,51.2859,51.2501,51.2501,51.2501,51.2133,51.2133,51.2133
126,59.3049,52.9349,52.9349,52.9349,52.9075,52.9075,52.9075,52.8752,52.8752,52.8752,52.8394,52.8394,52.8394,52.8025,52.8025,52.8025
127,61.0897,54.5713,54.5713,54.5713,54.5439,54.5439,54.5439,54.5116,54.5116,54.5116,54.4758,54.4758,54.4758,54.4389,54.4389,54.4389
128,62.9268,56.2559,56.2559,56.2559,56.2285,56.2285,56.2285,56.1963,56.1963,56.1963,56.1605,56.1605,56.1605,56.1236,56.1236,56.1236
129,64.8177,57.9903,57.9903,57.9903,57.9629,57.9629,57.9629,57.9307,57.9307,57.9307,57.8949,57.8949,57.8949,57.8581,57.8581,57.8581
130,66.7641,59.7758,59.7758,59.7758,59.7484,59.7484,59.7484,59.7162,59.7162,59.7162,59.6805,59.6805,59.6805,59.6437,59.6437,59.6437
131,68.7675,61.6139,61.6139,61.6139,61.5866,61.5866,61.5866,61.5545,61.5545,61.5545,61.5188,61.5188,61.5188,61.482,61.482,61.482
132,70.8295,63.5063,63.5063,63.5063,63.4789,63.4789,63.4789,63.4468,63.4468,63.4468,63.4112,63.4112,63.4112,63.3745,63.3745,63.3745
133,72.9521,65.4544,65.4544,65.4544,65.427,65.427,65.427,65.3948,65.3948,65.3948,65.3592,65.3592,65.3592,65.3226,65.3226,65.3226
134,75.1368,67.4599,67.4599,67.4599,67.4325,67.4325,67.4325,67.4002,67.4002,67.4002,67.3646,67.3646,67.3646,67.3281,67.3281,67.3281
135,77.3855,69.5244,69.5244,69.5244,69.497,69.497,69.497,69.4648,69.4648,69.4648,69.4291,69.4291,69.4291,69.3927,69.3927,69.3927
136,79.7002,71.6497,71.6497,71.6497,71.6224,71.6224,71.6224,71.5901,71.5901,71.5901,71.5544,71.5544,71.5544,71.518,71.518,71.518
137,82.0826,73.8377,73.8377,73.8377,73.8103,73.8103,73.8103,73.778,73.778,73.778,73.7424,73.7424,73.7424,73.706,73.706,73.706
138,84.5349,76.09,76.09,76.09,76.0626,76.0626,76.0626,76.0304,76.0304,76.0304,75.9947,75.9947,75.9947,75.9584,75.9584,75.9584
139,87.0591,78.4086,78.4086,78.4086,78.3813,78.3813,78.3813,78.3491,78.3491,78.3491,78.3134,78.3134,78.3134,78.2771,78.2771,78.2771
140,89.6572,80.7955,80.7955,80.7955,80.7682,80.7682,80.7682,80.736,80.736,80.736,80.7004,80.7004,80.7004,80.6641,80.6641,80.6641
141,92.3314,83.2527,83.2527,83.2527,83.2253,83.2253,83.2253,83.1932,83.1932,83.1932,83.1576,83.1576,83.1576,83.1214,83.1214,83.1214
142,95.084,85.7821,85.7821,85.7821,85.7548,85.7548,85.7548,85.7226,85.7226,85.7226,85.6871,85.6871,85.6871,85.651,85.651,85.651
143,97.9173,88.3859,88.3859,88.3859,88.3586,88.3586,88.3586,88.3265,88.3265,88.3265,88.291,88.291,88.291,88.2549,88.2549,88.2549
144,100.834,91.0662,91.0662,91.0662,91.039,91.039,91.039,91.0068,91.0068,91.0068,90.9713,90.9713,90.9713,90.9351,90.9351,90.9351
145,103.835,93.8254,93.8254,93.8254,93.7982,93.7982,93.7982,93.766,93.766,93.766,93.7304,93.7304,93.7304,93.6941,93.6941,93.6941
146,106.925,96.6657,96.6657,96.6657,96.6385,96.6385,96.6385,96.6063,96.6063,96.6063,96.5707,96.5707,96.5707,96.5343,96.5343,96.5343
147,110.105,99.5896,99.5896,99.5896,99.5623,99.5623,99.5623,99.5302,99.5302,99.5302,99.4945,99.4945,99.4945,99.458,99.458,99.458
148,113.379,102.599,102.599,102.599,102.572,102.572,102.572,102.54,102.54,102.54,102.504,102.504,102.504,102.468,102.468,102.468
149,116.748,105.698,105.698,105.698,105.67,105.67,105.67,105.638,105.638,105.638,105.602,105.602,105.602,105.566,105.566,105.566
150,120.216,108.887,108.887,108.887,108.86,108.86,108.86,108.827,108.827,108.827,108.792,108.792,108.792,108.755,108.755,108.755
151,123.786,112.17,112.17,112.17,112.143,112.143,112.143,112.11,112.11,112.11,112.075,112.075,112.075,112.038,112.038,112.038
152,127.461,115.549,115.549,115.549,115.522,115.522,115.522,115.49,115.49,115.49,115.454,115.454,115.454,115.418,115.418,115.418
153,131.243,119.028,119.028,119.028,119.001,119.001,119.001,118.969,118.969,118.969,118.933,118.933,118.933,118.896,118.896,118.896
