gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
171,9.86949,-4.40202,-4.40073,-4.39753,-4.39254,-4.38585,-4.33439,-4.33336,-4.33044,-4.32575,-4.31938,-4.25876,-4.25801,-4.25539,-4.25105,-4.24505,-4.17758,-4.17706,-4.17479,-4.17078,-4.16519,-4.09363,-4.09333,-4.0914,-4.08777,-4.08256
172,10.0024,-4.38621,-4.38489,-4.38168,-4.37669,-4.36999,-4.31938,-4.31833,-4.31541,-4.3107,-4.30432,-4.24464,-4.24387,-4.24125,-4.23687,-4.23086,-4.16437,-4.16384,-4.16154,-4.15752,-4.1519,-4.08133,-4.08101,-4.07904,-4.07541,-4.07018
173,10.1368,-4.37042,-4.3691,-4.36588,-4.36087,-4.35415,-4.30441,-4.30334,-4.3004,-4.29568,-4.28929,-4.23054,-4.22974,-4.22711,-4.22272,-4.21668,-4.15118,-4.15063,-4.1483,-4.14427,-4.13863,-4.06902,-4.06868,-4.0667,-4.06304,-4.05779
174,10.2728,-4.35467,-4.35334,-4.35011,-4.34509,-4.33836,-4.28946,-4.28837,-4.28543,-4.28069,-4.2743,-4.21646,-4.21564,-4.21299,-4.20858,-4.20253,-4.13799,-4.13742,-4.13508,-4.13103,-4.12535,-4.05671,-4.05636,-4.05437,-4.05068,-4.0454
175,10.4103,-4.33895,-4.33761,-4.33437,-4.32934,-4.3226,-4.27455,-4.27343,-4.27047,-4.26572,-4.25933,-4.2024,-4.20155,-4.19889,-4.19446,-4.18841,-4.1248,-4.12422,-4.12186,-4.11779,-4.11209,-4.0444,-4.04404,-4.04203,-4.03832,-4.03301
176,10.5494,-4.32328,-4.32192,-4.31867,-4.31363,-4.30688,-4.25965,-4.25853,-4.25555,-4.2508,-4.24438,-4.18836,-4.18749,-4.1848,-4.18036,-4.1743,-4.11162,-4.11102,-4.10865,-4.10455,-4.09884,-4.03211,-4.03173,-4.0297,-4.02596,-4.02064
177,10.6902,-4.30764,-4.30626,-4.30301,-4.29794,-4.29119,-4.24479,-4.24365,-4.24065,-4.23589,-4.22947,-4.17433,-4.17345,-4.17074,-4.16629,-4.16021,-4.09846,-4.09783,-4.09545,-4.09133,-4.08561,-4.01981,-4.01942,-4.01735,-4.0136,-4.00827
178,10.8326,-4.29204,-4.29064,-4.28738,-4.2823,-4.27555,-4.22995,-4.2288,-4.22578,-4.22102,-4.21457,-4.16031,-4.15942,-4.15669,-4.15223,-4.14614,-4.08531,-4.08466,-4.08225,-4.07812,-4.07239,-4.00751,-4.0071,-4.00501,-4.00125,-3.99589
179,10.9766,-4.27646,-4.27505,-4.27178,-4.2667,-4.25995,-4.21514,-4.21397,-4.21094,-4.20616,-4.19971,-4.14632,-4.14541,-4.14267,-4.13819,-4.13208,-4.07216,-4.0715,-4.06907,-4.06493,-4.05918,-3.9952,-3.99479,-3.99267,-3.98889,-3.98351
180,11.1223,-4.26092,-4.2595,-4.25622,-4.25113,-4.24439,-4.20035,-4.19917,-4.19613,-4.19134,-4.18487,-4.13233,-4.13141,-4.12865,-4.12417,-4.11804,-4.05902,-4.05835,-4.05589,-4.05174,-4.04597,-3.98289,-3.98247,-3.98034,-3.97653,-3.97114
181,11.2697,-4.24542,-4.24399,-4.2407,-4.23561,-4.22885,-4.18558,-4.18439,-4.18134,-4.17653,-4.17006,-4.11837,-4.11743,-4.11466,-4.11016,-4.10401,-4.04589,-4.0452,-4.04273,-4.03856,-4.03278,-3.9706,-3.97015,-3.96801,-3.96418,-3.95876
182,11.4188,-4.22995,-4.22852,-4.2252,-4.22012,-4.21336,-4.17083,-4.16963,-4.16658,-4.16175,-4.15528,-4.10442,-4.10346,-4.10068,-4.09616,-4.09001,-4.03276,-4.03206,-4.02958,-4.02539,-4.01959,-3.95831,-3.95784,-3.95568,-3.95182,-3.9464
183,11.5696,-4.21452,-4.21307,-4.20975,-4.20466,-4.19789,-4.15612,-4.1549,-4.15184,-4.147,-4.14052,-4.09049,-4.0895,-4.08671,-4.08219,-4.07603,-4.01964,-4.01893,-4.01644,-4.01223,-4.00641,-3.94602,-3.94553,-3.94334,-3.93947,-3.93403
184,11.7222,-4.19912,-4.19766,-4.19432,-4.18924,-4.18245,-4.14143,-4.14019,-4.13712,-4.13227,-4.12578,-4.07658,-4.07558,-4.07277,-4.06823,-4.06207,-4.00655,-4.00581,-4.0033,-3.99907,-3.99325,-3.93372,-3.93322,-3.931,-3.92713,-3.92167
185,11.8766,-4.18375,-4.18228,-4.17893,-4.17384,-4.16705,-4.12677,-4.1255,-4.12242,-4.11757,-4.11107,-4.06269,-4.06167,-4.05885,-4.05429,-4.04813,-3.99346,-3.9927,-3.99017,-3.98592,-3.98009,-3.92142,-3.9209,-3.91868,-3.91478,-3.90931
186,12.0327,-4.16841,-4.16693,-4.16358,-4.15848,-4.15169,-4.11212,-4.11085,-4.10775,-4.10289,-4.0964,-4.04881,-4.04778,-4.04493,-4.04038,-4.0342,-3.98037,-3.9796,-3.97705,-3.97279,-3.96694,-3.90912,-3.90859,-3.90636,-3.90244,-3.89695
187,12.1906,-4.1531,-4.15161,-4.14826,-4.14315,-4.13636,-4.0975,-4.09622,-4.0931,-4.08824,-4.08175,-4.03495,-4.0339,-4.03104,-4.02648,-4.02029,-3.96729,-3.9665,-3.96393,-3.95967,-3.95381,-3.89683,-3.89629,-3.89404,-3.8901,-3.88459
188,12.3504,-4.13782,-4.13632,-4.13297,-4.12785,-4.12106,-4.08291,-4.08162,-4.07849,-4.07362,-4.06713,-4.0211,-4.02004,-4.01717,-4.0126,-4.00639,-3.95422,-3.95341,-3.95082,-3.94656,-3.94068,-3.88454,-3.88398,-3.88172,-3.87776,-3.87224
189,12.512,-4.12258,-4.12107,-4.11771,-4.11258,-4.10579,-4.06835,-4.06704,-4.0639,-4.05903,-4.05253,-4.00726,-4.00619,-4.00332,-3.99873,-3.99251,-3.94115,-3.94033,-3.93773,-3.93345,-3.92757,-3.87226,-3.87169,-3.8694,-3.86542,-3.8599
190,12.6755,-4.10737,-4.10585,-4.10248,-4.09734,-4.09056,-4.05381,-4.05249,-4.04933,-4.04447,-4.03796,-3.99344,-3.99236,-3.98948,-3.98488,-3.97865,-3.92809,-3.92726,-3.92465,-3.92036,-3.91446,-3.85997,-3.85939,-3.85707,-3.85309,-3.84755
