gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
90,19.9314,13.6523,13.6523,13.6523,13.5306,13.5306,13.5306,13.3844,13.3844,13.3844,13.2189,13.2189,13.2189,13.0454,13.0454,13.0454
91,20.5623,14.1297,14.1297,14.1297,14.0078,14.0078,14.0078,13.8618,13.8618,13.8618,13.6967,13.6967,13.6967,13.5232,13.5232,13.5232
92,21.2118,14.6217,14.6217,14.6217,14.4994,14.4994,14.4994,14.3534,14.3534,14.3534,14.1888,14.1888,14.1888,14.0158,14.0158,14.0158
93,21.8803,15.1292,15.1292,15.1292,15.0062,15.0062,15.0062,14.8599,14.8599,14.8599,14.6953,14.6953,14.6953,14.5222,14.5222,14.5222
94,22.5684,15.6526,15.6526,15.6526,15.5296,15.5296,15.5296,15.383,15.383,15.383,15.2182,15.2182,15.2182,15.0453,15.0453,15.0453
95,23.2766,16.1921,16.1921,16.1921,16.0691,16.0691,16.0691,15.9225,15.9225,15.9225,15.7578,15.7578,15.7578,15.5856,15.5856,15.5856
96,24.0056,16.7484,16.7484,16.7484,16.6252,16.6252,16.6252,16.4783,16.4783,16.4783,16.3136,16.3136,16.3136,16.1418,16.1418,16.1418
97,24.756,17.3216,17.3216,17.3216,17.1987,17.1987,17.1987,17.0516,17.0516,17.0516,16.8865,16.8865,16.8865,16.7148,16.7148,16.7148
98,25.5283,17.9122,17.9122,17.9122,17.7898,17.7898,17.7898,17.643,17.643,17.643,17.4778,17.4778,17.4778,17.3056,17.3056,17.3056
99,26.3233,18.5214,18.5214,18.5214,18.3992,18.3992,18.3992,18.2528,18.2528,18.2528,18.0878,18.0878,18.0878,17.9152,17.9152,17.9152
100,27.1416,19.149,19.149,19.149,19.027,19.027,19.027,18.8811,18.8811,18.8811,18.7164,18.7164,18.7164,18.5439,18.5439,18.5439
101,27.9838,19.7958,19.7958,19.7958,19.6738,19.6738,19.6738,19.5281,19.5281,19.5281,19.364,19.364,19.364,19.1922,19.1922,19.1922
102,28.8508,20.4629,20.4629,20.4629,20.3408,20.3408,20.3408,20.1951,20.1951,20.1951,20.0312,20.0312,20.0312,19.8601,19.8601,19.8601
103,29.7431,21.1504,21.1504,21.1504,21.0282,21.0282,21.0282,20.8824,20.8824,20.8824,20.7186,20.7186,20.7186,20.5478,20.5478,20.5478
104,30.6616,21.8588,21.8588,21.8588,21.7364,21.7364,21.7364,21.5905,21.5905,21.5905,21.4267,21.4267,21.4267,21.2562,21.2562,21.2562
105,31.607,22.589,22.589,22.589,22.4663,22.4663,22.4663,22.3204,22.3204,22.3204,22.1568,22.1568,22.1568,21.9864,21.9864,21.9864
106,32.5802,23.3419,23.3419,23.3419,23.219,23.219,23.219,23.0728,23.0728,23.0728,22.9093,22.9093,22.9093,22.7393,22.7393,22.7393
107,33.5818,24.1174,24.1174,24.1174,23.9947,23.9947,23.9947,23.8483,23.8483,23.8483,23.6844,23.6844,23.6844,23.5145,23.5145,23.5145
108,34.6128,24.9162,24.9162,24.9162,24.7936,24.7936,24.7936,24.6473,24.6473,24.6473,24.4833,24.4833,24.4833,24.3134,24.3134,24.3134
109,35.674,25.739,25.739,25.739,25.6164,25.6164,25.6164,25.4705,25.4705,25.4705,25.3072,25.3072,25.3072,25.1374,25.1374,25.1374
110,36.7663,26.5872,26.5872,26.5872,26.4645,26.4645,26.4645,26.3188,26.3188,26.3188,26.1561,26.1561,26.1561,25.9869,25.9869,25.9869
111,37.8906,27.4614,27.4614,27.4614,27.3389,27.3389,27.3389,27.1933,27.1933,27.1933,27.0305,27.0305,27.0305,26.8616,26.8616,26.8616
