gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
98,25.5283,-12.6621,-12.6621,-12.6594,-12.5876,-12.5876,-12.5853,-12.4965,-12.4965,-12.4945,-12.3884,-12.3884,-12.3866,-12.2647,-12.2647,-12.2635
99,26.3233,-12.546,-12.546,-12.5433,-12.4738,-12.4738,-12.4714,-12.3853,-12.3853,-12.3833,-12.2803,-12.2803,-12.2785,-12.1601,-12.1601,-12.1589
100,27.1416,-12.4302,-12.4302,-12.4275,-12.3601,-12.3601,-12.3577,-12.2742,-12.2742,-12.2722,-12.1723,-12.1723,-12.1705,-12.0555,-12.0555,-12.0542
101,27.9838,-12.3146,-12.3146,-12.3119,-12.2466,-12.2466,-12.2442,-12.1632,-12.1632,-12.1612,-12.0643,-12.0643,-12.0625,-11.9508,-11.9508,-11.9495
102,28.8508,-12.1992,-12.1992,-12.1965,-12.1332,-12.1332,-12.1308,-12.0524,-12.0524,-12.0504,-11.9564,-11.9564,-11.9546,-11.8461,-11.8461,-11.8447
103,29.7431,-12.084,-12.084,-12.0814,-12.02,-12.02,-12.0176,-11.9417,-11.9417,-11.9396,-11.8485,-11.8485,-11.8467,-11.7413,-11.7413,-11.7399
104,30.6616,-11.9692,-11.9692,-11.9666,-11.9071,-11.9071,-11.9046,-11.8311,-11.8311,-11.829,-11.7407,-11.7407,-11.7389,-11.6366,-11.6366,-11.6351
105,31.607,-11.8545,-11.8545,-11.852,-11.7943,-11.7943,-11.7919,-11.7207,-11.7207,-11.7186,-11.6329,-11.6329,-11.6311,-11.5319,-11.5319,-11.5303
106,32.5802,-11.7402,-11.7402,-11.7376,-11.6818,-11.6818,-11.6794,-11.6104,-11.6104,-11.6083,-11.5253,-11.5253,-11.5235,-11.4271,-11.4271,-11.4256
107,33.5818,-11.6262,-11.6262,-11.6236,-11.5696,-11.5696,-11.5671,-11.5003,-11.5003,-11.4982,-11.4177,-11.4177,-11.416,-11.3225,-11.3225,-11.3209
