gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],VF[7],VF[8],VF[9],VF[10],VF[11],VF[12],VF[13],VF[14],VF[15],VF[16],VF[17],VF[18],VF[19],VF[20],VF[21],VF[22],VF[23],VF[24],VF[25],VF[26],VF[27],VF[28],VF[29],VF[30],VF[31],VF[32],VF[33],VF[34],VF[35],VF[36],VF[37],VF[38],VF[39],VF[40],VF[41],VF[42],VF[43],VF[44],VF[45],VF[46],VF[47],VF[48]
158,5.85652,-2.3636,-2.35443,-2.34533,-2.3363,-2.32736,-2.31848,-2.30969,-2.32759,-2.31872,-2.30992,-2.30119,-2.29254,-2.28395,-2.27543,-2.28747,-2.27892,-2.27045,-2.26204,-2.2537,-2.24543,-2.23722,-2.24275,-2.23456,-2.22643,-2.21836,-2.21037,-2.20243,-2.19454,-2.1929,-2.18509,-2.17735,-2.16965,-2.16202,-2.15443,-2.14691,-2.13741,-2.13001,-2.12266,-2.11536,-2.10812,-2.10092,-2.09378,-2.07578,-2.06881,-2.06189,-2.05502,-2.04819,-2.0414,-2.03467
159,5.92951,-2.35241,-2.34322,-2.3341,-2.32506,-2.3161,-2.30721,-2.2984,-2.31676,-2.30788,-2.29906,-2.29031,-2.28164,-2.27303,-2.2645,-2.27705,-2.26848,-2.25998,-2.25155,-2.2432,-2.2349,-2.22667,-2.23276,-2.22455,-2.21639,-2.2083,-2.20029,-2.19233,-2.18442,-2.18337,-2.17554,-2.16777,-2.16005,-2.15239,-2.14478,-2.13724,-2.12838,-2.12095,-2.11358,-2.10626,-2.09899,-2.09177,-2.0846,-2.06728,-2.06028,-2.05334,-2.04644,-2.03958,-2.03277,-2.02602
160,6.00321,-2.34122,-2.33201,-2.32289,-2.31383,-2.30485,-2.29595,-2.28712,-2.30594,-2.29704,-2.28821,-2.27944,-2.27075,-2.26213,-2.25357,-2.26663,-2.25804,-2.24952,-2.24106,-2.23269,-2.22438,-2.21613,-2.22277,-2.21453,-2.20636,-2.19824,-2.19021,-2.18222,-2.1743,-2.17384,-2.16598,-2.15819,-2.15045,-2.14277,-2.13513,-2.12757,-2.11935,-2.11188,-2.10449,-2.09714,-2.08985,-2.0826,-2.07542,-2.05877,-2.05174,-2.04477,-2.03785,-2.03097,-2.02413,-2.01735
161,6.07764,-2.33004,-2.32082,-2.31168,-2.3026,-2.29362,-2.2847,-2.27585,-2.29513,-2.2862,-2.27736,-2.26857,-2.25987,-2.25123,-2.24266,-2.25621,-2.2476,-2.23906,-2.23058,-2.22219,-2.21386,-2.2056,-2.21277,-2.20451,-2.19632,-2.18818,-2.18012,-2.17212,-2.16418,-2.1643,-2.15642,-2.14861,-2.14084,-2.13314,-2.12548,-2.11789,-2.1103,-2.10281,-2.0954,-2.08802,-2.08071,-2.07343,-2.06623,-2.05024,-2.04319,-2.0362,-2.02924,-2.02234,-2.01548,-2.00868
162,6.15279,-2.31887,-2.30963,-2.30048,-2.29139,-2.28239,-2.27345,-2.26459,-2.28432,-2.27538,-2.26651,-2.25771,-2.24899,-2.24034,-2.23175,-2.24579,-2.23716,-2.22861,-2.22011,-2.21169,-2.20335,-2.19506,-2.20278,-2.1945,-2.18628,-2.17812,-2.17004,-2.16202,-2.15406,-2.15476,-2.14686,-2.13902,-2.13123,-2.1235,-2.11582,-2.10822,-2.10124,-2.09374,-2.08629,-2.0789,-2.07156,-2.06426,-2.05703,-2.04171,-2.03464,-2.02762,-2.02063,-2.0137,-2.00683,-2
163,6.22868,-2.30771,-2.29846,-2.28928,-2.28018,-2.27117,-2.26222,-2.25335,-2.27352,-2.26455,-2.25567,-2.24686,-2.23812,-2.22945,-2.22085,-2.23537,-2.22673,-2.21815,-2.20964,-2.2012,-2.19284,-2.18454,-2.19278,-2.18448,-2.17624,-2.16806,-2.15996,-2.15192,-2.14394,-2.14521,-2.13729,-2.12943,-2.12162,-2.11387,-2.10617,-2.09854,-2.09218,-2.08465,-2.07719,-2.06976,-2.0624,-2.05508,-2.04783,-2.03317,-2.02607,-2.01902,-2.01201,-2.00506,-1.99816,-1.99131
164,6.30531,-2.29656,-2.28729,-2.2781,-2.26899,-2.25996,-2.251,-2.24211,-2.26273,-2.25374,-2.24484,-2.23601,-2.22726,-2.21857,-2.20995,-2.22496,-2.2163,-2.2077,-2.19917,-2.19071,-2.18233,-2.17401,-2.18278,-2.17446,-2.1662,-2.158,-2.14988,-2.14182,-2.13382,-2.13567,-2.12772,-2.11983,-2.112,-2.10423,-2.09651,-2.08886,-2.08311,-2.07556,-2.06807,-2.06063,-2.05324,-2.0459,-2.03862,-2.02462,-2.01749,-2.01042,-2.00338,-1.99641,-1.98949,-1.98261
165,6.38269,-2.28543,-2.27613,-2.26692,-2.2578,-2.24876,-2.23978,-2.23089,-2.25194,-2.24293,-2.23401,-2.22516,-2.2164,-2.2077,-2.19907,-2.21455,-2.20587,-2.19725,-2.1887,-2.18023,-2.17182,-2.16349,-2.17278,-2.16444,-2.15616,-2.14794,-2.1398,-2.13172,-2.12371,-2.12611,-2.11814,-2.11024,-2.10238,-2.09459,-2.08685,-2.07918,-2.07404,-2.06647,-2.05895,-2.05148,-2.04407,-2.03671,-2.02941,-2.01606,-2.00891,-2.00181,-1.99474,-1.98775,-1.9808,-1.9739
166,6.46083,-2.2743,-2.26499,-2.25577,-2.24662,-2.23756,-2.22858,-2.21967,-2.24115,-2.23213,-2.22319,-2.21433,-2.20555,-2.19683,-2.18819,-2.20414,-2.19544,-2.18681,-2.17824,-2.16975,-2.16133,-2.15298,-2.16278,-2.15442,-2.14612,-2.13788,-2.12972,-2.12163,-2.11359,-2.11656,-2.10857,-2.10064,-2.09276,-2.08495,-2.07718,-2.0695,-2.06496,-2.05736,-2.04982,-2.04233,-2.03489,-2.02752,-2.0202,-2.00749,-2.00031,-1.99318,-1.9861,-1.97909,-1.97211,-1.96518
167,6.53974,-2.26318,-2.25386,-2.24462,-2.23545,-2.22638,-2.21739,-2.20847,-2.23038,-2.22134,-2.21238,-2.2035,-2.1947,-2.18597,-2.17732,-2.19373,-2.18501,-2.17637,-2.16779,-2.15928,-2.15083,-2.14247,-2.15278,-2.1444,-2.13608,-2.12782,-2.11964,-2.11153,-2.10348,-2.107,-2.09898,-2.09103,-2.08313,-2.0753,-2.06752,-2.05982,-2.05587,-2.04825,-2.04069,-2.03317,-2.02572,-2.01832,-2.01098,-1.99891,-1.99171,-1.98455,-1.97745,-1.97041,-1.96341,-1.95646
