gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
77,13.1911,2.88728e-006,3.58339e-006,2.88728e-006,1.26751e-005,1.5731e-005,1.26751e-005,2.52741e-005,3.13676e-005,2.52741e-005,2.11377e-005,2.62339e-005,2.11377e-005,7.73427e-006,9.59898e-006,7.73427e-006
78,13.6246,2.42231e-006,3.00632e-006,2.42231e-006,1.04822e-005,1.30094e-005,1.04822e-005,2.0516e-005,2.54623e-005,2.0516e-005,1.70014e-005,2.11004e-005,1.70014e-005,6.30637e-006,7.82682e-006,6.30637e-006
79,14.0707,1.9871e-006,2.46618e-006,1.9871e-006,8.56044e-006,1.06243e-005,8.56044e-006,1.67204e-005,2.07517e-005,1.67204e-005,1.36904e-005,1.69911e-005,1.36904e-005,4.92117e-006,6.10765e-006,4.92117e-006
80,14.5299,1.63877e-006,2.03387e-006,1.63877e-006,7.07911e-006,8.78586e-006,7.07911e-006,1.37657e-005,1.70846e-005,1.37657e-005,1.11989e-005,1.3899e-005,1.11989e-005,4.00257e-006,4.96757e-006,4.00257e-006
81,15.0026,1.34835e-006,1.67344e-006,1.34835e-006,5.84791e-006,7.25782e-006,5.84791e-006,1.1402e-005,1.4151e-005,1.1402e-005,9.24504e-006,1.1474e-005,9.24504e-006,3.2726e-006,4.06161e-006,3.2726e-006
82,15.4891,1.09542e-006,1.35952e-006,1.09542e-006,4.70924e-006,5.84462e-006,4.70924e-006,9.16528e-006,1.1375e-005,9.16528e-006,7.47156e-006,9.27293e-006,7.47156e-006,2.67651e-006,3.32181e-006,2.67651e-006
83,15.9899,9.33366e-007,1.1584e-006,9.33366e-007,4.02654e-006,4.99733e-006,4.02654e-006,7.75202e-006,9.621e-006,7.75202e-006,6.18127e-006,7.67155e-006,6.18127e-006,2.16382e-006,2.68551e-006,2.16382e-006
84,16.5054,7.77769e-007,9.65287e-007,7.77769e-007,3.31178e-006,4.11024e-006,3.31178e-006,6.43381e-006,7.98498e-006,6.43381e-006,5.2357e-006,6.49801e-006,5.2357e-006,1.86016e-006,2.30864e-006,1.86016e-006
85,17.036,6.26631e-007,7.77709e-007,6.26631e-007,2.6936e-006,3.34302e-006,2.6936e-006,5.28065e-006,6.55379e-006,5.28065e-006,4.3036e-006,5.34119e-006,4.3036e-006,1.51478e-006,1.87998e-006,1.51478e-006
86,17.5821,5.22303e-007,6.48228e-007,5.22303e-007,2.2248e-006,2.76119e-006,2.2248e-006,4.25642e-006,5.28263e-006,4.25642e-006,3.4072e-006,4.22867e-006,3.4072e-006,1.20244e-006,1.49234e-006,1.20244e-006
87,18.1442,4.23402e-007,5.25483e-007,4.23402e-007,1.80582e-006,2.2412e-006,1.80582e-006,3.48462e-006,4.32476e-006,3.48462e-006,2.81761e-006,3.49692e-006,2.81761e-006,9.98394e-007,1.2391e-006,9.98394e-007
88,18.7228,3.55879e-007,4.4168e-007,3.55879e-007,1.5338e-006,1.9036e-006,1.5338e-006,2.92648e-006,3.63204e-006,2.92648e-006,2.28806e-006,2.8397e-006,2.28806e-006,7.80563e-007,9.68755e-007,7.80563e-007
89,19.3184,2.8917e-007,3.58889e-007,2.8917e-007,1.21622e-006,1.50945e-006,1.21622e-006,2.28492e-006,2.83581e-006,2.28492e-006,1.78184e-006,2.21143e-006,1.78184e-006,6.107e-007,7.57937e-007,6.107e-007
90,19.9314,2.3327e-007,2.89511e-007,2.3327e-007,9.7488e-007,1.20992e-006,9.7488e-007,1.83874e-006,2.28205e-006,1.83874e-006,1.44655e-006,1.79531e-006,1.44655e-006,4.95812e-007,6.15351e-007,4.95812e-007
91,20.5623,1.94692e-007,2.41632e-007,1.94692e-007,8.0419e-007,9.98077e-007,8.0419e-007,1.49125e-006,1.85079e-006,1.49125e-006,1.15249e-006,1.43035e-006,1.15249e-006,3.91695e-007,4.86131e-007,3.91695e-007
92,21.2118,1.53844e-007,1.90935e-007,1.53844e-007,6.39622e-007,7.93832e-007,6.39622e-007,1.18799e-006,1.47441e-006,1.18799e-006,9.26264e-007,1.14958e-006,9.26264e-007,3.19003e-007,3.95914e-007,3.19003e-007
93,21.8803,1.23794e-007,1.5364e-007,1.23794e-007,5.12988e-007,6.36668e-007,5.12988e-007,9.49311e-007,1.17819e-006,9.49311e-007,7.34705e-007,9.1184e-007,7.34705e-007,2.50801e-007,3.11268e-007,2.50801e-007
94,22.5684,9.86855e-008,1.22478e-007,9.86855e-008,4.09284e-007,5.07961e-007,4.09284e-007,7.62646e-007,9.46518e-007,7.62646e-007,5.95424e-007,7.38979e-007,5.95424e-007,2.04572e-007,2.53894e-007,2.04572e-007
95,23.2766,7.91008e-008,9.81718e-008,7.91008e-008,3.28147e-007,4.07263e-007,3.28147e-007,6.12359e-007,7.59997e-007,6.12359e-007,4.78873e-007,5.94327e-007,4.78873e-007,1.6497e-007,2.04744e-007,1.6497e-007
96,24.0056,6.48761e-008,8.05176e-008,6.48761e-008,2.66164e-007,3.30335e-007,2.66164e-007,4.87766e-007,6.05365e-007,4.87766e-007,3.76077e-007,4.66748e-007,3.76077e-007,1.29282e-007,1.60452e-007,1.29282e-007
97,24.756,5.13714e-008,6.37569e-008,5.13714e-008,2.11073e-007,2.61962e-007,2.11073e-007,3.88503e-007,4.8217e-007,3.88503e-007,2.99105e-007,3.71218e-007,2.99105e-007,1.01481e-007,1.25948e-007,1.01481e-007
98,25.5283,4.16154e-008,5.16487e-008,4.16154e-008,1.68143e-007,2.08681e-007,1.68143e-007,3.03532e-007,3.76712e-007,3.03532e-007,2.29084e-007,2.84315e-007,2.29084e-007,7.64571e-008,9.48906e-008,7.64571e-008
99,26.3233,3.27551e-008,4.06523e-008,3.27551e-008,1.33784e-007,1.66039e-007,1.33784e-007,2.43665e-007,3.02411e-007,2.43665e-007,1.84285e-007,2.28715e-007,1.84285e-007,6.08444e-008,7.55138e-008,6.08444e-008
100,27.1416,2.56865e-008,3.18794e-008,2.56865e-008,1.03834e-007,1.28868e-007,1.03834e-007,1.88341e-007,2.33749e-007,1.88341e-007,1.4314e-007,1.77651e-007,1.4314e-007,4.7949e-008,5.95094e-008,4.7949e-008
101,27.9838,2.08719e-008,2.59041e-008,2.08719e-008,8.46326e-008,1.05037e-007,8.46326e-008,1.52157e-007,1.88842e-007,1.52157e-007,1.13771e-007,1.41201e-007,1.13771e-007,3.78516e-008,4.69775e-008,3.78516e-008
102,28.8508,1.66451e-008,2.06582e-008,1.66451e-008,6.80892e-008,8.45052e-008,6.80892e-008,1.2278e-007,1.52382e-007,1.2278e-007,9.13481e-008,1.13372e-007,9.13481e-008,3.01632e-008,3.74354e-008,3.01632e-008
103,29.7431,1.35883e-008,1.68644e-008,1.35883e-008,5.51288e-008,6.84201e-008,5.51288e-008,9.79004e-008,1.21504e-007,9.79004e-008,7.16496e-008,8.89241e-008,7.16496e-008,2.32706e-008,2.8881e-008,2.32706e-008
104,30.6616,1.03854e-008,1.28893e-008,1.03854e-008,4.18325e-008,5.19182e-008,4.18325e-008,7.49653e-008,9.30392e-008,7.49653e-008,5.5663e-008,6.90832e-008,5.5663e-008,1.82258e-008,2.26199e-008,1.82258e-008
105,31.607,8.26109e-009,1.02528e-008,8.26109e-009,3.33387e-008,4.13765e-008,3.33387e-008,5.92614e-008,7.35491e-008,5.92614e-008,4.36e-008,5.41118e-008,4.36e-008,1.42286e-008,1.7659e-008,1.42286e-008
106,32.5802,6.50941e-009,8.07881e-009,6.50941e-009,2.60926e-008,3.23834e-008,2.60926e-008,4.65339e-008,5.7753e-008,4.65339e-008,3.43817e-008,4.2671e-008,3.43817e-008,1.12061e-008,1.39079e-008,1.12061e-008
107,33.5818,5.08028e-009,6.30512e-009,5.08028e-009,2.01965e-008,2.50658e-008,2.01965e-008,3.6051e-008,4.47427e-008,3.6051e-008,2.70388e-008,3.35577e-008,2.70388e-008,9.03082e-009,1.12081e-008,9.03082e-009
108,34.6128,4.06714e-009,5.04772e-009,4.06714e-009,1.62038e-008,2.01105e-008,1.62038e-008,2.88143e-008,3.57613e-008,2.88143e-008,2.12133e-008,2.63278e-008,2.12133e-008,6.82696e-009,8.47292e-009,6.82696e-009
109,35.674,3.18732e-009,3.95577e-009,3.18732e-009,1.23885e-008,1.53754e-008,1.23885e-008,2.16965e-008,2.69275e-008,2.16965e-008,1.5958e-008,1.98054e-008,1.5958e-008,5.18705e-009,6.43763e-009,5.18705e-009
110,36.7663,2.53099e-009,3.1412e-009,2.53099e-009,9.85177e-009,1.2227e-008,9.85177e-009,1.71903e-008,2.13348e-008,1.71903e-008,1.2602e-008,1.56403e-008,1.2602e-008,4.13483e-009,5.13173e-009,4.13483e-009
111,37.8906,1.9689e-009,2.44359e-009,1.9689e-009,7.81641e-009,9.70092e-009,7.81641e-009,1.3857e-008,1.71979e-008,1.3857e-008,1.01678e-008,1.26192e-008,1.01678e-008,3.25257e-009,4.03675e-009,3.25257e-009
112,39.0479,1.54259e-009,1.9145e-009,1.54259e-009,6.04672e-009,7.50456e-009,6.04672e-009,1.05652e-008,1.31124e-008,1.05652e-008,7.66328e-009,9.51087e-009,7.66328e-009,2.44126e-009,3.02984e-009,2.44126e-009
113,40.239,1.22057e-009,1.51485e-009,1.22057e-009,4.82617e-009,5.98974e-009,4.82617e-009,8.4622e-009,1.05024e-008,8.4622e-009,6.09229e-009,7.56113e-009,6.09229e-009,1.90435e-009,2.36348e-009,1.90435e-009
114,41.4651,9.70191e-010,1.2041e-009,9.70191e-010,3.76213e-009,4.66917e-009,3.76213e-009,6.4709e-009,8.03101e-009,6.4709e-009,4.64377e-009,5.76337e-009,4.64377e-009,1.4746e-009,1.83013e-009,1.4746e-009
115,42.7271,7.40922e-010,9.19556e-010,7.40922e-010,2.87677e-009,3.57035e-009,2.87677e-009,5.00441e-009,6.21096e-009,5.00441e-009,3.63011e-009,4.50531e-009,3.63011e-009,1.15589e-009,1.43457e-009,1.15589e-009
