gridnumber,capital,dist[0 0],dist[1 0],dist[2 0],dist[3 0],dist[4 0]
150,120.216,3.26168e-015,1.1945e-014,1.93718e-014,1.30371e-014,3.86675e-015
151,123.786,2.35027e-015,8.5836e-015,1.39037e-014,9.36645e-015,2.78137e-015
152,127.461,1.675e-015,6.07933e-015,9.75504e-015,6.51255e-015,1.92987e-015
153,131.243,1.19553e-015,4.3187e-015,6.88584e-015,4.54685e-015,1.32277e-015
154,135.136,8.56757e-016,3.0864e-015,4.90738e-015,3.23218e-015,9.38032e-016
155,139.143,6.09273e-016,2.18752e-015,3.46748e-015,2.2759e-015,6.5797e-016
156,143.267,4.35927e-016,1.56003e-015,2.45992e-015,1.60488e-015,4.61176e-016
157,147.512,3.1157e-016,1.11257e-015,1.75027e-015,1.13926e-015,3.26652e-016
158,151.882,2.2187e-016,7.91494e-016,1.24275e-015,8.06893e-016,2.30743e-016
159,156.38,1.58683e-016,5.63971e-016,8.82772e-016,5.7157e-016,1.63022e-016
160,161.009,1.13586e-016,4.02983e-016,6.29062e-016,4.06202e-016,1.15596e-016
161,165.774,8.08544e-017,2.86483e-016,4.47033e-016,2.88458e-016,8.19759e-017
162,170.679,5.78838e-017,2.04666e-016,3.18632e-016,2.05206e-016,5.82623e-017
163,175.728,4.14478e-017,1.46196e-016,2.27068e-016,1.45815e-016,4.12337e-017
164,180.924,3.04898e-017,1.07402e-016,1.64199e-016,1.04001e-016,2.92442e-017
165,186.273,2.04908e-017,7.24303e-017,1.13359e-016,7.32356e-017,2.07501e-017
166,191.779,1.46702e-017,5.17733e-017,8.08403e-017,5.20799e-017,1.47079e-017
167,197.446,1.08056e-017,3.72947e-017,5.76532e-017,3.70322e-017,1.04573e-017
168,203.279,7.20424e-018,2.57411e-017,4.03942e-017,2.60796e-017,7.3811e-018
169,209.282,5.10726e-018,1.82245e-017,2.86288e-017,1.84907e-017,5.2258e-018
170,215.462,3.61958e-018,1.29073e-017,2.02549e-017,1.29877e-017,3.59801e-018
171,221.823,2.54479e-018,9.08709e-018,1.43365e-017,9.33221e-018,2.6716e-018
172,228.37,1.78645e-018,6.41098e-018,1.01368e-017,6.60136e-018,1.88895e-018
173,235.11,1.26322e-018,4.53825e-018,7.17524e-018,4.66638e-018,1.33168e-018
174,242.046,8.92742e-019,3.21161e-018,5.08835e-018,3.31736e-018,9.48577e-019
175,249.186,6.30108e-019,2.26962e-018,3.60086e-018,2.35425e-018,6.77183e-019
176,256.535,4.46427e-019,1.60801e-018,2.55059e-018,1.66669e-018,4.79026e-019
177,264.1,3.16087e-019,1.13902e-018,1.80758e-018,1.18173e-018,3.39755e-019
178,271.886,2.23708e-019,8.06394e-019,1.28045e-018,8.3792e-019,2.41256e-019
179,279.901,1.58468e-019,5.7118e-019,9.06775e-019,5.93194e-019,1.70719e-019
180,288.15,1.12215e-019,4.04458e-019,6.42062e-019,4.19985e-019,1.20854e-019
181,296.641,7.90855e-020,2.85117e-019,4.53027e-019,2.96779e-019,8.55139e-020
182,305.381,5.64299e-020,2.03442e-019,3.22402e-019,2.10239e-019,6.03169e-020
183,314.377,4.00271e-020,1.43849e-019,2.27951e-019,1.4893e-019,4.28124e-020
184,323.636,2.84087e-020,1.02292e-019,1.62203e-019,1.0597e-019,3.04553e-020
185,333.167,2.04293e-020,7.35063e-020,1.16404e-019,7.59112e-020,2.17791e-020
186,342.977,1.44334e-020,5.18987e-020,8.22901e-020,5.38074e-020,1.54748e-020
187,353.075,1.0292e-020,3.70471e-020,5.86461e-020,3.82204e-020,1.0955e-020
188,363.469,7.30809e-021,2.62568e-020,4.15298e-020,2.70542e-020,7.75114e-021
189,374.167,5.53072e-021,1.97829e-020,3.08634e-020,1.96669e-020,5.52267e-021
190,385.179,3.50343e-021,1.24528e-020,2.00631e-020,1.35832e-020,4.03662e-021
191,396.513,2.53219e-021,9.39087e-021,1.50382e-020,9.81586e-021,2.80892e-021
192,408.179,1.68649e-021,6.07729e-021,9.66167e-021,6.33322e-021,1.8254e-021
193,420.188,9.84322e-022,3.55802e-021,5.64288e-021,3.67259e-021,1.05028e-021
194,432.548,6.25388e-022,2.25245e-021,3.59462e-021,2.37502e-021,6.89733e-022
195,445.271,4.00876e-022,1.46486e-021,2.3427e-021,1.53711e-021,4.43114e-022
196,458.366,2.70793e-022,9.84094e-022,1.58277e-021,1.05465e-021,3.1007e-022
197,471.845,0,0,0,0,0
198,485.719,0,0,0,0,0
199,500,0,0,0,0,0
