gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
30,0.660447,0.436719,0.472713,0.516878,0.571166,0.637826,0.719657,0.820169,0.436708,0.472702,0.516867,0.571155,0.637816,0.719647,0.820159,0.436696,0.47269,0.516856,0.571145,0.637806,0.719638,0.82015,0.436684,0.472679,0.516845,0.571134,0.637795,0.719628,0.82014,0.436672,0.472667,0.516834,0.571123,0.637785,0.719618,0.820131,0.436661,0.472656,0.516822,0.571113,0.637775,0.719608,0.820122,0.436649,0.472644,0.516811,0.571102,0.637765,0.719598,0.820112
31,0.686635,0.460211,0.496281,0.540605,0.595012,0.661795,0.743734,0.844393,0.460199,0.496269,0.540595,0.595001,0.661785,0.743725,0.844384,0.460188,0.496258,0.540584,0.594991,0.661775,0.743715,0.844375,0.460176,0.496247,0.540573,0.59498,0.661764,0.743705,0.844365,0.460165,0.496236,0.540562,0.59497,0.661754,0.743695,0.844356,0.460153,0.496224,0.540551,0.594959,0.661744,0.743685,0.844347,0.460141,0.496213,0.54054,0.594949,0.661734,0.743676,0.844337
32,0.713126,0.484002,0.520219,0.564656,0.619182,0.686078,0.76814,0.868927,0.483991,0.520208,0.564645,0.619172,0.686068,0.768131,0.868918,0.48398,0.520197,0.564634,0.619162,0.686059,0.768121,0.868909,0.483968,0.520185,0.564623,0.619151,0.686048,0.768111,0.868899,0.483957,0.520174,0.564613,0.619141,0.686039,0.768102,0.86889,0.483946,0.520163,0.564602,0.61913,0.686028,0.768092,0.868881,0.483934,0.520152,0.564591,0.61912,0.686018,0.768082,0.868871
33,0.739924,0.508169,0.544506,0.589043,0.643677,0.710665,0.792867,0.893773,0.508158,0.544495,0.589032,0.643666,0.710656,0.792858,0.893764,0.508147,0.544485,0.589022,0.643656,0.710646,0.792848,0.893755,0.508136,0.544473,0.589011,0.643646,0.710636,0.792838,0.893745,0.508125,0.544463,0.589001,0.643636,0.710626,0.792829,0.893736,0.508114,0.544452,0.58899,0.643626,0.710616,0.792819,0.893727,0.508103,0.544441,0.588979,0.643615,0.710606,0.79281,0.893718
34,0.767033,0.532713,0.569128,0.613766,0.668499,0.735576,0.817911,0.918934,0.532702,0.569117,0.613756,0.668489,0.735566,0.817902,0.918925,0.532691,0.569107,0.613746,0.668479,0.735556,0.817892,0.918916,0.53268,0.569096,0.613735,0.668468,0.735546,0.817883,0.918907,0.532669,0.569085,0.613725,0.668459,0.735536,0.817874,0.918898,0.532658,0.569074,0.613714,0.668448,0.735526,0.817864,0.918889,0.532647,0.569064,0.613704,0.668438,0.735517,0.817854,0.918879
35,0.794456,0.557591,0.594095,0.638821,0.693643,0.760827,0.843275,0.944413,0.55758,0.594084,0.638811,0.693633,0.760818,0.843266,0.944404,0.557569,0.594074,0.638801,0.693623,0.760808,0.843257,0.944395,0.557558,0.594063,0.638791,0.693613,0.760798,0.843247,0.944386,0.557548,0.594053,0.638781,0.693603,0.760789,0.843238,0.944377,0.557537,0.594042,0.63877,0.693593,0.760779,0.843228,0.944368,0.557526,0.594031,0.63876,0.693583,0.760769,0.843219,0.944359
36,0.822196,0.58282,0.619404,0.664215,0.719105,0.786414,0.868965,0.970212,0.582809,0.619394,0.664205,0.719095,0.786404,0.868955,0.970203,0.582799,0.619384,0.664195,0.719085,0.786395,0.868946,0.970194,0.582788,0.619373,0.664184,0.719075,0.786385,0.868937,0.970185,0.582778,0.619363,0.664174,0.719065,0.786376,0.868928,0.970176,0.582767,0.619353,0.664164,0.719055,0.786366,0.868918,0.970167,0.582756,0.619342,0.664154,0.719045,0.786356,0.868909,0.970158
37,0.850258,0.608401,0.645056,0.689941,0.744907,0.81233,0.894983,0.996328,0.608391,0.645045,0.689931,0.744897,0.81232,0.894973,0.996319,0.608381,0.645035,0.689921,0.744887,0.812311,0.894964,0.99631,0.60837,0.645025,0.689911,0.744877,0.812301,0.894955,0.996301,0.60836,0.645015,0.689901,0.744868,0.812292,0.894946,0.996292,0.608349,0.645005,0.689891,0.744858,0.812283,0.894937,0.996283,0.608339,0.644994,0.689881,0.744848,0.812273,0.894927,0.996275
38,0.878644,0.634328,0.671052,0.715991,0.771064,0.838579,0.921332,1.02277,0.634317,0.671042,0.715981,0.771054,0.838569,0.921323,1.02276,0.634307,0.671032,0.715971,0.771044,0.83856,0.921314,1.02275,0.634297,0.671021,0.715961,0.771034,0.83855,0.921305,1.02274,0.634287,0.671012,0.715952,0.771025,0.838541,0.921296,1.02273,0.634276,0.671001,0.715942,0.771015,0.838532,0.921287,1.02272,0.634266,0.670991,0.715932,0.771005,0.838522,0.921278,1.02271
39,0.90736,0.660607,0.697384,0.742388,0.797564,0.865165,0.948017,1.04954,0.660597,0.697375,0.742378,0.797554,0.865156,0.948008,1.04953,0.660587,0.697365,0.742369,0.797545,0.865147,0.947999,1.04952,0.660577,0.697354,0.742358,0.797535,0.865137,0.94799,1.04951,0.660567,0.697345,0.742349,0.797526,0.865128,0.947981,1.0495,0.660557,0.697335,0.742339,0.797516,0.865119,0.947972,1.04949,0.660546,0.697325,0.742329,0.797507,0.865109,0.947963,1.04948
