gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
79,14.0707,-14.721,-14.7063,-14.6853,-14.5921,-14.578,-14.5577,-14.4364,-14.4229,-14.4029,-14.2541,-14.2415,-14.2226,-14.0482,-14.0366,-14.0187
80,14.5299,-14.6009,-14.5861,-14.5651,-14.4756,-14.4615,-14.4412,-14.3242,-14.3106,-14.2906,-14.1467,-14.1341,-14.1151,-13.9461,-13.9344,-13.9165
81,15.0026,-14.4808,-14.4661,-14.445,-14.3591,-14.3449,-14.3246,-14.2119,-14.1983,-14.1783,-14.0391,-14.0264,-14.0074,-13.8437,-13.8319,-13.8139
82,15.4891,-14.3608,-14.3461,-14.325,-14.2426,-14.2283,-14.208,-14.0994,-14.0859,-14.0659,-13.9313,-13.9185,-13.8995,-13.741,-13.729,-13.711
83,15.9899,-14.241,-14.2263,-14.2051,-14.1261,-14.1117,-14.0915,-13.9869,-13.9733,-13.9533,-13.8233,-13.8105,-13.7915,-13.638,-13.6259,-13.6078
84,16.5054,-14.1212,-14.1065,-14.0854,-14.0096,-13.9952,-13.975,-13.8742,-13.8607,-13.8407,-13.7152,-13.7022,-13.6832,-13.5348,-13.5226,-13.5045
85,17.036,-14.0015,-13.9869,-13.9658,-13.8932,-13.8788,-13.8586,-13.7615,-13.748,-13.7281,-13.6069,-13.5937,-13.5748,-13.4312,-13.419,-13.4008
86,17.5821,-13.882,-13.8674,-13.8464,-13.7767,-13.7624,-13.7422,-13.6488,-13.6353,-13.6154,-13.4984,-13.4852,-13.4663,-13.3274,-13.3152,-13.297
87,18.1442,-13.7626,-13.748,-13.7271,-13.6604,-13.6461,-13.6259,-13.536,-13.5225,-13.5027,-13.3898,-13.3767,-13.3577,-13.2233,-13.2112,-13.1929
88,18.7228,-13.6433,-13.6288,-13.6079,-13.5441,-13.5298,-13.5097,-13.4231,-13.4097,-13.39,-13.281,-13.268,-13.249,-13.119,-13.107,-13.0887
89,19.3184,-13.5242,-13.5097,-13.4889,-13.4278,-13.4137,-13.3935,-13.3103,-13.2969,-13.2772,-13.1722,-13.1592,-13.1402,-13.0145,-13.0025,-12.9843
90,19.9314,-13.4053,-13.3908,-13.3701,-13.3117,-13.2976,-13.2775,-13.1975,-13.1841,-13.1645,-13.0633,-13.0504,-13.0312,-12.9098,-12.8979,-12.8797
91,20.5623,-13.2865,-13.2721,-13.2515,-13.1957,-13.1816,-13.1615,-13.0848,-13.0713,-13.0519,-12.9543,-12.9414,-12.9222,-12.805,-12.793,-12.7749
92,21.2118,-13.1679,-13.1536,-13.1331,-13.0799,-13.0658,-13.0457,-12.9721,-12.9586,-12.9393,-12.8453,-12.8324,-12.8133,-12.7,-12.688,-12.6699
93,21.8803,-13.0496,-13.0353,-13.0149,-12.9641,-12.9501,-12.9301,-12.8595,-12.846,-12.8267,-12.7362,-12.7234,-12.7044,-12.5949,-12.5829,-12.5649
