gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
344,82.5343,-0.142089,-0.142089,-0.142089,-0.142089,-0.142089,-0.142089,-0.142089,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141329,-0.141329,-0.141329,-0.141329,-0.141329,-0.141329,-0.141329,-0.140855,-0.140855,-0.140855,-0.140855,-0.140855,-0.140855,-0.140855,-0.140304,-0.140304,-0.140304,-0.140304,-0.140304,-0.140304,-0.140304,-0.139658,-0.139658,-0.139658,-0.139658,-0.139658,-0.139658,-0.139658,-0.138899,-0.138899,-0.138899,-0.138899,-0.138899,-0.138899,-0.138899
345,83.509,-0.139158,-0.139158,-0.139158,-0.139158,-0.139158,-0.139158,-0.139158,-0.138816,-0.138816,-0.138816,-0.138816,-0.138816,-0.138816,-0.138816,-0.13842,-0.13842,-0.13842,-0.13842,-0.13842,-0.13842,-0.13842,-0.137962,-0.137962,-0.137962,-0.137962,-0.137962,-0.137962,-0.137962,-0.137427,-0.137427,-0.137427,-0.137427,-0.137427,-0.137427,-0.137427,-0.1368,-0.1368,-0.1368,-0.1368,-0.1368,-0.1368,-0.1368,-0.136065,-0.136065,-0.136065,-0.136065,-0.136065,-0.136065,-0.136065
346,84.495,-0.136283,-0.136283,-0.136283,-0.136283,-0.136283,-0.136283,-0.136283,-0.135952,-0.135952,-0.135952,-0.135952,-0.135952,-0.135952,-0.135952,-0.135569,-0.135569,-0.135569,-0.135569,-0.135569,-0.135569,-0.135569,-0.135124,-0.135124,-0.135124,-0.135124,-0.135124,-0.135124,-0.135124,-0.134606,-0.134606,-0.134606,-0.134606,-0.134606,-0.134606,-0.134606,-0.133999,-0.133999,-0.133999,-0.133999,-0.133999,-0.133999,-0.133999,-0.133285,-0.133285,-0.133285,-0.133285,-0.133285,-0.133285,-0.133285
347,85.4925,-0.133466,-0.133466,-0.133466,-0.133466,-0.133466,-0.133466,-0.133466,-0.133144,-0.133144,-0.133144,-0.133144,-0.133144,-0.133144,-0.133144,-0.132773,-0.132773,-0.132773,-0.132773,-0.132773,-0.132773,-0.132773,-0.132342,-0.132342,-0.132342,-0.132342,-0.132342,-0.132342,-0.132342,-0.131839,-0.131839,-0.131839,-0.131839,-0.131839,-0.131839,-0.131839,-0.131251,-0.131251,-0.131251,-0.131251,-0.131251,-0.131251,-0.131251,-0.130559,-0.130559,-0.130559,-0.130559,-0.130559,-0.130559,-0.130559
348,86.5014,-0.130703,-0.130703,-0.130703,-0.130703,-0.130703,-0.130703,-0.130703,-0.130392,-0.130392,-0.130392,-0.130392,-0.130392,-0.130392,-0.130392,-0.130032,-0.130032,-0.130032,-0.130032,-0.130032,-0.130032,-0.130032,-0.129614,-0.129614,-0.129614,-0.129614,-0.129614,-0.129614,-0.129614,-0.129127,-0.129127,-0.129127,-0.129127,-0.129127,-0.129127,-0.129127,-0.128556,-0.128556,-0.128556,-0.128556,-0.128556,-0.128556,-0.128556,-0.127886,-0.127886,-0.127886,-0.127886,-0.127886,-0.127886,-0.127886
349,87.5221,-0.127995,-0.127995,-0.127995,-0.127995,-0.127995,-0.127995,-0.127995,-0.127693,-0.127693,-0.127693,-0.127693,-0.127693,-0.127693,-0.127693,-0.127344,-0.127344,-0.127344,-0.127344,-0.127344,-0.127344,-0.127344,-0.126939,-0.126939,-0.126939,-0.126939,-0.126939,-0.126939,-0.126939,-0.126467,-0.126467,-0.126467,-0.126467,-0.126467,-0.126467,-0.126467,-0.125914,-0.125914,-0.125914,-0.125914,-0.125914,-0.125914,-0.125914,-0.125264,-0.125264,-0.125264,-0.125264,-0.125264,-0.125264,-0.125264
350,88.5546,-0.12534,-0.12534,-0.12534,-0.12534,-0.12534,-0.12534,-0.12534,-0.125048,-0.125048,-0.125048,-0.125048,-0.125048,-0.125048,-0.125048,-0.12471,-0.12471,-0.12471,-0.12471,-0.12471,-0.12471,-0.12471,-0.124317,-0.124317,-0.124317,-0.124317,-0.124317,-0.124317,-0.124317,-0.123859,-0.123859,-0.123859,-0.123859,-0.123859,-0.123859,-0.123859,-0.123324,-0.123324,-0.123324,-0.123324,-0.123324,-0.123324,-0.123324,-0.122694,-0.122694,-0.122694,-0.122694,-0.122694,-0.122694,-0.122694
351,89.5991,-0.122738,-0.122738,-0.122738,-0.122738,-0.122738,-0.122738,-0.122738,-0.122454,-0.122454,-0.122454,-0.122454,-0.122454,-0.122454,-0.122454,-0.122127,-0.122127,-0.122127,-0.122127,-0.122127,-0.122127,-0.122127,-0.121746,-0.121746,-0.121746,-0.121746,-0.121746,-0.121746,-0.121746,-0.121303,-0.121303,-0.121303,-0.121303,-0.121303,-0.121303,-0.121303,-0.120783,-0.120783,-0.120783,-0.120783,-0.120783,-0.120783,-0.120783,-0.120173,-0.120173,-0.120173,-0.120173,-0.120173,-0.120173,-0.120173
352,90.6556,-0.120187,-0.120187,-0.120187,-0.120187,-0.120187,-0.120187,-0.120187,-0.119912,-0.119912,-0.119912,-0.119912,-0.119912,-0.119912,-0.119912,-0.119595,-0.119595,-0.119595,-0.119595,-0.119595,-0.119595,-0.119595,-0.119226,-0.119226,-0.119226,-0.119226,-0.119226,-0.119226,-0.119226,-0.118796,-0.118796,-0.118796,-0.118796,-0.118796,-0.118796,-0.118796,-0.118293,-0.118293,-0.118293,-0.118293,-0.118293,-0.118293,-0.118293,-0.117701,-0.117701,-0.117701,-0.117701,-0.117701,-0.117701,-0.117701
353,91.7245,-0.117687,-0.117687,-0.117687,-0.117687,-0.117687,-0.117687,-0.117687,-0.11742,-0.11742,-0.11742,-0.11742,-0.11742,-0.11742,-0.11742,-0.117113,-0.117113,-0.117113,-0.117113,-0.117113,-0.117113,-0.117113,-0.116755,-0.116755,-0.116755,-0.116755,-0.116755,-0.116755,-0.116755,-0.116339,-0.116339,-0.116339,-0.116339,-0.116339,-0.116339,-0.116339,-0.115851,-0.115851,-0.115851,-0.115851,-0.115851,-0.115851,-0.115851,-0.115277,-0.115277,-0.115277,-0.115277,-0.115277,-0.115277,-0.115277
