gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
88,7.08558,0.06,0.2,0.34,0.5,0.64,0.04,0.2,0.36,0.5,0.64,0.04,0.18,0.34,0.5,0.64,0.02,0.18,0.32,0.48,0.62,0,0.16,0.32,0.48,0.62
89,7.25416,0.06,0.2,0.34,0.5,0.64,0.04,0.2,0.36,0.5,0.64,0.04,0.2,0.34,0.48,0.64,0.02,0.18,0.32,0.48,0.62,0,0.16,0.3,0.48,0.62
90,7.42601,0.04,0.2,0.34,0.48,0.64,0.06,0.2,0.36,0.5,0.64,0.04,0.2,0.34,0.48,0.62,0.02,0.18,0.32,0.48,0.62,0,0.16,0.32,0.48,0.62
91,7.6012,0.04,0.2,0.38,0.48,0.62,0.06,0.2,0.36,0.5,0.64,0.04,0.2,0.34,0.48,0.62,0.02,0.18,0.34,0.48,0.62,0,0.16,0.32,0.48,0.62
92,7.77979,0.04,0.2,0.38,0.48,0.62,0.06,0.2,0.36,0.5,0.64,0.04,0.2,0.34,0.48,0.62,0.02,0.2,0.34,0.48,0.62,0,0.18,0.32,0.48,0.64
93,7.96184,0.06,0.2,0.38,0.5,0.62,0.06,0.2,0.34,0.5,0.64,0.04,0.2,0.34,0.48,0.62,0,0.2,0.34,0.48,0.62,0,0.18,0.34,0.48,0.64
94,8.14743,0.06,0.2,0.38,0.5,0.62,0.06,0.2,0.34,0.5,0.62,0.04,0.2,0.34,0.48,0.62,0,0.2,0.36,0.5,0.62,0,0.18,0.34,0.48,0.64
95,8.33663,0.06,0.2,0.38,0.5,0.62,0.06,0.2,0.34,0.48,0.62,0.02,0.22,0.36,0.5,0.62,0.02,0.2,0.36,0.5,0.64,0,0.18,0.34,0.48,0.62
96,8.52949,0.06,0.2,0.38,0.5,0.62,0.06,0.2,0.34,0.48,0.62,0.02,0.22,0.36,0.5,0.62,0.02,0.2,0.34,0.5,0.64,0,0.18,0.34,0.48,0.62
97,8.7261,0.06,0.2,0.36,0.5,0.62,0.06,0.22,0.34,0.48,0.62,0.02,0.22,0.36,0.5,0.62,0.02,0.2,0.34,0.48,0.64,0,0.18,0.32,0.48,0.62
98,8.92652,0.06,0.22,0.36,0.5,0.62,0.06,0.22,0.34,0.48,0.62,0.04,0.22,0.36,0.5,0.62,0.04,0.18,0.34,0.48,0.62,0.02,0.16,0.32,0.5,0.62
99,9.13083,0.08,0.22,0.36,0.5,0.62,0.06,0.22,0.36,0.48,0.62,0.04,0.22,0.36,0.5,0.64,0.04,0.18,0.34,0.48,0.62,0.02,0.16,0.32,0.48,0.62
100,9.33911,0.08,0.22,0.36,0.5,0.62,0.06,0.22,0.36,0.48,0.62,0.04,0.22,0.36,0.5,0.64,0.04,0.18,0.34,0.48,0.62,0.02,0.16,0.32,0.48,0.6
101,9.55143,0.08,0.22,0.36,0.5,0.62,0.06,0.22,0.36,0.48,0.62,0.04,0.2,0.36,0.5,0.64,0.04,0.18,0.32,0.48,0.62,0.02,0.18,0.32,0.48,0.6
102,9.76787,0.08,0.22,0.36,0.5,0.62,0.04,0.22,0.36,0.48,0.62,0.06,0.2,0.34,0.5,0.62,0.04,0.18,0.32,0.46,0.6,0.02,0.18,0.32,0.48,0.62
103,9.98852,0.08,0.22,0.36,0.5,0.62,0.04,0.22,0.36,0.5,0.62,0.06,0.2,0.34,0.48,0.62,0.04,0.2,0.34,0.46,0.6,0.02,0.2,0.34,0.48,0.64
104,10.2134,0.08,0.22,0.36,0.48,0.62,0.04,0.22,0.36,0.5,0.62,0.06,0.2,0.34,0.48,0.62,0.04,0.2,0.34,0.48,0.6,0.02,0.2,0.34,0.48,0.62
105,10.4427,0.08,0.22,0.36,0.48,0.62,0.06,0.24,0.36,0.5,0.62,0.06,0.2,0.34,0.48,0.62,0.04,0.2,0.34,0.48,0.62,0,0.2,0.34,0.48,0.62
106,10.6765,0.08,0.22,0.36,0.48,0.62,0.06,0.22,0.36,0.5,0.62,0.06,0.2,0.34,0.48,0.62,0.04,0.2,0.34,0.48,0.6,0.02,0.2,0.34,0.48,0.62
107,10.9148,0.08,0.22,0.36,0.48,0.62,0.06,0.22,0.36,0.5,0.62,0.06,0.2,0.34,0.48,0.6,0.02,0.22,0.36,0.48,0.6,0.02,0.2,0.34,0.48,0.62
108,11.1577,0.08,0.22,0.34,0.48,0.6,0.06,0.22,0.36,0.5,0.62,0.06,0.2,0.34,0.48,0.6,0.02,0.22,0.36,0.48,0.62,0.02,0.2,0.34,0.48,0.62
109,11.4053,0.08,0.22,0.34,0.48,0.6,0.06,0.22,0.36,0.5,0.62,0.06,0.2,0.34,0.48,0.6,0.04,0.22,0.36,0.48,0.62,0.04,0.18,0.34,0.48,0.62
110,11.6577,0.08,0.22,0.34,0.48,0.6,0.08,0.22,0.36,0.5,0.62,0.06,0.22,0.34,0.48,0.6,0.04,0.22,0.36,0.48,0.62,0.04,0.18,0.32,0.48,0.62
111,11.915,0.08,0.22,0.34,0.48,0.6,0.08,0.22,0.36,0.48,0.62,0.06,0.22,0.34,0.48,0.6,0.04,0.2,0.34,0.48,0.62,0.04,0.18,0.32,0.48,0.6
112,12.1773,0.08,0.22,0.36,0.48,0.6,0.08,0.22,0.36,0.48,0.62,0.06,0.22,0.34,0.48,0.6,0.04,0.2,0.34,0.48,0.62,0.04,0.18,0.32,0.48,0.6
113,12.4448,0.08,0.22,0.36,0.48,0.6,0.08,0.22,0.34,0.48,0.62,0.06,0.22,0.36,0.48,0.6,0.06,0.2,0.34,0.48,0.62,0.04,0.18,0.32,0.48,0.6
114,12.7174,0.08,0.22,0.36,0.48,0.6,0.08,0.22,0.34,0.48,0.62,0.04,0.22,0.36,0.48,0.6,0.06,0.2,0.34,0.48,0.62,0.04,0.2,0.32,0.48,0.6
115,12.9952,0.08,0.22,0.36,0.48,0.6,0.08,0.22,0.34,0.48,0.62,0.04,0.22,0.36,0.48,0.6,0.06,0.2,0.34,0.48,0.6,0.04,0.2,0.34,0.46,0.58
116,13.2785,0.08,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.48,0.6,0.06,0.22,0.36,0.48,0.6,0.06,0.2,0.34,0.48,0.6,0.04,0.2,0.34,0.46,0.6
117,13.5673,0.06,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.48,0.6,0.06,0.22,0.36,0.48,0.6,0.06,0.2,0.34,0.46,0.6,0.04,0.2,0.34,0.48,0.62
118,13.8617,0.06,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.48,0.6,0.06,0.22,0.36,0.48,0.6,0.06,0.2,0.34,0.46,0.6,0.04,0.2,0.34,0.48,0.62
119,14.1618,0.06,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.48,0.6,0.06,0.22,0.36,0.48,0.62,0.06,0.2,0.34,0.46,0.6,0.02,0.22,0.34,0.48,0.62
120,14.4677,0.06,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.46,0.6,0.06,0.22,0.36,0.48,0.62,0.06,0.2,0.34,0.46,0.58,0.04,0.2,0.34,0.48,0.6
121,14.7796,0.06,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.46,0.6,0.06,0.22,0.36,0.48,0.62,0.06,0.2,0.34,0.46,0.58,0.04,0.2,0.34,0.48,0.6
122,15.0975,0.08,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.46,0.6,0.08,0.22,0.34,0.48,0.6,0.06,0.22,0.34,0.46,0.58,0.04,0.2,0.34,0.48,0.6
123,15.4216,0.08,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.46,0.58,0.08,0.22,0.34,0.48,0.6,0.06,0.22,0.34,0.46,0.58,0.04,0.2,0.34,0.48,0.6
124,15.752,0.08,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.46,0.58,0.08,0.2,0.34,0.48,0.6,0.06,0.22,0.34,0.48,0.58,0.06,0.2,0.34,0.48,0.6
125,16.0888,0.08,0.24,0.36,0.48,0.6,0.08,0.22,0.34,0.46,0.58,0.08,0.2,0.34,0.48,0.6,0.06,0.22,0.34,0.48,0.6,0.06,0.2,0.34,0.48,0.6
126,16.4321,0.08,0.22,0.36,0.48,0.6,0.08,0.22,0.34,0.46,0.58,0.08,0.2,0.34,0.48,0.6,0.04,0.22,0.36,0.48,0.6,0.06,0.2,0.34,0.46,0.6
127,16.7821,0.08,0.22,0.36,0.48,0.6,0.08,0.22,0.36,0.46,0.58,0.08,0.2,0.34,0.48,0.6,0.06,0.22,0.36,0.48,0.6,0.06,0.2,0.32,0.46,0.6
128,17.1389,0.08,0.22,0.36,0.48,0.6,0.08,0.24,0.36,0.48,0.58,0.08,0.2,0.34,0.46,0.6,0.06,0.22,0.36,0.48,0.6,0.06,0.2,0.32,0.46,0.6
129,17.5026,0.08,0.22,0.36,0.48,0.6,0.06,0.24,0.36,0.48,0.58,0.08,0.22,0.34,0.46,0.6,0.06,0.22,0.36,0.48,0.6,0.06,0.2,0.32,0.46,0.58
130,17.8733,0.08,0.22,0.36,0.48,0.6,0.06,0.24,0.36,0.48,0.58,0.08,0.22,0.34,0.46,0.58,0.06,0.22,0.36,0.48,0.6,0.06,0.2,0.32,0.46,0.58
