gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
81,15.0026,-14.36,-14.36,-14.36,-14.3574,-14.348,-14.2492,-14.2492,-14.2492,-14.247,-14.2378,-14.1145,-14.1145,-14.1145,-14.1127,-14.1043,-13.9564,-13.9564,-13.9564,-13.955,-13.9472,-13.7769,-13.7769,-13.7769,-13.776,-13.769
82,15.4891,-14.2535,-14.2535,-14.2535,-14.2509,-14.2415,-14.1454,-14.1454,-14.1454,-14.1432,-14.134,-14.014,-14.014,-14.014,-14.0121,-14.0037,-13.8596,-13.8596,-13.8596,-13.8582,-13.8503,-13.6843,-13.6843,-13.6843,-13.6833,-13.6763
83,15.9899,-14.1466,-14.1466,-14.1466,-14.1441,-14.1346,-14.0413,-14.0413,-14.0413,-14.039,-14.0298,-13.913,-13.913,-13.913,-13.9111,-13.9027,-13.7624,-13.7624,-13.7624,-13.7609,-13.7529,-13.5911,-13.5911,-13.5911,-13.5901,-13.583
84,16.5054,-14.0395,-14.0395,-14.0395,-14.0369,-14.0275,-13.9368,-13.9368,-13.9368,-13.9345,-13.9253,-13.8117,-13.8117,-13.8117,-13.8097,-13.8013,-13.6646,-13.6646,-13.6646,-13.6631,-13.6551,-13.4974,-13.4974,-13.4974,-13.4963,-13.4892
85,17.036,-13.932,-13.932,-13.932,-13.9294,-13.92,-13.8319,-13.8319,-13.8319,-13.8296,-13.8204,-13.7099,-13.7099,-13.7099,-13.7078,-13.6994,-13.5665,-13.5665,-13.5665,-13.5649,-13.5568,-13.4031,-13.4031,-13.4031,-13.402,-13.3948
86,17.5821,-13.8243,-13.8243,-13.8243,-13.8216,-13.8122,-13.7267,-13.7267,-13.7267,-13.7244,-13.7152,-13.6077,-13.6077,-13.6077,-13.6057,-13.5972,-13.4678,-13.4678,-13.4678,-13.4662,-13.4581,-13.3083,-13.3083,-13.3083,-13.3072,-13.3
87,18.1442,-13.7162,-13.7162,-13.7162,-13.7136,-13.7042,-13.6212,-13.6212,-13.6212,-13.6189,-13.6097,-13.5052,-13.5052,-13.5052,-13.5032,-13.4946,-13.3687,-13.3687,-13.3687,-13.3671,-13.359,-13.213,-13.213,-13.213,-13.2119,-13.2046
88,18.7228,-13.6079,-13.6079,-13.6079,-13.6053,-13.5959,-13.5153,-13.5153,-13.5153,-13.513,-13.5039,-13.4024,-13.4024,-13.4024,-13.4003,-13.3916,-13.2692,-13.2692,-13.2692,-13.2676,-13.2595,-13.1172,-13.1172,-13.1172,-13.116,-13.1088
89,19.3184,-13.4994,-13.4994,-13.4994,-13.4967,-13.4873,-13.4092,-13.4092,-13.4092,-13.4069,-13.3978,-13.2991,-13.2991,-13.2991,-13.297,-13.2883,-13.1693,-13.1693,-13.1693,-13.1676,-13.1596,-13.0209,-13.0209,-13.0209,-13.0197,-13.0125
90,19.9314,-13.3906,-13.3906,-13.3906,-13.3879,-13.3785,-13.3028,-13.3028,-13.3028,-13.3005,-13.2914,-13.1956,-13.1956,-13.1956,-13.1935,-13.1847,-13.069,-13.069,-13.069,-13.0673,-13.0592,-12.9241,-12.9241,-12.9241,-12.923,-12.9157
91,20.5623,-13.2816,-13.2816,-13.2816,-13.2789,-13.2695,-13.1962,-13.1962,-13.1962,-13.1938,-13.1847,-13.0917,-13.0917,-13.0917,-13.0896,-13.0808,-12.9683,-12.9683,-12.9683,-12.9666,-12.9585,-12.827,-12.827,-12.827,-12.8258,-12.8185
92,21.2118,-13.1724,-13.1724,-13.1724,-13.1696,-13.1604,-13.0893,-13.0893,-13.0893,-13.0869,-13.0778,-12.9875,-12.9875,-12.9875,-12.9854,-12.9766,-12.8673,-12.8673,-12.8673,-12.8655,-12.8575,-12.7295,-12.7295,-12.7295,-12.7283,-12.7209
93,21.8803,-13.063,-13.063,-13.063,-13.0602,-13.051,-12.9821,-12.9821,-12.9821,-12.9797,-12.9707,-12.8831,-12.8831,-12.8831,-12.881,-12.8722,-12.7659,-12.7659,-12.7659,-12.7641,-12.7561,-12.6317,-12.6317,-12.6317,-12.6304,-12.6229
94,22.5684,-12.9534,-12.9534,-12.9534,-12.9507,-12.9415,-12.8748,-12.8748,-12.8748,-12.8724,-12.8634,-12.7783,-12.7783,-12.7783,-12.7762,-12.7676,-12.6642,-12.6642,-12.6642,-12.6624,-12.6544,-12.5334,-12.5334,-12.5334,-12.5321,-12.5246
95,23.2766,-12.8438,-12.8438,-12.8438,-12.8411,-12.8319,-12.7672,-12.7672,-12.7672,-12.7649,-12.7559,-12.6734,-12.6734,-12.6734,-12.6713,-12.6627,-12.5622,-12.5622,-12.5622,-12.5603,-12.5523,-12.4348,-12.4348,-12.4348,-12.4335,-12.426
96,24.0056,-12.7341,-12.7341,-12.7341,-12.7313,-12.7223,-12.6596,-12.6596,-12.6596,-12.6572,-12.6483,-12.5682,-12.5682,-12.5682,-12.5662,-12.5576,-12.4599,-12.4599,-12.4599,-12.458,-12.4501,-12.3358,-12.3358,-12.3358,-12.3345,-12.327
97,24.756,-12.6243,-12.6243,-12.6243,-12.6215,-12.6125,-12.5518,-12.5518,-12.5518,-12.5494,-12.5406,-12.4629,-12.4629,-12.4629,-12.4609,-12.4523,-12.3574,-12.3574,-12.3574,-12.3555,-12.3476,-12.2366,-12.2366,-12.2366,-12.2352,-12.2278
98,25.5283,-12.5145,-12.5145,-12.5145,-12.5117,-12.5027,-12.444,-12.444,-12.444,-12.4415,-12.4328,-12.3575,-12.3575,-12.3575,-12.3554,-12.3469,-12.2548,-12.2548,-12.2548,-12.2529,-12.245,-12.1371,-12.1371,-12.1371,-12.1357,-12.1284
99,26.3233,-12.4046,-12.4046,-12.4046,-12.4019,-12.3928,-12.336,-12.336,-12.336,-12.3336,-12.3248,-12.2519,-12.2519,-12.2519,-12.2498,-12.2414,-12.152,-12.152,-12.152,-12.1501,-12.1422,-12.0374,-12.0374,-12.0374,-12.036,-12.0287
100,27.1416,-12.2947,-12.2947,-12.2947,-12.292,-12.283,-12.228,-12.228,-12.228,-12.2256,-12.2169,-12.1462,-12.1462,-12.1462,-12.1442,-12.1357,-12.0491,-12.0491,-12.0491,-12.0472,-12.0392,-11.9375,-11.9375,-11.9375,-11.9361,-11.9288
101,27.9838,-12.1848,-12.1848,-12.1848,-12.1821,-12.1731,-12.12,-12.12,-12.12,-12.1175,-12.1088,-12.0405,-12.0405,-12.0405,-12.0384,-12.03,-11.946,-11.946,-11.946,-11.9441,-11.9361,-11.8373,-11.8373,-11.8373,-11.836,-11.8286
102,28.8508,-12.0749,-12.0749,-12.0749,-12.0722,-12.0633,-12.0119,-12.0119,-12.0119,-12.0094,-12.0008,-11.9347,-11.9347,-11.9347,-11.9326,-11.9242,-11.8428,-11.8428,-11.8428,-11.8409,-11.8329,-11.7371,-11.7371,-11.7371,-11.7357,-11.7283
103,29.7431,-11.9651,-11.9651,-11.9651,-11.9624,-11.9535,-11.9039,-11.9039,-11.9039,-11.9014,-11.8928,-11.8288,-11.8288,-11.8288,-11.8267,-11.8184,-11.7395,-11.7395,-11.7395,-11.7377,-11.7296,-11.6367,-11.6367,-11.6367,-11.6352,-11.6279
104,30.6616,-11.8553,-11.8553,-11.8553,-11.8526,-11.8437,-11.7958,-11.7958,-11.7958,-11.7933,-11.7848,-11.7229,-11.7229,-11.7229,-11.7208,-11.7125,-11.6361,-11.6361,-11.6361,-11.6343,-11.6263,-11.5361,-11.5361,-11.5361,-11.5346,-11.5273
105,31.607,-11.7456,-11.7456,-11.7456,-11.7429,-11.734,-11.6878,-11.6878,-11.6878,-11.6853,-11.6768,-11.617,-11.617,-11.617,-11.6149,-11.6066,-11.5327,-11.5327,-11.5327,-11.5309,-11.5229,-11.4355,-11.4355,-11.4355,-11.4339,-11.4265
106,32.5802,-11.636,-11.636,-11.636,-11.6333,-11.6244,-11.5799,-11.5799,-11.5799,-11.5773,-11.5689,-11.5112,-11.5112,-11.5112,-11.509,-11.5007,-11.4292,-11.4292,-11.4292,-11.4274,-11.4194,-11.3347,-11.3347,-11.3347,-11.333,-11.3257
107,33.5818,-11.5265,-11.5265,-11.5265,-11.5238,-11.515,-11.472,-11.472,-11.472,-11.4695,-11.4611,-11.4053,-11.4053,-11.4053,-11.4031,-11.3949,-11.3257,-11.3257,-11.3257,-11.3239,-11.3159,-11.2338,-11.2338,-11.2338,-11.2321,-11.2248
108,34.6128,-11.4171,-11.4171,-11.4171,-11.4145,-11.4056,-11.3642,-11.3642,-11.3642,-11.3617,-11.3534,-11.2995,-11.2995,-11.2995,-11.2973,-11.2891,-11.2222,-11.2222,-11.2222,-11.2203,-11.2124,-11.1328,-11.1328,-11.1328,-11.1311,-11.1239
109,35.674,-11.3079,-11.3079,-11.3079,-11.3053,-11.2965,-11.2566,-11.2566,-11.2566,-11.254,-11.2458,-11.1937,-11.1937,-11.1937,-11.1915,-11.1834,-11.1187,-11.1187,-11.1187,-11.1168,-11.1089,-11.0319,-11.0319,-11.0319,-11.0302,-11.0229
110,36.7663,-11.1988,-11.1988,-11.1988,-11.1962,-11.1875,-11.1491,-11.1491,-11.1491,-11.1465,-11.1383,-11.088,-11.088,-11.088,-11.0858,-11.0777,-11.0152,-11.0152,-11.0152,-11.0134,-11.0055,-10.931,-10.931,-10.931,-10.9292,-10.9219
111,37.8906,-11.09,-11.09,-11.09,-11.0874,-11.0787,-11.0417,-11.0417,-11.0417,-11.0392,-11.031,-10.9825,-10.9825,-10.9825,-10.9802,-10.9722,-10.9118,-10.9118,-10.9118,-10.9099,-10.9021,-10.83,-10.83,-10.83,-10.8283,-10.8209
112,39.0479,-10.9813,-10.9813,-10.9813,-10.9787,-10.9701,-10.9345,-10.9345,-10.9345,-10.932,-10.9238,-10.877,-10.877,-10.877,-10.8748,-10.8668,-10.8085,-10.8085,-10.8085,-10.8066,-10.7988,-10.7291,-10.7291,-10.7291,-10.7274,-10.72
113,40.239,-10.8729,-10.8729,-10.8729,-10.8703,-10.8617,-10.8275,-10.8275,-10.8275,-10.825,-10.8168,-10.7717,-10.7717,-10.7717,-10.7695,-10.7616,-10.7052,-10.7052,-10.7052,-10.7033,-10.6956,-10.6282,-10.6282,-10.6282,-10.6265,-10.6191
114,41.4651,-10.7647,-10.7647,-10.7647,-10.7621,-10.7536,-10.7207,-10.7207,-10.7207,-10.7183,-10.7101,-10.6666,-10.6666,-10.6666,-10.6644,-10.6565,-10.6021,-10.6021,-10.6021,-10.6002,-10.5925,-10.5273,-10.5273,-10.5273,-10.5257,-10.5183
115,42.7271,-10.6568,-10.6568,-10.6568,-10.6542,-10.6458,-10.6141,-10.6141,-10.6141,-10.6117,-10.6035,-10.5616,-10.5616,-10.5616,-10.5594,-10.5516,-10.4991,-10.4991,-10.4991,-10.4972,-10.4895,-10.4266,-10.4266,-10.4266,-10.4249,-10.4176
116,44.0261,-10.5492,-10.5492,-10.5492,-10.5466,-10.5382,-10.5078,-10.5078,-10.5078,-10.5054,-10.4972,-10.4569,-10.4569,-10.4569,-10.4546,-10.4469,-10.3963,-10.3963,-10.3963,-10.3943,-10.3867,-10.3259,-10.3259,-10.3259,-10.3243,-10.317
