gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
31,0.696632,0.674935,0.705398,0.745024,0.79236,0.851202,0.92229,1.01254,0.676557,0.707069,0.746947,0.794321,0.853169,0.924511,1.0148,0.678178,0.708739,0.74887,0.796281,0.855135,0.926732,1.01706,0.6798,0.71041,0.750756,0.798241,0.857102,0.928954,1.01932,0.681421,0.71208,0.752597,0.800201,0.859068,0.931175,1.02157,0.683043,0.713751,0.754437,0.802161,0.861071,0.933396,1.02383,0.684664,0.715421,0.756278,0.804122,0.863127,0.935617,1.02609
32,0.723123,0.693062,0.724183,0.764758,0.812338,0.871332,0.943503,1.03339,0.695323,0.726782,0.767231,0.81483,0.873871,0.946164,1.03595,0.697603,0.72938,0.769704,0.817321,0.87641,0.94886,1.03843,0.699907,0.731978,0.772177,0.819813,0.878949,0.95156,1.04091,0.702211,0.734577,0.77465,0.822305,0.881488,0.95426,1.04339,0.704516,0.737175,0.777122,0.824797,0.884027,0.956959,1.04588,0.70682,0.739773,0.779551,0.827289,0.886566,0.959659,1.04836
33,0.749921,0.713397,0.747002,0.785819,0.833529,0.892794,0.966103,1.05445,0.715786,0.749759,0.788396,0.836206,0.895455,0.968965,1.05703,0.718176,0.752354,0.790973,0.838883,0.898117,0.971827,1.0596,0.720566,0.754938,0.793549,0.84156,0.900778,0.974689,1.06218,0.722955,0.757522,0.796126,0.844236,0.90344,0.977437,1.06475,0.725709,0.760107,0.798703,0.846913,0.906101,0.980115,1.06747,0.728491,0.762691,0.80128,0.84959,0.908762,0.982792,1.07034
34,0.77703,0.737432,0.770085,0.807995,0.855844,0.9148,0.988685,1.07697,0.739778,0.772397,0.810391,0.858376,0.917379,0.991338,1.07987,0.742124,0.77471,0.812787,0.860935,0.920052,0.993991,1.08277,0.74447,0.777023,0.815183,0.863567,0.922724,0.996644,1.08568,0.746816,0.779229,0.81758,0.8662,0.925397,0.999298,1.08858,0.749162,0.781436,0.819976,0.868833,0.92807,1.00195,1.09148,0.751368,0.783642,0.822372,0.871466,0.930743,1.0046,1.09438
35,0.804452,0.759987,0.791667,0.830477,0.879958,0.938977,1.01259,1.10294,0.762455,0.793891,0.832721,0.882165,0.941165,1.01477,1.10527,0.764922,0.796115,0.835002,0.884371,0.943353,1.01695,1.1076,0.76739,0.798339,0.837284,0.886578,0.945541,1.01912,1.10993,0.769858,0.800564,0.839566,0.88878,0.94775,1.0213,1.11232,0.772325,0.802788,0.841847,0.890924,0.949973,1.02348,1.11472,0.774793,0.805022,0.844129,0.893067,0.952196,1.02566,1.11712
36,0.832192,0.782058,0.812395,0.851957,0.900646,0.959854,1.03316,1.12472,0.784436,0.814991,0.854645,0.903516,0.962898,1.03613,1.12797,0.786813,0.817586,0.857333,0.906385,0.965942,1.03903,1.13094,0.789191,0.820181,0.860021,0.909255,0.968986,1.04194,1.1339,0.791568,0.822777,0.862802,0.912124,0.97203,1.04485,1.13687,0.793946,0.825372,0.865591,0.914994,0.975074,1.04776,1.13983,0.796323,0.827967,0.868381,0.917863,0.978039,1.05067,1.1428
37,0.860254,0.802069,0.833621,0.874385,0.923022,0.98302,1.0556,1.14751,0.804917,0.836711,0.877549,0.926051,0.98606,1.05861,1.15051,0.80783,0.839802,0.880714,0.92908,0.989099,1.06161,1.15351,0.810743,0.842893,0.883879,0.932109,0.992139,1.06462,1.15651,0.813656,0.845983,0.887044,0.935138,0.995179,1.06775,1.15951,0.816568,0.849074,0.890166,0.938167,0.998219,1.07097,1.16263,0.819481,0.852164,0.893245,0.941197,1.00126,1.0742,1.16576
38,0.888641,0.823935,0.85689,0.897742,0.94562,1.0057,1.07891,1.17032,0.826944,0.860083,0.900993,0.948863,1.00898,1.08232,1.17362,0.829953,0.863397,0.904244,0.95212,1.01226,1.08573,1.17692,0.833018,0.866718,0.907496,0.955378,1.01553,1.08913,1.18021,0.836246,0.870039,0.910747,0.958635,1.01881,1.09254,1.18351,0.839474,0.87336,0.913998,0.961892,1.02209,1.09595,1.18681,0.842702,0.876681,0.91725,0.96515,1.02536,1.09936,1.19011
39,0.917356,0.848465,0.882153,0.921883,0.969531,1.02977,1.10395,1.19429,0.851354,0.885277,0.924832,0.972748,1.03301,1.10732,1.19758,0.854242,0.8884,0.927782,0.975964,1.03624,1.11069,1.20086,0.85713,0.89144,0.930731,0.979169,1.03943,1.11406,1.20415,0.860018,0.894473,0.93368,0.982375,1.04263,1.11751,1.20744,0.863032,0.897506,0.936629,0.98558,1.04582,1.12095,1.21073,0.866057,0.900539,0.939578,0.988786,1.04902,1.1244,1.21402
40,0.946404,0.874128,0.907563,0.946035,0.995047,1.05504,1.13013,1.21941,0.876929,0.910311,0.948691,0.997753,1.05781,1.13295,1.22235,0.87973,0.913058,0.951355,1.00046,1.06058,1.13576,1.22527,0.882531,0.915805,0.954019,1.00317,1.06336,1.13858,1.22819,0.885332,0.918468,0.956683,1.00588,1.06613,1.1414,1.23111,0.888133,0.92102,0.959348,1.00863,1.069,1.14422,1.23402,0.890855,0.923572,0.962012,1.01138,1.07187,1.14703,1.23694
