gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
30,0.660447,-36.7287,-36.7287,-36.7287,-36.7287,-36.7288,-36.7287,-36.7288,-35.8622,-35.8622,-35.8623,-35.8622,-35.8623,-35.8623,-35.8623,-34.9227,-34.9227,-34.9227,-34.9227,-34.9228,-34.9227,-34.9227,-33.9052,-33.9052,-33.9052,-33.9051,-33.9052,-33.9052,-33.9052,-32.8023,-32.8023,-32.8023,-32.8023,-32.8023,-32.8023,-32.8023,-31.6099,-31.6099,-31.6099,-31.6098,-31.6099,-31.6098,-31.6098,-30.3232,-30.3232,-30.3232,-30.3232,-30.3232,-30.3232,-30.3232
31,0.686635,-36.3691,-36.3692,-36.3692,-36.3691,-36.3692,-36.3692,-36.3692,-35.5243,-35.5243,-35.5243,-35.5243,-35.5244,-35.5243,-35.5243,-34.6064,-34.6064,-34.6064,-34.6063,-34.6064,-34.6064,-34.6064,-33.6106,-33.6106,-33.6106,-33.6105,-33.6106,-33.6106,-33.6106,-32.5293,-32.5292,-32.5293,-32.5292,-32.5293,-32.5292,-32.5292,-31.3586,-31.3586,-31.3586,-31.3586,-31.3586,-31.3586,-31.3586,-30.094,-30.094,-30.094,-30.094,-30.094,-30.094,-30.094
32,0.713126,-36.0149,-36.0149,-36.0149,-36.0149,-36.015,-36.0149,-36.0149,-35.1906,-35.1906,-35.1906,-35.1906,-35.1907,-35.1906,-35.1906,-34.2934,-34.2934,-34.2935,-34.2934,-34.2935,-34.2935,-34.2935,-33.3186,-33.3186,-33.3187,-33.3186,-33.3187,-33.3186,-33.3186,-32.2584,-32.2584,-32.2584,-32.2583,-32.2584,-32.2583,-32.2583,-31.1089,-31.1089,-31.1089,-31.1089,-31.1089,-31.1089,-31.1089,-29.8658,-29.8658,-29.8659,-29.8658,-29.8658,-29.8658,-29.8658
33,0.739924,-35.6655,-35.6655,-35.6655,-35.6655,-35.6655,-35.6655,-35.6655,-34.8609,-34.8609,-34.861,-34.8609,-34.861,-34.8609,-34.861,-33.9838,-33.9838,-33.9838,-33.9838,-33.9838,-33.9838,-33.9838,-33.0293,-33.0293,-33.0293,-33.0293,-33.0293,-33.0293,-33.0293,-31.9898,-31.9898,-31.9898,-31.9897,-31.9898,-31.9898,-31.9898,-30.861,-30.861,-30.861,-30.8609,-30.861,-30.861,-30.861,-29.6386,-29.6386,-29.6386,-29.6386,-29.6386,-29.6386,-29.6386
34,0.767033,-35.3207,-35.3207,-35.3207,-35.3207,-35.3207,-35.3207,-35.3207,-34.5351,-34.5351,-34.5352,-34.5351,-34.5352,-34.5352,-34.5352,-33.6773,-33.6773,-33.6774,-33.6773,-33.6774,-33.6773,-33.6773,-32.7425,-32.7425,-32.7425,-32.7424,-32.7425,-32.7425,-32.7425,-31.7232,-31.7232,-31.7232,-31.7232,-31.7232,-31.7232,-31.7232,-30.6147,-30.6147,-30.6147,-30.6146,-30.6147,-30.6147,-30.6147,-29.4124,-29.4124,-29.4124,-29.4124,-29.4124,-29.4124,-29.4124
35,0.794456,-34.9803,-34.9803,-34.9804,-34.9803,-34.9804,-34.9804,-34.9804,-34.2131,-34.2131,-34.2131,-34.213,-34.2131,-34.2131,-34.2131,-33.3739,-33.3739,-33.3739,-33.3739,-33.3739,-33.3739,-33.3739,-32.4581,-32.4581,-32.4581,-32.458,-32.4581,-32.4581,-32.4581,-31.4585,-31.4585,-31.4585,-31.4585,-31.4585,-31.4585,-31.4585,-30.3698,-30.3698,-30.3698,-30.3697,-30.3698,-30.3697,-30.3697,-29.1871,-29.1871,-29.1871,-29.1871,-29.1871,-29.1871,-29.1871
36,0.822196,-34.6442,-34.6443,-34.6443,-34.6442,-34.6443,-34.6443,-34.6443,-33.8946,-33.8946,-33.8946,-33.8946,-33.8946,-33.8946,-33.8946,-33.0734,-33.0734,-33.0735,-33.0734,-33.0735,-33.0734,-33.0734,-32.1761,-32.1761,-32.1761,-32.1761,-32.1761,-32.1761,-32.1761,-31.1957,-31.1957,-31.1957,-31.1957,-31.1957,-31.1957,-31.1957,-30.1262,-30.1262,-30.1262,-30.1262,-30.1262,-30.1262,-30.1262,-28.9628,-28.9628,-28.9628,-28.9628,-28.9628,-28.9628,-28.9628
37,0.850258,-34.3122,-34.3122,-34.3123,-34.3122,-34.3123,-34.3123,-34.3123,-33.5795,-33.5795,-33.5796,-33.5795,-33.5796,-33.5795,-33.5795,-32.7758,-32.7758,-32.7758,-32.7758,-32.7758,-32.7758,-32.7758,-31.8965,-31.8965,-31.8965,-31.8965,-31.8965,-31.8965,-31.8965,-30.9347,-30.9347,-30.9347,-30.9346,-30.9347,-30.9347,-30.9347,-29.884,-29.884,-29.8841,-29.884,-29.8841,-29.884,-29.884,-28.7395,-28.7395,-28.7395,-28.7394,-28.7395,-28.7394,-28.7394
38,0.878644,-33.9841,-33.9842,-33.9842,-33.9841,-33.9842,-33.9842,-33.9842,-33.2678,-33.2678,-33.2678,-33.2678,-33.2678,-33.2678,-33.2678,-32.481,-32.481,-32.481,-32.4809,-32.481,-32.481,-32.481,-31.6191,-31.6191,-31.6192,-31.6191,-31.6192,-31.6191,-31.6191,-30.6754,-30.6754,-30.6754,-30.6754,-30.6754,-30.6754,-30.6754,-29.6432,-29.6432,-29.6432,-29.6431,-29.6432,-29.6432,-29.6432,-28.5175,-28.5175,-28.5175,-28.5175,-28.5175,-28.5175,-28.5175
39,0.90736,-33.6599,-33.6599,-33.6599,-33.6598,-33.6599,-33.6599,-33.6599,-32.9593,-32.9593,-32.9593,-32.9593,-32.9593,-32.9593,-32.9593,-32.1888,-32.1888,-32.1889,-32.1888,-32.1889,-32.1889,-32.1889,-31.344,-31.344,-31.344,-31.344,-31.344,-31.344,-31.344,-30.4179,-30.4179,-30.4179,-30.4179,-30.4179,-30.4179,-30.4179,-29.4036,-29.4036,-29.4037,-29.4036,-29.4037,-29.4036,-29.4036,-28.2966,-28.2966,-28.2966,-28.2966,-28.2966,-28.2966,-28.2966
