gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
41,3.62902,0.000169485,0.000613252,0.000971452,0.000613252,0.000169485,0.000629169,0.00227654,0.00360627,0.00227654,0.000629169,0.000974734,0.00352691,0.00558697,0.00352691,0.000974734,0.000573663,0.0020757,0.00328811,0.0020757,0.000573663,0.000132704,0.000480167,0.000760633,0.000480167,0.000132704
42,3.78225,0.00015801,0.000571732,0.000905681,0.000571732,0.00015801,0.000602438,0.00217982,0.00345305,0.00217982,0.000602438,0.000951239,0.00344189,0.0054523,0.00344189,0.000951239,0.00056874,0.00205789,0.0032599,0.00205789,0.00056874,0.000135787,0.000491323,0.000778304,0.000491323,0.000135787
43,3.93998,0.000148509,0.000537353,0.00085122,0.000537353,0.000148509,0.000569018,0.00205889,0.00326149,0.00205889,0.000569018,0.000910163,0.00329327,0.00521687,0.00329327,0.000910163,0.000557247,0.0020163,0.00319403,0.0020163,0.000557247,0.000138358,0.000500625,0.000793039,0.000500625,0.000138358
44,4.10232,0.000146877,0.000531448,0.000841866,0.000531448,0.000146877,0.000578751,0.00209411,0.00331728,0.00209411,0.000578751,0.000959721,0.00347258,0.00550092,0.00347258,0.000959721,0.000611562,0.00221283,0.00350534,0.00221283,0.000611562,0.000155976,0.000564372,0.000894022,0.000564372,0.000155976
45,4.26943,0.000136191,0.000492784,0.000780619,0.000492784,0.000136191,0.00053547,0.0019375,0.0030692,0.0019375,0.00053547,0.000895617,0.00324063,0.00513349,0.00324063,0.000895617,0.000584457,0.00211476,0.00334998,0.00211476,0.000584457,0.000155677,0.00056329,0.000892307,0.00056329,0.000155677
46,4.44143,0.000121813,0.000440758,0.000698205,0.000440758,0.000121813,0.000499146,0.00180608,0.002861,0.00180608,0.000499146,0.000870134,0.00314843,0.00498743,0.00314843,0.000870134,0.000587558,0.00212598,0.00336776,0.00212598,0.000587558,0.000161956,0.000586011,0.0009283,0.000586011,0.000161956
47,4.61847,0.000117646,0.000425681,0.000674321,0.000425681,0.000117646,0.0004878,0.00176502,0.00279597,0.00176502,0.0004878,0.000855177,0.00309431,0.0049017,0.00309431,0.000855177,0.000582083,0.00210617,0.00333638,0.00210617,0.000582083,0.000161789,0.000585407,0.000927342,0.000585407,0.000161789
48,4.8007,0.000112471,0.000406956,0.00064466,0.000406956,0.000112471,0.000461462,0.00166972,0.002645,0.00166972,0.000461462,0.000812055,0.00293828,0.00465453,0.00293828,0.000812055,0.000569406,0.0020603,0.00326372,0.0020603,0.000569406,0.000167728,0.000606895,0.000961382,0.000606895,0.000167728
49,4.98827,0.000102196,0.000369779,0.000585767,0.000369779,0.000102196,0.000428407,0.00155012,0.00245554,0.00155012,0.000428407,0.000779971,0.00282219,0.00447063,0.00282219,0.000779971,0.000562594,0.00203565,0.00322467,0.00203565,0.000562594,0.000168693,0.000610385,0.00096691,0.000610385,0.000168693
50,5.18134,9.2114e-005,0.000333299,0.000527978,0.000333299,9.2114e-005,0.000391363,0.00141608,0.00224321,0.00141608,0.000391363,0.00071796,0.00259781,0.0041152,0.00259781,0.00071796,0.00052425,0.00189691,0.00300489,0.00189691,0.00052425,0.000161949,0.000585985,0.000928259,0.000585985,0.000161949
51,5.38006,8.44275e-005,0.000305486,0.000483921,0.000305486,8.44275e-005,0.00036402,0.00131714,0.00208648,0.00131714,0.00036402,0.000685305,0.00247966,0.00392803,0.00247966,0.000685305,0.00051716,0.00187125,0.00296425,0.00187125,0.00051716,0.000162924,0.000589511,0.000933844,0.000589511,0.000162924
52,5.58461,8.07961e-005,0.000292347,0.000463107,0.000292347,8.07961e-005,0.000349987,0.00126637,0.00200605,0.00126637,0.000349987,0.00065271,0.00236172,0.0037412,0.00236172,0.00065271,0.000487034,0.00176225,0.00279158,0.00176225,0.000487034,0.000155774,0.00056364,0.000892862,0.00056364,0.000155774
53,5.79515,7.34046e-005,0.000265602,0.00042074,0.000265602,7.34046e-005,0.000324407,0.00117381,0.00185943,0.00117381,0.000324407,0.000624937,0.00226123,0.00358201,0.00226123,0.000624937,0.000480495,0.00173859,0.0027541,0.00173859,0.000480495,0.000156453,0.0005661,0.000896759,0.0005661,0.000156453
54,6.01186,6.59554e-005,0.000238648,0.000378042,0.000238648,6.59554e-005,0.000289989,0.00104928,0.00166216,0.00104928,0.000289989,0.000561019,0.00202995,0.00321565,0.00202995,0.000561019,0.000437194,0.00158191,0.00250591,0.00158191,0.000437194,0.000144748,0.000523746,0.000829666,0.000523746,0.000144748
55,6.23493,5.90405e-005,0.000213628,0.000338408,0.000213628,5.90405e-005,0.000261425,0.00094592,0.00149843,0.00094592,0.000261425,0.000515553,0.00186544,0.00295504,0.00186544,0.000515553,0.000416437,0.0015068,0.00238693,0.0015068,0.000416437,0.000143892,0.000520647,0.000824756,0.000520647,0.000143892
56,6.46452,5.75214e-005,0.000208131,0.000329701,0.000208131,5.75214e-005,0.000255725,0.000925296,0.00146576,0.000925296,0.000255725,0.000497672,0.00180074,0.00285255,0.00180074,0.000497672,0.000393158,0.00142258,0.0022535,0.00142258,0.000393158,0.000132498,0.000479423,0.000759453,0.000479423,0.000132498
57,6.70085,5.02904e-005,0.000181967,0.000288254,0.000181967,5.02904e-005,0.000222275,0.000804263,0.00127403,0.000804263,0.000222275,0.000436555,0.0015796,0.00250224,0.0015796,0.000436555,0.000356578,0.00129021,0.00204383,0.00129021,0.000356578,0.000127204,0.000460266,0.000729107,0.000460266,0.000127204
58,6.94411,4.72474e-005,0.000170957,0.000270812,0.000170957,4.72474e-005,0.000211024,0.000763555,0.00120955,0.000763555,0.000211024,0.00041399,0.00149795,0.0023729,0.00149795,0.00041399,0.000332734,0.00120394,0.00190716,0.00120394,0.000332734,0.000116065,0.000419961,0.00066526,0.000419961,0.000116065
59,7.19449,4.10455e-005,0.000148516,0.000235264,0.000148516,4.10455e-005,0.000192645,0.000697054,0.0011042,0.000697054,0.000192645,0.000398196,0.0014408,0.00228238,0.0014408,0.000398196,0.000331507,0.0011995,0.00190013,0.0011995,0.000331507,0.000117825,0.00042633,0.00067535,0.00042633,0.000117825
60,7.45221,3.83813e-005,0.000138876,0.000219994,0.000138876,3.83813e-005,0.000176262,0.000637774,0.0010103,0.000637774,0.000176262,0.000356276,0.00128912,0.0020421,0.00128912,0.000356276,0.000292192,0.00105725,0.00167478,0.00105725,0.000292192,0.000102758,0.000371813,0.000588989,0.000371813,0.000102758
61,7.71748,3.44444e-005,0.000124631,0.000197428,0.000124631,3.44444e-005,0.000155822,0.000563815,0.000893139,0.000563815,0.000155822,0.000315295,0.00114084,0.00180721,0.00114084,0.000315295,0.000264677,0.000957688,0.00151707,0.000957688,0.000264677,9.64673e-005,0.00034905,0.00055293,0.00034905,9.64673e-005
