gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
305,52.0879,-0.381101,-0.37257,-0.364295,-0.35629,-0.348509,-0.340942,-0.333583
306,52.7099,-0.37267,-0.364322,-0.356225,-0.348392,-0.340779,-0.333375,-0.326175
307,53.3391,-0.364423,-0.356254,-0.348331,-0.340667,-0.333218,-0.325973,-0.318929
308,53.9756,-0.356356,-0.348363,-0.34061,-0.333111,-0.325822,-0.318734,-0.311842
309,54.6194,-0.348464,-0.340643,-0.333058,-0.32572,-0.318588,-0.311654,-0.30491
310,55.2707,-0.340745,-0.333093,-0.325671,-0.318491,-0.311513,-0.304728,-0.298131
311,55.9296,-0.333195,-0.325707,-0.318445,-0.31142,-0.304593,-0.297955,-0.291501
312,56.5961,-0.32581,-0.318483,-0.311378,-0.304505,-0.297825,-0.291331,-0.285016
313,57.2703,-0.318586,-0.311417,-0.304465,-0.297741,-0.291206,-0.284852,-0.278674
314,57.9523,-0.31152,-0.304506,-0.297704,-0.291125,-0.284732,-0.278515,-0.272471
315,58.6423,-0.304609,-0.297747,-0.291092,-0.284655,-0.2784,-0.272318,-0.266405
316,59.3402,-0.297849,-0.291135,-0.284624,-0.278327,-0.272207,-0.266257,-0.260473
317,60.0462,-0.291238,-0.284668,-0.278298,-0.272137,-0.26615,-0.26033,-0.254671
318,60.7604,-0.284771,-0.278344,-0.272111,-0.266084,-0.260227,-0.254532,-0.248997
319,61.4828,-0.278446,-0.272158,-0.26606,-0.260164,-0.254433,-0.248863,-0.243447
320,62.2137,-0.272259,-0.266108,-0.260142,-0.254373,-0.248768,-0.243318,-0.238021
321,62.9529,-0.266209,-0.26019,-0.254355,-0.248711,-0.243227,-0.237896,-0.232714
322,63.7008,-0.260291,-0.254403,-0.248694,-0.243173,-0.237808,-0.232593,-0.227524
323,64.4573,-0.254503,-0.248743,-0.243158,-0.237757,-0.232509,-0.227407,-0.222448
324,65.2226,-0.248843,-0.243207,-0.237744,-0.23246,-0.227326,-0.222336,-0.217485
325,65.9968,-0.243307,-0.237794,-0.232449,-0.22728,-0.222258,-0.217376,-0.212631
326,66.7799,-0.237892,-0.232499,-0.22727,-0.222214,-0.217301,-0.212526,-0.207885
327,67.5721,-0.232597,-0.227321,-0.222206,-0.21726,-0.212454,-0.207783,-0.203243
328,68.3735,-0.227418,-0.222257,-0.217253,-0.212415,-0.207714,-0.203145,-0.198704
329,69.1841,-0.222353,-0.217304,-0.21241,-0.207677,-0.203078,-0.198609,-0.194265
330,70.0042,-0.2174,-0.212461,-0.207673,-0.203043,-0.198545,-0.194174,-0.189925
331,70.8337,-0.212556,-0.207725,-0.203041,-0.198512,-0.194113,-0.189837,-0.185681
332,71.6729,-0.207818,-0.203093,-0.198511,-0.194081,-0.189778,-0.185595,-0.18153
333,72.5218,-0.203185,-0.198563,-0.194081,-0.189748,-0.185539,-0.181448,-0.177472
334,73.3805,-0.198655,-0.194133,-0.189749,-0.185511,-0.181393,-0.177392,-0.173503
335,74.2492,-0.194224,-0.189801,-0.185513,-0.181367,-0.17734,-0.173426,-0.169622
336,75.1279,-0.189891,-0.185564,-0.18137,-0.177315,-0.173376,-0.169548,-0.165828
337,76.0168,-0.185654,-0.181422,-0.177319,-0.173353,-0.1695,-0.165756,-0.162117
338,76.916,-0.18151,-0.177371,-0.173358,-0.169478,-0.16571,-0.162048,-0.158489
339,77.8256,-0.177458,-0.173409,-0.169484,-0.16569,-0.162004,-0.158422,-0.154941
340,78.7458,-0.173495,-0.169535,-0.165696,-0.161985,-0.15838,-0.154877,-0.151472
341,79.6766,-0.16962,-0.165747,-0.161992,-0.158362,-0.154836,-0.15141,-0.14808
342,80.6182,-0.165831,-0.162042,-0.15837,-0.154819,-0.151371,-0.14802,-0.144764
343,81.5708,-0.162126,-0.15842,-0.154828,-0.151355,-0.147983,-0.144706,-0.141521
344,82.5343,-0.158502,-0.154878,-0.151365,-0.147968,-0.14467,-0.141465,-0.13835
345,83.509,-0.154959,-0.151414,-0.147978,-0.144656,-0.14143,-0.138296,-0.13525
346,84.495,-0.151495,-0.148027,-0.144667,-0.141418,-0.138263,-0.135197,-0.132218
347,85.4925,-0.148107,-0.144715,-0.141429,-0.138251,-0.135166,-0.132167,-0.129254
348,86.5014,-0.144794,-0.141477,-0.138263,-0.135155,-0.132137,-0.129205,-0.126356
349,87.5221,-0.141554,-0.138311,-0.135167,-0.132128,-0.129176,-0.126308,-0.123522
350,88.5546,-0.138387,-0.135214,-0.13214,-0.129167,-0.126281,-0.123476,-0.120751
351,89.5991,-0.135289,-0.132187,-0.12918,-0.126273,-0.12345,-0.120707,-0.118043
352,90.6556,-0.132261,-0.129226,-0.126286,-0.123443,-0.120682,-0.118,-0.115394
353,91.7245,-0.129299,-0.126332,-0.123456,-0.120676,-0.117976,-0.115353,-0.112804
354,92.8056,-0.126404,-0.123502,-0.120689,-0.11797,-0.11533,-0.112765,-0.110272
355,93.8993,-0.123573,-0.120734,-0.117983,-0.115324,-0.112742,-0.110234,-0.107797
356,95.0057,-0.120804,-0.118028,-0.115338,-0.112738,-0.110213,-0.10776,-0.105377
357,96.1249,-0.118097,-0.115383,-0.112752,-0.110209,-0.10774,-0.105341,-0.10301
358,97.2571,-0.115451,-0.112796,-0.110223,-0.107736,-0.105321,-0.102976,-0.100697
359,98.4024,-0.112863,-0.110266,-0.10775,-0.105318,-0.102957,-0.100663,-0.0984345
360,99.5609,-0.110332,-0.107793,-0.105333,-0.102955,-0.100646,-0.0984023,-0.096223
361,100.733,-0.107858,-0.105375,-0.102969,-0.100644,-0.0983855,-0.0961919,-0.0940608
362,101.918,-0.105439,-0.103011,-0.100658,-0.098384,-0.0961758,-0.0940308,-0.0919469
363,103.118,-0.103074,-0.1007,-0.0983987,-0.0961748,-0.0940154,-0.0919179,-0.0898802
364,104.331,-0.100762,-0.0984396,-0.0961895,-0.0940148,-0.0919033,-0.0898522,-0.0878596
365,105.558,-0.0985006,-0.09623,-0.0940296,-0.091903,-0.0898382,-0.0878326,-0.0858842
366,106.8,-0.09629,-0.0940695,-0.0919179,-0.0898383,-0.0878193,-0.0858581,-0.0839529
367,108.055,-0.0941286,-0.0919573,-0.0898532,-0.0878197,-0.0858454,-0.0839277,-0.0820648
368,109.326,-0.0920154,-0.0898921,-0.0878346,-0.0858462,-0.0839156,-0.0820404,-0.0802188
369,110.611,-0.0899493,-0.087873,-0.0858611,-0.0839167,-0.0820289,-0.0801953,-0.0784141
370,111.911,-0.0879292,-0.0858989,-0.0839316,-0.0820303,-0.0801844,-0.0783914,-0.0766498
371,113.226,-0.0859542,-0.0839689,-0.0820451,-0.080186,-0.0783811,-0.0766279,-0.074925
372,114.556,-0.0840233,-0.0820819,-0.0802008,-0.0783829,-0.076618,-0.0749038,-0.0732387
373,115.902,-0.0821354,-0.0802371,-0.0783977,-0.0766201,-0.0748944,-0.0732182,-0.0715901
374,117.263,-0.0802897,-0.0784335,-0.0766349,-0.0748968,-0.0732093,-0.0715704,-0.0699785
375,118.64,-0.0784852,-0.0766701,-0.0749115,-0.0732119,-0.071562,-0.0699594,-0.0684029
376,120.033,-0.076721,-0.0749462,-0.0732265,-0.0715647,-0.0699514,-0.0683845,-0.0668626
377,121.442,-0.0749962,-0.0732607,-0.0715793,-0.0699544,-0.0683769,-0.0668449,-0.0653568
378,122.868,-0.0733099,-0.071613,-0.0699688,-0.06838,-0.0668377,-0.0653397,-0.0638847
379,124.31,-0.0716612,-0.070002,-0.0683944,-0.0668409,-0.0653328,-0.0638682,-0.0624456
380,125.769,-0.0700495,-0.0684271,-0.0668552,-0.0653363,-0.0638617,-0.0624296,-0.0610387
381,127.244,-0.0684737,-0.0668874,-0.0653505,-0.0638653,-0.0624235,-0.0610233,-0.0596634
382,128.737,-0.0669332,-0.0653821,-0.0638794,-0.0624272,-0.0610175,-0.0596485,-0.0583189
383,130.247,-0.0654271,-0.0639106,-0.0624412,-0.0610213,-0.0596431,-0.0583045,-0.0570045
384,131.774,-0.0639548,-0.0624719,-0.0610352,-0.059647,-0.0582994,-0.0569906,-0.0557196
385,133.32,-0.0625153,-0.0610654,-0.0596607,-0.0583034,-0.0569858,-0.0557062,-0.0544635
386,134.883,-0.0611081,-0.0596905,-0.058317,-0.0569899,-0.0557017,-0.0544506,-0.0532356
387,136.464,-0.0597323,-0.0583463,-0.0570034,-0.0557058,-0.0544463,-0.0532231,-0.0520352
388,138.063,-0.0583874,-0.0570322,-0.0557192,-0.0544505,-0.0532191,-0.0520232,-0.0508618
389,139.681,-0.0570726,-0.0557475,-0.0544638,-0.0532234,-0.0520194,-0.0508502,-0.0497147
390,141.318,-0.0557872,-0.0544916,-0.0532365,-0.0520238,-0.0508466,-0.0497035,-0.0485933
391,142.974,-0.0545306,-0.0532639,-0.0520368,-0.0508511,-0.0497002,-0.0485825,-0.0474972
392,144.649,-0.0533021,-0.0520637,-0.0508639,-0.0497046,-0.0485794,-0.0474867,-0.0464256
393,146.343,-0.0521012,-0.0508904,-0.0497173,-0.0485839,-0.0474838,-0.0464155,-0.0453781
394,148.057,-0.0509272,-0.0497434,-0.0485965,-0.0474884,-0.0464128,-0.0453684,-0.0443541
395,149.791,-0.0497795,-0.0486221,-0.0475008,-0.0464174,-0.0453658,-0.0443447,-0.0433531
396,151.545,-0.0486576,-0.0475259,-0.0464297,-0.0453704,-0.0443424,-0.0433441,-0.0423746
397,153.319,-0.0475608,-0.0464544,-0.0453826,-0.044347,-0.0433419,-0.0423659,-0.0414181
398,155.114,-0.0464886,-0.0454069,-0.044359,-0.0433465,-0.0423639,-0.0414097,-0.0404831
399,156.929,-0.0454404,-0.0443829,-0.0433584,-0.0423685,-0.0414078,-0.040475,-0.0395691
400,158.766,-0.0444158,-0.0433818,-0.0423802,-0.0414125,-0.0404733,-0.0395613,-0.0386757
401,160.624,-0.0434141,-0.0424033,-0.041424,-0.0404779,-0.0395597,-0.0386681,-0.0378023
402,162.503,-0.0424349,-0.0414467,-0.0404893,-0.0395644,-0.0386667,-0.037795,-0.0369486
403,164.404,-0.0414778,-0.0405116,-0.0395756,-0.0386713,-0.0377937,-0.0369416,-0.0361141
404,166.328,-0.0405421,-0.0395975,-0.0386824,-0.0377984,-0.0369404,-0.0361073,-0.0352983
405,168.273,-0.0396274,-0.0387039,-0.0378093,-0.036945,-0.0361062,-0.0352918,-0.0345009
406,170.241,-0.0387332,-0.0378304,-0.0369558,-0.0361109,-0.0352908,-0.0344946,-0.0337215
407,172.232,-0.0378591,-0.0369765,-0.0361215,-0.0352954,-0.0344938,-0.0337154,-0.0329596
408,174.246,-0.0370047,-0.0361418,-0.0353059,-0.0344984,-0.0337146,-0.0329537,-0.0322148
409,176.283,-0.0361695,-0.0353259,-0.0345087,-0.0337192,-0.032953,-0.0322091,-0.0314868
