gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
30,0.660447,-36.7286,-36.7286,-36.7286,-36.7286,-36.7287,-36.7287,-36.7287,-35.8623,-35.8623,-35.8624,-35.8623,-35.8624,-35.8624,-35.8624,-34.9228,-34.9228,-34.9228,-34.9227,-34.9228,-34.9228,-34.9228,-33.9052,-33.9052,-33.9052,-33.9052,-33.9052,-33.9052,-33.9052,-32.8225,-32.8171,-32.8098,-32.8023,-32.7957,-32.7889,-32.7843,-31.6359,-31.6285,-31.6192,-31.6099,-31.6013,-31.5938,-31.5858,-30.361,-30.3484,-30.3359,-30.3232,-30.3113,-30.3027,-30.2976
31,0.686635,-36.3691,-36.3691,-36.3692,-36.3691,-36.3692,-36.3692,-36.3692,-35.5244,-35.5244,-35.5244,-35.5244,-35.5245,-35.5244,-35.5244,-34.6064,-34.6064,-34.6064,-34.6064,-34.6065,-34.6064,-34.6064,-33.6106,-33.6106,-33.6106,-33.6106,-33.6106,-33.6106,-33.6106,-32.5499,-32.5429,-32.5361,-32.5293,-32.5225,-32.5156,-32.5109,-31.3833,-31.3751,-31.3669,-31.3587,-31.3518,-31.3449,-31.3379,-30.1308,-30.1186,-30.1058,-30.094,-30.0853,-30.0789,-30.0713
32,0.713126,-36.0151,-36.0151,-36.0152,-36.0151,-36.0152,-36.0152,-36.0152,-35.1906,-35.1906,-35.1907,-35.1906,-35.1907,-35.1907,-35.1907,-34.2935,-34.2935,-34.2935,-34.2935,-34.2935,-34.2935,-34.2935,-33.3187,-33.3187,-33.3187,-33.3186,-33.3187,-33.3187,-33.3187,-32.2797,-32.2712,-32.2634,-32.2584,-32.2542,-32.2513,-32.2478,-31.1343,-31.1245,-31.1161,-31.1089,-31.1026,-31.0974,-31.0916,-29.9051,-29.8837,-29.8736,-29.8658,-29.8594,-29.854,-29.848
33,0.739924,-35.6655,-35.6655,-35.6656,-35.6655,-35.6656,-35.6656,-35.6656,-34.861,-34.861,-34.861,-34.8609,-34.861,-34.861,-34.861,-33.9839,-33.9839,-33.9839,-33.9838,-33.9839,-33.9839,-33.9839,-33.0293,-33.0293,-33.0294,-33.0293,-33.0294,-33.0293,-33.0293,-32.0114,-32.0042,-31.997,-31.9898,-31.9834,-31.9768,-31.9725,-30.889,-30.8797,-30.8697,-30.861,-30.8531,-30.8464,-30.8392,-29.6768,-29.6641,-29.6502,-29.6386,-29.6296,-29.6229,-29.615
34,0.767033,-35.3206,-35.3206,-35.3207,-35.3206,-35.3207,-35.3207,-35.3207,-34.5352,-34.5352,-34.5352,-34.5352,-34.5353,-34.5352,-34.5352,-33.6774,-33.6774,-33.6774,-33.6773,-33.6774,-33.6774,-33.6774,-32.7425,-32.7425,-32.7425,-32.7425,-32.7425,-32.7425,-32.7425,-31.7452,-31.7379,-31.7306,-31.7232,-31.7159,-31.7086,-31.7013,-30.6431,-30.6337,-30.6242,-30.6147,-30.6059,-30.5971,-30.5883,-29.4531,-29.4395,-29.426,-29.4124,-29.4007,-29.389,-29.3791
35,0.794456,-34.9804,-34.9804,-34.9804,-34.9804,-34.9805,-34.9804,-34.9805,-34.2131,-34.2131,-34.2132,-34.2131,-34.2132,-34.2132,-34.2132,-33.3739,-33.3739,-33.374,-33.3739,-33.374,-33.3739,-33.374,-32.4581,-32.4581,-32.4582,-32.4581,-32.4582,-32.4581,-32.4581,-31.4808,-31.4734,-31.466,-31.4585,-31.4512,-31.4437,-31.4363,-30.3987,-30.389,-30.3795,-30.3698,-30.3609,-30.3519,-30.343,-29.2247,-29.2134,-29.2003,-29.187,-29.1746,-29.1633,-29.1532
36,0.822196,-34.6443,-34.6444,-34.6444,-34.6443,-34.6444,-34.6444,-34.6444,-33.8946,-33.8946,-33.8947,-33.8946,-33.8947,-33.8947,-33.8947,-33.0735,-33.0735,-33.0735,-33.0734,-33.0735,-33.0735,-33.0735,-32.1761,-32.1761,-32.1762,-32.1761,-32.1762,-32.1761,-32.1761,-31.2161,-31.2108,-31.2033,-31.1957,-31.1882,-31.1822,-31.1754,-30.1535,-30.1444,-30.1354,-30.1262,-30.1172,-30.1081,-30.099,-28.9971,-28.9856,-28.9742,-28.9627,-28.9513,-28.9398,-28.9302
37,0.850258,-34.3123,-34.3124,-34.3124,-34.3123,-34.3124,-34.3124,-34.3124,-33.5796,-33.5796,-33.5796,-33.5796,-33.5796,-33.5796,-33.5796,-32.7758,-32.7758,-32.7759,-32.7758,-32.7759,-32.7758,-32.7759,-31.8965,-31.8965,-31.8966,-31.8965,-31.8966,-31.8965,-31.8965,-30.9553,-30.95,-30.9424,-30.9347,-30.9271,-30.921,-30.9187,-29.9117,-29.9025,-29.8933,-29.884,-29.8749,-29.8656,-29.8586,-28.7749,-28.7643,-28.7525,-28.7394,-28.7272,-28.7161,-28.7103
38,0.878644,-33.9842,-33.9843,-33.9843,-33.9842,-33.9843,-33.9843,-33.9843,-33.2678,-33.2678,-33.2679,-33.2678,-33.2679,-33.2678,-33.2679,-32.481,-32.481,-32.481,-32.481,-32.481,-32.481,-32.481,-31.6192,-31.6192,-31.6192,-31.6192,-31.6192,-31.6192,-31.6192,-30.6917,-30.6894,-30.6832,-30.6754,-30.6677,-30.66,-30.6545,-29.669,-29.6619,-29.6526,-29.6432,-29.6339,-29.6245,-29.6152,-28.5516,-28.5416,-28.5296,-28.5175,-28.5056,-28.4948,-28.4856
39,0.90736,-33.6599,-33.6599,-33.6599,-33.6599,-33.6599,-33.6599,-33.6599,-32.9593,-32.9593,-32.9594,-32.9593,-32.9594,-32.9593,-32.9593,-32.1889,-32.1889,-32.1889,-32.1889,-32.1889,-32.1889,-32.1889,-31.344,-31.344,-31.3441,-31.344,-31.3441,-31.344,-31.344,-30.4344,-30.4336,-30.4258,-30.4179,-30.4101,-30.4038,-30.3991,-29.432,-29.4225,-29.4131,-29.4036,-29.3942,-29.3847,-29.3774,-28.3272,-28.317,-28.3069,-28.2967,-28.2866,-28.2764,-28.2662
40,0.936408,-33.3393,-33.3393,-33.3393,-33.3393,-33.3393,-33.3393,-33.3393,-32.6539,-32.6539,-32.654,-32.6539,-32.654,-32.654,-32.654,-31.8994,-31.8994,-31.8994,-31.8994,-31.8994,-31.8994,-31.8994,-31.071,-31.071,-31.071,-31.071,-31.071,-31.071,-31.071,-30.1812,-30.1764,-30.1693,-30.1621,-30.155,-30.1494,-30.1454,-29.1919,-29.183,-29.1742,-29.1653,-29.1565,-29.1477,-29.141,-28.1035,-28.0946,-28.0857,-28.0767,-28.0678,-28.0589,-28.05
