gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
69,10.1395,7.59441,7.59441,7.59441,7.59441,7.59441,7.52641,7.52641,7.52641,7.52641,7.52641,7.44535,7.44535,7.44535,7.44535,7.44535,7.35453,7.35453,7.35453,7.35453,7.35453,7.25999,7.25999,7.25999,7.25999,7.25999
70,10.4835,7.88883,7.88883,7.88883,7.88883,7.88883,7.82099,7.82099,7.82099,7.82099,7.82099,7.74051,7.74051,7.74051,7.74051,7.74051,7.65056,7.65056,7.65056,7.65056,7.65056,7.55656,7.55656,7.55656,7.55656,7.55656
71,10.8376,8.19312,8.19312,8.19312,8.19312,8.19312,8.1254,8.1254,8.1254,8.1254,8.1254,8.04514,8.04514,8.04514,8.04514,8.04514,7.95585,7.95585,7.95585,7.95585,7.95585,7.86279,7.86279,7.86279,7.86279,7.86279
72,11.2021,8.50721,8.50721,8.50721,8.50721,8.50721,8.43978,8.43978,8.43978,8.43978,8.43978,8.35965,8.35965,8.35965,8.35965,8.35965,8.27045,8.27045,8.27045,8.27045,8.27045,8.17832,8.17832,8.17832,8.17832,8.17832
73,11.5773,8.83113,8.83113,8.83113,8.83113,8.83113,8.76414,8.76414,8.76414,8.76414,8.76414,8.68442,8.68442,8.68442,8.68442,8.68442,8.59537,8.59537,8.59537,8.59537,8.59537,8.50335,8.50335,8.50335,8.50335,8.50335
74,11.9634,9.16541,9.16541,9.16541,9.16541,9.16541,9.09897,9.09897,9.09897,9.09897,9.09897,9.01991,9.01991,9.01991,9.01991,9.01991,8.9315,8.9315,8.9315,8.9315,8.9315,8.83963,8.83963,8.83963,8.83963,8.83963
75,12.3609,9.51035,9.51035,9.51035,9.51035,9.51035,9.44433,9.44433,9.44433,9.44433,9.44433,9.36601,9.36601,9.36601,9.36601,9.36601,9.27852,9.27852,9.27852,9.27852,9.27852,9.18746,9.18746,9.18746,9.18746,9.18746
76,12.77,9.86614,9.86614,9.86614,9.86614,9.86614,9.80032,9.80032,9.80032,9.80032,9.80032,9.72247,9.72247,9.72247,9.72247,9.72247,9.63574,9.63574,9.63574,9.63574,9.63574,9.54572,9.54572,9.54572,9.54572,9.54572
77,13.1911,10.2331,10.2331,10.2331,10.2331,10.2331,10.1678,10.1678,10.1678,10.1678,10.1678,10.0902,10.0902,10.0902,10.0902,10.0902,10.0038,10.0038,10.0038,10.0038,10.0038,9.91434,9.91434,9.91434,9.91434,9.91434
78,13.6246,10.6113,10.6113,10.6113,10.6113,10.6113,10.5467,10.5467,10.5467,10.5467,10.5467,10.4698,10.4698,10.4698,10.4698,10.4698,10.3839,10.3839,10.3839,10.3839,10.3839,10.2947,10.2947,10.2947,10.2947,10.2947
79,14.0707,11.0013,11.0013,11.0013,11.0013,11.0013,10.9372,10.9372,10.9372,10.9372,10.9372,10.8612,10.8612,10.8612,10.8612,10.8612,10.7762,10.7762,10.7762,10.7762,10.7762,10.6878,10.6878,10.6878,10.6878,10.6878
80,14.5299,11.4036,11.4036,11.4036,11.4036,11.4036,11.3397,11.3397,11.3397,11.3397,11.3397,11.2643,11.2643,11.2643,11.2643,11.2643,11.1802,11.1802,11.1802,11.1802,11.1802,11.093,11.093,11.093,11.093,11.093
81,15.0026,11.8187,11.8187,11.8187,11.8187,11.8187,11.7551,11.7551,11.7551,11.7551,11.7551,11.6799,11.6799,11.6799,11.6799,11.6799,11.5963,11.5963,11.5963,11.5963,11.5963,11.5099,11.5099,11.5099,11.5099,11.5099
82,15.4891,12.2466,12.2466,12.2466,12.2466,12.2466,12.1835,12.1835,12.1835,12.1835,12.1835,12.1085,12.1085,12.1085,12.1085,12.1085,12.025,12.025,12.025,12.025,12.025,11.9386,11.9386,11.9386,11.9386,11.9386
83,15.9899,12.6878,12.6878,12.6878,12.6878,12.6878,12.625,12.625,12.625,12.625,12.625,12.5504,12.5504,12.5504,12.5504,12.5504,12.467,12.467,12.467,12.467,12.467,12.3808,12.3808,12.3808,12.3808,12.3808
84,16.5054,13.1427,13.1427,13.1427,13.1427,13.1427,13.0802,13.0802,13.0802,13.0802,13.0802,13.0061,13.0061,13.0061,13.0061,13.0061,12.9233,12.9233,12.9233,12.9233,12.9233,12.8377,12.8377,12.8377,12.8377,12.8377
85,17.036,13.6116,13.6116,13.6116,13.6116,13.6116,13.5496,13.5496,13.5496,13.5496,13.5496,13.4761,13.4761,13.4761,13.4761,13.4761,13.3942,13.3942,13.3942,13.3942,13.3942,13.3094,13.3094,13.3094,13.3094,13.3094
86,17.5821,14.095,14.095,14.095,14.095,14.095,14.0334,14.0334,14.0334,14.0334,14.0334,13.9605,13.9605,13.9605,13.9605,13.9605,13.8793,13.8793,13.8793,13.8793,13.8793,13.7953,13.7953,13.7953,13.7953,13.7953
87,18.1442,14.5933,14.5933,14.5933,14.5933,14.5933,14.5322,14.5322,14.5322,14.5322,14.5322,14.4598,14.4598,14.4598,14.4598,14.4598,14.3792,14.3792,14.3792,14.3792,14.3792,14.2956,14.2956,14.2956,14.2956,14.2956
88,18.7228,15.1067,15.1067,15.1067,15.1067,15.1067,15.0461,15.0461,15.0461,15.0461,15.0461,14.9742,14.9742,14.9742,14.9742,14.9742,14.8942,14.8942,14.8942,14.8942,14.8942,14.8111,14.8111,14.8111,14.8111,14.8111
89,19.3184,15.6355,15.6355,15.6355,15.6355,15.6355,15.5753,15.5753,15.5753,15.5753,15.5753,15.504,15.504,15.504,15.504,15.504,15.4246,15.4246,15.4246,15.4246,15.4246,15.3423,15.3423,15.3423,15.3423,15.3423
90,19.9314,16.1805,16.1805,16.1805,16.1805,16.1805,16.1206,16.1206,16.1206,16.1206,16.1206,16.0497,16.0497,16.0497,16.0497,16.0497,15.9708,15.9708,15.9708,15.9708,15.9708,15.8893,15.8893,15.8893,15.8893,15.8893
91,20.5623,16.7424,16.7424,16.7424,16.7424,16.7424,16.6827,16.6827,16.6827,16.6827,16.6827,16.612,16.612,16.612,16.612,16.612,16.5334,16.5334,16.5334,16.5334,16.5334,16.4524,16.4524,16.4524,16.4524,16.4524
92,21.2118,17.3215,17.3215,17.3215,17.3215,17.3215,17.2621,17.2621,17.2621,17.2621,17.2621,17.1918,17.1918,17.1918,17.1918,17.1918,17.1134,17.1134,17.1134,17.1134,17.1134,17.0327,17.0327,17.0327,17.0327,17.0327
93,21.8803,17.9184,17.9184,17.9184,17.9184,17.9184,17.8594,17.8594,17.8594,17.8594,17.8594,17.7895,17.7895,17.7895,17.7895,17.7895,17.7115,17.7115,17.7115,17.7115,17.7115,17.6307,17.6307,17.6307,17.6307,17.6307
94,22.5684,18.5335,18.5335,18.5335,18.5335,18.5335,18.4749,18.4749,18.4749,18.4749,18.4749,18.4054,18.4054,18.4054,18.4054,18.4054,18.3278,18.3278,18.3278,18.3278,18.3278,18.2474,18.2474,18.2474,18.2474,18.2474
95,23.2766,19.1673,19.1673,19.1673,19.1673,19.1673,19.109,19.109,19.109,19.109,19.109,19.0399,19.0399,19.0399,19.0399,19.0399,18.9629,18.9629,18.9629,18.9629,18.9629,18.8833,18.8833,18.8833,18.8833,18.8833
96,24.0056,19.8202,19.8202,19.8202,19.8202,19.8202,19.7623,19.7623,19.7623,19.7623,19.7623,19.6937,19.6937,19.6937,19.6937,19.6937,19.6173,19.6173,19.6173,19.6173,19.6173,19.5384,19.5384,19.5384,19.5384,19.5384
