gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
134,75.1368,-0.00585083,-0.00584213,-0.00582648,-0.00580662,-0.00577894,-0.00574835,-0.00574034,-0.00572695,-0.00570762,-0.00568086,-0.00563244,-0.00562534,-0.00561258,-0.00559337,-0.00556765,-0.00550407,-0.00549816,-0.005486,-0.00546671,-0.00544226,-0.00536672,-0.0053617,-0.00535056,-0.00533216,-0.00530834
135,77.3855,-0.00548192,-0.00547374,-0.00545904,-0.00544008,-0.0054142,-0.00538817,-0.00538035,-0.00536777,-0.00534962,-0.00532459,-0.00528189,-0.00527516,-0.00526305,-0.00524516,-0.00522106,-0.00516442,-0.00515872,-0.00514724,-0.00512916,-0.00510633,-0.00503853,-0.00503389,-0.00502316,-0.00500583,-0.00498368
136,79.7002,-0.00513458,-0.00512696,-0.00511327,-0.00509513,-0.00507087,-0.00504887,-0.00504148,-0.00502953,-0.00501237,-0.00498899,-0.00495139,-0.00494507,-0.00493361,-0.00491701,-0.0048944,-0.00484399,-0.00483849,-0.00482782,-0.00481086,-0.00478948,-0.00472862,-0.00472444,-0.00471422,-0.00469773,-0.00467716
137,82.0826,-0.00480782,-0.00480078,-0.00478797,-0.00477064,-0.00474796,-0.00472945,-0.00472248,-0.00471109,-0.00469494,-0.00467309,-0.00464005,-0.00463408,-0.0046234,-0.00460786,-0.00458666,-0.00454185,-0.00453655,-0.00452669,-0.00451081,-0.00449073,-0.00443632,-0.00443238,-0.00442275,-0.00440725,-0.00438787
138,84.5349,-0.00450075,-0.00449418,-0.00448221,-0.00446575,-0.00444444,-0.00442904,-0.00442247,-0.00441162,-0.00439644,-0.00437599,-0.00434696,-0.00434132,-0.00433137,-0.00431682,-0.00429699,-0.00425715,-0.00425206,-0.00424294,-0.00422809,-0.00420928,-0.0041606,-0.0041568,-0.0041478,-0.00413326,-0.00411511
139,87.0591,-0.00421211,-0.00420599,-0.00419472,-0.00417917,-0.00415905,-0.00414658,-0.00414037,-0.00412997,-0.0041157,-0.00409655,-0.00407132,-0.00406598,-0.00405668,-0.00404304,-0.00402448,-0.00398915,-0.00398428,-0.00397569,-0.00396189,-0.00394427,-0.00390082,-0.00389711,-0.00388865,-0.00387507,-0.0038582
140,89.6572,-0.00394086,-0.00393518,-0.00392458,-0.00390991,-0.00389093,-0.00388102,-0.00387515,-0.00386523,-0.00385184,-0.00383383,-0.00381206,-0.003807,-0.00379825,-0.00378543,-0.00376802,-0.00373698,-0.00373235,-0.00372416,-0.00371132,-0.00369481,-0.00365625,-0.00365257,-0.00364459,-0.0036319,-0.00361616
141,92.3314,-0.00368607,-0.0036808,-0.00367081,-0.00365697,-0.00363916,-0.00363145,-0.00362596,-0.00361651,-0.00360388,-0.00358702,-0.00356845,-0.00356348,-0.00355532,-0.0035432,-0.00352688,-0.0034997,-0.00349531,-0.00348753,-0.00347558,-0.00346004,-0.00342595,-0.00342237,-0.00341482,-0.0034029,-0.00338822
142,95.084,-0.00344682,-0.00344192,-0.00343252,-0.00341955,-0.00340273,-0.00339701,-0.00339187,-0.00338292,-0.00337094,-0.00335515,-0.00333946,-0.00333457,-0.00332695,-0.0033155,-0.00330028,-0.00327651,-0.00327235,-0.00326497,-0.00325387,-0.00323925,-0.00320917,-0.00320568,-0.00319857,-0.00318742,-0.00317365
143,97.9173,-0.00322222,-0.00321764,-0.00320883,-0.00319669,-0.00318084,-0.00317678,-0.00317201,-0.00316364,-0.0031522,-0.00313741,-0.00312427,-0.00311965,-0.00311236,-0.00310156,-0.00308735,-0.00306664,-0.0030627,-0.00305573,-0.00304541,-0.00303166,-0.00300517,-0.0030018,-0.00299518,-0.00298475,-0.00297182
