gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
62,7.99052,4.81163,4.81163,4.81163,4.81163,4.81163,4.738,4.738,4.738,4.738,4.738,4.65239,4.65239,4.65239,4.65239,4.65239,4.56001,4.56001,4.56001,4.56001,4.56001,4.46627,4.46627,4.46627,4.46627,4.46627
63,8.27157,5.00585,5.00585,5.00585,5.00585,5.00585,4.93184,4.93184,4.93184,4.93184,4.93184,4.84567,4.84567,4.84567,4.84567,4.84567,4.75222,4.75222,4.75222,4.75222,4.75222,4.65835,4.65835,4.65835,4.65835,4.65835
64,8.56085,5.2073,5.2073,5.2073,5.2073,5.2073,5.13235,5.13235,5.13235,5.13235,5.13235,5.04549,5.04549,5.04549,5.04549,5.04549,4.95076,4.95076,4.95076,4.95076,4.95076,4.85514,4.85514,4.85514,4.85514,4.85514
65,8.85861,5.41585,5.41585,5.41585,5.41585,5.41585,5.3399,5.3399,5.3399,5.3399,5.3399,5.25222,5.25222,5.25222,5.25222,5.25222,5.15676,5.15676,5.15676,5.15676,5.15676,5.05974,5.05974,5.05974,5.05974,5.05974
66,9.16509,5.63205,5.63205,5.63205,5.63205,5.63205,5.55505,5.55505,5.55505,5.55505,5.55505,5.46639,5.46639,5.46639,5.46639,5.46639,5.37039,5.37039,5.37039,5.37039,5.37039,5.27316,5.27316,5.27316,5.27316,5.27316
67,9.48056,5.85582,5.85582,5.85582,5.85582,5.85582,5.77796,5.77796,5.77796,5.77796,5.77796,5.68814,5.68814,5.68814,5.68814,5.68814,5.59119,5.59119,5.59119,5.59119,5.59119,5.49335,5.49335,5.49335,5.49335,5.49335
68,9.80527,6.08639,6.08639,6.08639,6.08639,6.08639,6.00854,6.00854,6.00854,6.00854,6.00854,5.91783,5.91783,5.91783,5.91783,5.91783,5.81939,5.81939,5.81939,5.81939,5.81939,5.72044,5.72044,5.72044,5.72044,5.72044
69,10.1395,6.32396,6.32396,6.32396,6.32396,6.32396,6.2459,6.2459,6.2459,6.2459,6.2459,6.15524,6.15524,6.15524,6.15524,6.15524,6.05628,6.05628,6.05628,6.05628,6.05628,5.95627,5.95627,5.95627,5.95627,5.95627
70,10.4835,6.56959,6.56959,6.56959,6.56959,6.56959,6.49106,6.49106,6.49106,6.49106,6.49106,6.40014,6.40014,6.40014,6.40014,6.40014,6.30108,6.30108,6.30108,6.30108,6.30108,6.20058,6.20058,6.20058,6.20058,6.20058
71,10.8376,6.82339,6.82339,6.82339,6.82339,6.82339,6.74439,6.74439,6.74439,6.74439,6.74439,6.65302,6.65302,6.65302,6.65302,6.65302,6.55379,6.55379,6.55379,6.55379,6.55379,6.45286,6.45286,6.45286,6.45286,6.45286
72,11.2021,7.08595,7.08595,7.08595,7.08595,7.08595,7.0062,7.0062,7.0062,7.0062,7.0062,6.91398,6.91398,6.91398,6.91398,6.91398,6.81451,6.81451,6.81451,6.81451,6.81451,6.71341,6.71341,6.71341,6.71341,6.71341
73,11.5773,7.3581,7.3581,7.3581,7.3581,7.3581,7.27794,7.27794,7.27794,7.27794,7.27794,7.18455,7.18455,7.18455,7.18455,7.18455,7.08402,7.08402,7.08402,7.08402,7.08402,6.98274,6.98274,6.98274,6.98274,6.98274
74,11.9634,7.63927,7.63927,7.63927,7.63927,7.63927,7.55906,7.55906,7.55906,7.55906,7.55906,7.4655,7.4655,7.4655,7.4655,7.4655,7.36365,7.36365,7.36365,7.36365,7.36365,7.26133,7.26133,7.26133,7.26133,7.26133
75,12.3609,7.92864,7.92864,7.92864,7.92864,7.92864,7.84829,7.84829,7.84829,7.84829,7.84829,7.755,7.755,7.755,7.755,7.755,7.65312,7.65312,7.65312,7.65312,7.65312,7.54989,7.54989,7.54989,7.54989,7.54989
76,12.77,8.22684,8.22684,8.22684,8.22684,8.22684,8.14607,8.14607,8.14607,8.14607,8.14607,8.05268,8.05268,8.05268,8.05268,8.05268,7.95112,7.95112,7.95112,7.95112,7.95112,7.84799,7.84799,7.84799,7.84799,7.84799
77,13.1911,8.53496,8.53496,8.53496,8.53496,8.53496,8.45375,8.45375,8.45375,8.45375,8.45375,8.3599,8.3599,8.3599,8.3599,8.3599,8.25817,8.25817,8.25817,8.25817,8.25817,8.15536,8.15536,8.15536,8.15536,8.15536
78,13.6246,8.85293,8.85293,8.85293,8.85293,8.85293,8.77152,8.77152,8.77152,8.77152,8.77152,8.6774,8.6774,8.6774,8.6774,8.6774,8.57535,8.57535,8.57535,8.57535,8.57535,8.47253,8.47253,8.47253,8.47253,8.47253
79,14.0707,9.18128,9.18128,9.18128,9.18128,9.18128,9.09964,9.09964,9.09964,9.09964,9.09964,9.00534,9.00534,9.00534,9.00534,9.00534,8.90288,8.90288,8.90288,8.90288,8.90288,8.79968,8.79968,8.79968,8.79968,8.79968
80,14.5299,9.52122,9.52122,9.52122,9.52122,9.52122,9.43932,9.43932,9.43932,9.43932,9.43932,9.34477,9.34477,9.34477,9.34477,9.34477,9.24189,9.24189,9.24189,9.24189,9.24189,9.13785,9.13785,9.13785,9.13785,9.13785
81,15.0026,9.8722,9.8722,9.8722,9.8722,9.8722,9.79026,9.79026,9.79026,9.79026,9.79026,9.69561,9.69561,9.69561,9.69561,9.69561,9.59286,9.59286,9.59286,9.59286,9.59286,9.48863,9.48863,9.48863,9.48863,9.48863
82,15.4891,10.2337,10.2337,10.2337,10.2337,10.2337,10.1517,10.1517,10.1517,10.1517,10.1517,10.0569,10.0569,10.0569,10.0569,10.0569,9.95437,9.95437,9.95437,9.95437,9.95437,9.85081,9.85081,9.85081,9.85081,9.85081
83,15.9899,10.6065,10.6065,10.6065,10.6065,10.6065,10.5242,10.5242,10.5242,10.5242,10.5242,10.4291,10.4291,10.4291,10.4291,10.4291,10.3263,10.3263,10.3263,10.3263,10.3263,10.2229,10.2229,10.2229,10.2229,10.2229
84,16.5054,10.9911,10.9911,10.9911,10.9911,10.9911,10.9083,10.9083,10.9083,10.9083,10.9083,10.8128,10.8128,10.8128,10.8128,10.8128,10.7097,10.7097,10.7097,10.7097,10.7097,10.606,10.606,10.606,10.606,10.606
85,17.036,11.3879,11.3879,11.3879,11.3879,11.3879,11.3048,11.3048,11.3048,11.3048,11.3048,11.2089,11.2089,11.2089,11.2089,11.2089,11.1054,11.1054,11.1054,11.1054,11.1054,11.0015,11.0015,11.0015,11.0015,11.0015
86,17.5821,11.797,11.797,11.797,11.797,11.797,11.714,11.714,11.714,11.714,11.714,11.618,11.618,11.618,11.618,11.618,11.5143,11.5143,11.5143,11.5143,11.5143,11.4102,11.4102,11.4102,11.4102,11.4102
87,18.1442,12.2192,12.2192,12.2192,12.2192,12.2192,12.1365,12.1365,12.1365,12.1365,12.1365,12.0408,12.0408,12.0408,12.0408,12.0408,11.9374,11.9374,11.9374,11.9374,11.9374,11.8333,11.8333,11.8333,11.8333,11.8333
88,18.7228,12.655,12.655,12.655,12.655,12.655,12.5726,12.5726,12.5726,12.5726,12.5726,12.4772,12.4772,12.4772,12.4772,12.4772,12.3741,12.3741,12.3741,12.3741,12.3741,12.2703,12.2703,12.2703,12.2703,12.2703
89,19.3184,13.104,13.104,13.104,13.104,13.104,13.0218,13.0218,13.0218,13.0218,13.0218,12.9267,12.9267,12.9267,12.9267,12.9267,12.8235,12.8235,12.8235,12.8235,12.8235,12.7195,12.7195,12.7195,12.7195,12.7195
90,19.9314,13.567,13.567,13.567,13.567,13.567,13.4845,13.4845,13.4845,13.4845,13.4845,13.3895,13.3895,13.3895,13.3895,13.3895,13.2864,13.2864,13.2864,13.2864,13.2864,13.1823,13.1823,13.1823,13.1823,13.1823
91,20.5623,14.0448,14.0448,14.0448,14.0448,14.0448,13.962,13.962,13.962,13.962,13.962,13.8666,13.8666,13.8666,13.8666,13.8666,13.7633,13.7633,13.7633,13.7633,13.7633,13.6593,13.6593,13.6593,13.6593,13.6593
92,21.2118,14.5373,14.5373,14.5373,14.5373,14.5373,14.4544,14.4544,14.4544,14.4544,14.4544,14.3589,14.3589,14.3589,14.3589,14.3589,14.2555,14.2555,14.2555,14.2555,14.2555,14.1514,14.1514,14.1514,14.1514,14.1514
