gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
67,9.48056,3.72197e-015,4.61933e-015,3.72197e-015,6.1971e-014,7.6912e-014,6.1971e-014,3.91027e-013,4.85302e-013,3.91027e-013,7.94009e-013,9.85442e-013,7.94009e-013,5.43185e-013,6.74145e-013,5.43185e-013
68,9.80527,1.36077e-015,1.68885e-015,1.36077e-015,2.22983e-014,2.76743e-014,2.22983e-014,1.38635e-013,1.7206e-013,1.38635e-013,2.7993e-013,3.4742e-013,2.7993e-013,1.91206e-013,2.37305e-013,1.91206e-013
69,10.1395,3.6959e-016,4.58697e-016,3.6959e-016,6.3653e-015,7.89995e-015,6.3653e-015,4.13197e-014,5.12817e-014,4.13197e-014,8.54064e-014,1.05998e-013,8.54064e-014,5.90172e-014,7.32461e-014,5.90172e-014
70,10.4835,1.07972e-016,1.34004e-016,1.07972e-016,1.94008e-015,2.40783e-015,1.94008e-015,1.23414e-014,1.53169e-014,1.23414e-014,2.46374e-014,3.05774e-014,2.46374e-014,1.65687e-014,2.05634e-014,1.65687e-014
71,10.8376,3.24988e-017,4.03342e-017,3.24988e-017,5.6941e-016,7.06693e-016,5.6941e-016,3.50955e-015,4.35569e-015,3.50955e-015,6.84631e-015,8.49694e-015,6.84631e-015,4.538e-015,5.6321e-015,4.538e-015
72,11.2021,6.88568e-018,8.5458e-018,6.88568e-018,1.17581e-016,1.4593e-016,1.17581e-016,7.38864e-016,9.17001e-016,7.38864e-016,1.48213e-015,1.83946e-015,1.48213e-015,1.00386e-015,1.24588e-015,1.00386e-015
73,11.5773,2.21659e-018,2.751e-018,2.21659e-018,3.9996e-017,4.96389e-017,3.9996e-017,2.5704e-016,3.19012e-016,2.5704e-016,5.1893e-016,6.44042e-016,5.1893e-016,3.51921e-016,4.36767e-016,3.51921e-016
74,11.9634,5.14226e-019,6.38204e-019,5.14226e-019,8.82891e-018,1.09575e-017,8.82891e-018,5.9013e-017,7.32409e-017,5.9013e-017,1.26033e-016,1.56419e-016,1.26033e-016,8.91032e-017,1.10586e-016,8.91032e-017
75,12.3609,1.18129e-019,1.46609e-019,1.18129e-019,1.85226e-018,2.29884e-018,1.85226e-018,1.08194e-017,1.3428e-017,1.08194e-017,2.07742e-017,2.57828e-017,2.07742e-017,1.37392e-017,1.70516e-017,1.37392e-017
76,12.77,3.03865e-020,3.77126e-020,3.03865e-020,5.15383e-019,6.39641e-019,5.15383e-019,3.36117e-018,4.17154e-018,3.36117e-018,7.02911e-018,8.7238e-018,7.02911e-018,4.9037e-018,6.08596e-018,4.9037e-018
77,13.1911,8.38188e-021,1.04027e-020,8.38188e-021,1.28564e-019,1.5956e-019,1.28564e-019,7.61145e-019,9.44655e-019,7.61145e-019,1.50422e-018,1.86689e-018,1.50422e-018,1.01922e-018,1.26496e-018,1.01922e-018
78,13.6246,1.62368e-021,2.01514e-021,1.62368e-021,2.63256e-020,3.26726e-020,2.63256e-020,1.75858e-019,2.18257e-019,1.75858e-019,3.81567e-019,4.73561e-019,3.81567e-019,2.7327e-019,3.39155e-019,2.7327e-019
79,14.0707,3.77502e-022,4.68516e-022,3.77502e-022,5.69142e-021,7.0636e-021,5.69142e-021,3.48206e-020,4.32157e-020,3.48206e-020,7.14753e-020,8.87078e-020,7.14753e-020,4.97111e-020,6.16963e-020,4.97111e-020
80,14.5299,7.80764e-023,9.69004e-023,7.80764e-023,1.07528e-021,1.33453e-021,1.07528e-021,6.44636e-021,8.00055e-021,6.44636e-021,1.34201e-020,1.66557e-020,1.34201e-020,9.48197e-021,1.1768e-020,9.48197e-021
81,15.0026,1.14554e-023,1.42173e-023,1.14554e-023,1.73641e-022,2.15505e-022,1.73641e-022,1.12119e-021,1.39151e-021,1.12119e-021,2.39269e-021,2.96956e-021,2.39269e-021,1.6993e-021,2.109e-021,1.6993e-021
82,15.4891,1.97928e-024,2.45648e-024,1.97928e-024,2.83524e-023,3.51881e-023,2.83524e-023,1.66608e-022,2.06777e-022,1.66608e-022,3.29612e-022,4.09081e-022,3.29612e-022,2.23413e-022,2.77277e-022,2.23413e-022
83,15.9899,3.35742e-025,4.16689e-025,3.35742e-025,4.83803e-024,6.00446e-024,4.83803e-024,2.9391e-023,3.64771e-023,2.9391e-023,6.01391e-023,7.46384e-023,6.01391e-023,4.17053e-023,5.17604e-023,4.17053e-023
84,16.5054,6.10578e-026,7.57787e-026,6.10578e-026,8.68836e-025,1.07831e-024,8.68836e-025,4.90187e-024,6.08369e-024,4.90187e-024,9.23233e-024,1.14582e-023,9.23233e-024,6.02837e-024,7.4818e-024,6.02837e-024
85,17.036,1.05998e-026,1.31553e-026,1.05998e-026,1.70617e-025,2.11752e-025,1.70617e-025,1.1021e-024,1.36781e-024,1.1021e-024,2.28182e-024,2.83196e-024,2.28182e-024,1.57784e-024,1.95825e-024,1.57784e-024
86,17.5821,1.80811e-027,2.24404e-027,1.80811e-027,2.73406e-026,3.39324e-026,2.73406e-026,1.63948e-025,2.03475e-025,1.63948e-025,3.20128e-025,3.9731e-025,3.20128e-025,2.13104e-025,2.64482e-025,2.13104e-025
87,18.1442,4.12593e-028,5.12067e-028,4.12593e-028,5.89439e-027,7.31551e-027,5.89439e-027,3.59141e-026,4.45729e-026,3.59141e-026,7.23824e-026,8.98336e-026,7.23824e-026,4.93772e-026,6.12819e-026,4.93772e-026
88,18.7228,7.98449e-029,9.90952e-029,7.98449e-029,1.12889e-027,1.40106e-027,1.12889e-027,6.40671e-027,7.95135e-027,6.40671e-027,1.19595e-026,1.48429e-026,1.19595e-026,7.71064e-027,9.56965e-027,7.71064e-027
89,19.3184,1.37306e-029,1.7041e-029,1.37306e-029,1.83116e-028,2.27265e-028,1.83116e-028,1.04243e-027,1.29376e-027,1.04243e-027,2.0044e-027,2.48765e-027,2.0044e-027,1.32857e-027,1.64888e-027,1.32857e-027
90,19.9314,2.30147e-030,2.85635e-030,2.30147e-030,3.20604e-029,3.97901e-029,3.20604e-029,1.74247e-028,2.16258e-028,1.74247e-028,3.17416e-028,3.93944e-028,3.17416e-028,2.02463e-028,2.51277e-028,2.02463e-028
91,20.5623,3.53441e-031,4.38655e-031,3.53441e-031,4.71001e-030,5.84557e-030,4.71001e-030,2.3875e-029,2.96311e-029,2.3875e-029,4.05506e-029,5.03273e-029,4.05506e-029,2.44912e-029,3.0396e-029,2.44912e-029
92,21.2118,5.32251e-032,6.60574e-032,5.32251e-032,6.65901e-031,8.26448e-031,6.65901e-031,3.26584e-030,4.05322e-030,3.26584e-030,5.49233e-030,6.81651e-030,5.49233e-030,3.31569e-030,4.1151e-030,3.31569e-030
93,21.8803,7.99769e-033,9.92591e-033,7.99769e-033,1.00232e-031,1.24398e-031,1.00232e-031,4.84584e-031,6.01416e-031,4.84584e-031,7.96698e-031,9.88779e-031,7.96698e-031,4.70871e-031,5.84396e-031,4.70871e-031
94,22.5684,7.99946e-034,9.92811e-034,7.99946e-034,9.42542e-033,1.16979e-032,9.42542e-033,4.79722e-032,5.95381e-032,4.79722e-032,8.6198e-032,1.0698e-031,8.6198e-032,5.50588e-032,6.83332e-032,5.50588e-032
95,23.2766,1.88269e-034,2.33661e-034,1.88269e-034,1.81344e-033,2.25065e-033,1.81344e-033,6.91948e-033,8.58774e-033,6.91948e-033,1.03554e-032,1.2852e-032,1.03554e-032,6.10671e-033,7.57902e-033,6.10671e-033
96,24.0056,2.47248e-035,3.06858e-035,2.47248e-035,2.31327e-034,2.87099e-034,2.31327e-034,8.04889e-034,9.98945e-034,8.04889e-034,1.07225e-033,1.33076e-033,1.07225e-033,5.7724e-034,7.16411e-034,5.7724e-034
97,24.756,2.95441e-036,3.6667e-036,2.95441e-036,3.17321e-035,3.93826e-035,3.17321e-035,1.4883e-034,1.84713e-034,1.4883e-034,2.71353e-034,3.36775e-034,2.71353e-034,1.81394e-034,2.25127e-034,1.81394e-034
98,25.5283,4.0669e-037,5.04741e-037,4.0669e-037,4.2715e-036,5.30135e-036,4.2715e-036,1.95715e-035,2.42901e-035,1.95715e-035,3.53229e-035,4.38392e-035,3.53229e-035,2.35677e-035,2.92497e-035,2.35677e-035
99,26.3233,5.17457e-038,6.42215e-038,5.17457e-038,5.21475e-037,6.47201e-037,5.21475e-037,2.2562e-036,2.80017e-036,2.2562e-036,3.88826e-036,4.8257e-036,3.88826e-036,2.52914e-036,3.13891e-036,2.52914e-036
100,27.1416,8.84318e-039,1.09752e-038,8.84318e-039,9.12538e-038,1.13255e-037,9.12538e-038,4.00159e-037,4.96636e-037,4.00159e-037,6.93754e-037,8.61016e-037,6.93754e-037,4.52207e-037,5.61233e-037,4.52207e-037
101,27.9838,1.26823e-039,1.57399e-039,1.26823e-039,1.42668e-038,1.77064e-038,1.42668e-038,7.30656e-038,9.06814e-038,7.30656e-038,1.43191e-037,1.77714e-037,1.43191e-037,9.96365e-038,1.23658e-037,9.96365e-038
102,28.8508,1.79447e-040,2.22711e-040,1.79447e-040,2.0308e-039,2.52042e-039,2.0308e-039,1.01927e-038,1.26501e-038,1.01927e-038,1.92454e-038,2.38854e-038,1.92454e-038,1.30136e-038,1.61512e-038,1.30136e-038
103,29.7431,2.59126e-041,3.216e-041,2.59126e-041,2.78518e-040,3.45667e-040,2.78518e-040,1.31388e-039,1.63065e-039,1.31388e-039,2.38732e-039,2.9629e-039,2.38732e-039,1.58634e-039,1.96881e-039,1.58634e-039
104,30.6616,4.87226e-042,6.04694e-042,4.87226e-042,5.07278e-041,6.29582e-041,5.07278e-041,1.98301e-040,2.46111e-040,1.98301e-040,2.82532e-040,3.5065e-040,2.82532e-040,1.54685e-040,1.9198e-040,1.54685e-040
105,31.607,3.65079e-043,4.53099e-043,3.65079e-043,4.48216e-042,5.5628e-042,4.48216e-042,2.10177e-041,2.60851e-041,2.10177e-041,3.28859e-041,4.08146e-041,3.28859e-041,1.84778e-041,2.29327e-041,1.84778e-041
106,32.5802,4.01e-044,4.97679e-044,4.01e-044,4.55413e-043,5.65211e-043,4.55413e-043,2.07331e-042,2.57318e-042,2.07331e-042,3.16448e-042,3.92743e-042,3.16448e-042,1.73337e-042,2.15128e-042,1.73337e-042
107,33.5818,4.33609e-045,5.3815e-045,4.33609e-045,5.20119e-044,6.45518e-044,5.20119e-044,2.37549e-043,2.94821e-043,2.37549e-043,3.546e-043,4.40093e-043,3.546e-043,1.88522e-043,2.33974e-043,1.88522e-043
108,34.6128,2.97897e-046,3.69719e-046,2.97897e-046,2.88552e-045,3.58121e-045,2.88552e-045,1.24371e-044,1.54356e-044,1.24371e-044,1.9576e-044,2.42957e-044,1.9576e-044,1.1379e-044,1.41224e-044,1.1379e-044
109,35.674,3.16621e-047,3.92957e-047,3.16621e-047,3.0168e-046,3.74415e-046,3.0168e-046,1.35653e-045,1.68359e-045,1.35653e-045,2.29758e-045,2.85152e-045,2.29758e-045,1.42726e-045,1.77137e-045,1.42726e-045
110,36.7663,1.69564e-048,2.10445e-048,1.69564e-048,1.62448e-047,2.01613e-047,1.62448e-047,8.93289e-047,1.10866e-046,8.93289e-047,1.87417e-046,2.32602e-046,1.87417e-046,1.3435e-046,1.66742e-046,1.3435e-046
111,37.8906,1.65449e-049,2.05339e-049,1.65449e-049,1.42143e-048,1.76414e-048,1.42143e-048,6.75369e-048,8.38198e-048,6.75369e-048,1.30234e-047,1.61633e-047,1.30234e-047,8.98731e-048,1.11541e-047,8.98731e-048
112,39.0479,1.16439e-050,1.44512e-050,1.16439e-050,1.16067e-049,1.4405e-049,1.16067e-049,6.23876e-049,7.7429e-049,6.23876e-049,1.27331e-048,1.5803e-048,1.27331e-048,8.98629e-049,1.11529e-048,8.98629e-049
113,40.239,9.11809e-052,1.13164e-051,9.11809e-052,9.53617e-051,1.18353e-050,9.53617e-051,5.42396e-050,6.73166e-050,5.42396e-050,1.14815e-049,1.42497e-049,1.14815e-049,8.24876e-050,1.02375e-049,8.24876e-050
