gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
65,8.85861,7.07833,7.07833,7.07833,7.07833,7.07833,7.04236,7.04236,7.04236,7.04236,7.04236,7.00003,7.00003,7.00003,7.00003,7.00003,6.95304,6.95304,6.95304,6.95304,6.95304,6.90413,6.90413,6.90413,6.90413,6.90413
66,9.16509,7.34712,7.34712,7.34712,7.34712,7.34712,7.31126,7.31126,7.31126,7.31126,7.31126,7.26893,7.26893,7.26893,7.26893,7.26893,7.22198,7.22198,7.22198,7.22198,7.22198,7.17346,7.17346,7.17346,7.17346,7.17346
67,9.48056,7.6243,7.6243,7.6243,7.6243,7.6243,7.58868,7.58868,7.58868,7.58868,7.58868,7.54654,7.54654,7.54654,7.54654,7.54654,7.49969,7.49969,7.49969,7.49969,7.49969,7.45136,7.45136,7.45136,7.45136,7.45136
68,9.80527,7.91015,7.91015,7.91015,7.91015,7.91015,7.87486,7.87486,7.87486,7.87486,7.87486,7.83305,7.83305,7.83305,7.83305,7.83305,7.78657,7.78657,7.78657,7.78657,7.78657,7.73871,7.73871,7.73871,7.73871,7.73871
69,10.1395,8.20502,8.20502,8.20502,8.20502,8.20502,8.17003,8.17003,8.17003,8.17003,8.17003,8.12851,8.12851,8.12851,8.12851,8.12851,8.08226,8.08226,8.08226,8.08226,8.08226,8.03458,8.03458,8.03458,8.03458,8.03458
70,10.4835,8.50917,8.50917,8.50917,8.50917,8.50917,8.47448,8.47448,8.47448,8.47448,8.47448,8.43327,8.43327,8.43327,8.43327,8.43327,8.38721,8.38721,8.38721,8.38721,8.38721,8.33949,8.33949,8.33949,8.33949,8.33949
71,10.8376,8.82282,8.82282,8.82282,8.82282,8.82282,8.78845,8.78845,8.78845,8.78845,8.78845,8.74759,8.74759,8.74759,8.74759,8.74759,8.70186,8.70186,8.70186,8.70186,8.70186,8.65436,8.65436,8.65436,8.65436,8.65436
72,11.2021,9.14624,9.14624,9.14624,9.14624,9.14624,9.11219,9.11219,9.11219,9.11219,9.11219,9.07172,9.07172,9.07172,9.07172,9.07172,9.02642,9.02642,9.02642,9.02642,9.02642,8.97937,8.97937,8.97937,8.97937,8.97937
73,11.5773,9.47957,9.47957,9.47957,9.47957,9.47957,9.44578,9.44578,9.44578,9.44578,9.44578,9.40567,9.40567,9.40567,9.40567,9.40567,9.36084,9.36084,9.36084,9.36084,9.36084,9.31433,9.31433,9.31433,9.31433,9.31433
74,11.9634,9.82311,9.82311,9.82311,9.82311,9.82311,9.78934,9.78934,9.78934,9.78934,9.78934,9.74939,9.74939,9.74939,9.74939,9.74939,9.70493,9.70493,9.70493,9.70493,9.70493,9.65897,9.65897,9.65897,9.65897,9.65897
75,12.3609,10.1773,10.1773,10.1773,10.1773,10.1773,10.1436,10.1436,10.1436,10.1436,10.1436,10.1036,10.1036,10.1036,10.1036,10.1036,10.0594,10.0594,10.0594,10.0594,10.0594,10.0139,10.0139,10.0139,10.0139,10.0139
76,12.77,10.5421,10.5421,10.5421,10.5421,10.5421,10.5087,10.5087,10.5087,10.5087,10.5087,10.4689,10.4689,10.4689,10.4689,10.4689,10.4248,10.4248,10.4248,10.4248,10.4248,10.3796,10.3796,10.3796,10.3796,10.3796
77,13.1911,10.9179,10.9179,10.9179,10.9179,10.9179,10.8848,10.8848,10.8848,10.8848,10.8848,10.8454,10.8454,10.8454,10.8454,10.8454,10.8015,10.8015,10.8015,10.8015,10.8015,10.7563,10.7563,10.7563,10.7563,10.7563
78,13.6246,11.305,11.305,11.305,11.305,11.305,11.2722,11.2722,11.2722,11.2722,11.2722,11.2333,11.2333,11.2333,11.2333,11.2333,11.1899,11.1899,11.1899,11.1899,11.1899,11.1451,11.1451,11.1451,11.1451,11.1451
79,14.0707,11.7039,11.7039,11.7039,11.7039,11.7039,11.6713,11.6713,11.6713,11.6713,11.6713,11.6327,11.6327,11.6327,11.6327,11.6327,11.5898,11.5898,11.5898,11.5898,11.5898,11.5454,11.5454,11.5454,11.5454,11.5454
80,14.5299,12.1151,12.1151,12.1151,12.1151,12.1151,12.0825,12.0825,12.0825,12.0825,12.0825,12.0442,12.0442,12.0442,12.0442,12.0442,12.0016,12.0016,12.0016,12.0016,12.0016,11.9576,11.9576,11.9576,11.9576,11.9576
81,15.0026,12.5388,12.5388,12.5388,12.5388,12.5388,12.5065,12.5065,12.5065,12.5065,12.5065,12.4684,12.4684,12.4684,12.4684,12.4684,12.426,12.426,12.426,12.426,12.426,12.3823,12.3823,12.3823,12.3823,12.3823
