gridnumber,capital,Port[0 0],Port[0 1],Port[0 2],Port[0 3],Port[0 4],Port[1 0],Port[1 1],Port[1 2],Port[1 3],Port[1 4],Port[2 0],Port[2 1],Port[2 2],Port[2 3],Port[2 4],Port[3 0],Port[3 1],Port[3 2],Port[3 3],Port[3 4],Port[4 0],Port[4 1],Port[4 2],Port[4 3],Port[4 4]
138,84.5349,0.12,0.26,0.4,0.56,0.68,0.14,0.26,0.42,0.58,0.68,0.1,0.24,0.42,0.58,0.68,0.1,0.26,0.42,0.56,0.68,0.1,0.26,0.42,0.54,0.7
139,87.0591,0.12,0.26,0.4,0.56,0.68,0.12,0.26,0.42,0.58,0.68,0.1,0.24,0.42,0.58,0.68,0.1,0.26,0.42,0.56,0.68,0.1,0.26,0.42,0.54,0.7
140,89.6572,0.1,0.26,0.4,0.56,0.68,0.12,0.26,0.42,0.56,0.68,0.1,0.24,0.42,0.58,0.68,0.1,0.26,0.4,0.56,0.68,0.1,0.26,0.4,0.54,0.7
141,92.3314,0.1,0.26,0.4,0.56,0.66,0.1,0.26,0.4,0.56,0.66,0.1,0.24,0.42,0.58,0.66,0.1,0.24,0.4,0.56,0.68,0.1,0.26,0.38,0.54,0.68
142,95.084,0.1,0.26,0.4,0.54,0.66,0.1,0.26,0.4,0.54,0.66,0.1,0.24,0.4,0.56,0.66,0.08,0.24,0.4,0.56,0.68,0.1,0.26,0.4,0.54,0.68
143,97.9173,0.1,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.52,0.66,0.1,0.24,0.4,0.54,0.66,0.08,0.24,0.4,0.56,0.68,0.1,0.26,0.4,0.54,0.68
144,100.834,0.1,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.52,0.66,0.1,0.24,0.4,0.52,0.66,0.08,0.24,0.4,0.54,0.66,0.08,0.26,0.4,0.54,0.68
145,103.835,0.1,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.52,0.66,0.1,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.52,0.66,0.08,0.24,0.4,0.52,0.66
146,106.925,0.1,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.52,0.66,0.1,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.52,0.66,0.08,0.24,0.4,0.52,0.64
147,110.105,0.12,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.52,0.66,0.1,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.52,0.66,0.08,0.24,0.4,0.52,0.64
148,113.379,0.12,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.52,0.66,0.1,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.52,0.64
149,116.748,0.12,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.52,0.64
150,120.216,0.12,0.26,0.38,0.52,0.66,0.1,0.26,0.4,0.52,0.66,0.1,0.26,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.52,0.64
151,123.786,0.12,0.26,0.38,0.52,0.66,0.1,0.26,0.4,0.5,0.66,0.1,0.26,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.52,0.64
152,127.461,0.12,0.26,0.38,0.52,0.64,0.1,0.26,0.4,0.5,0.66,0.1,0.26,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.64
153,131.243,0.12,0.26,0.38,0.52,0.64,0.1,0.26,0.38,0.5,0.66,0.1,0.26,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.64
154,135.136,0.12,0.26,0.38,0.52,0.64,0.1,0.26,0.38,0.5,0.66,0.1,0.26,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.64
155,139.143,0.12,0.26,0.38,0.52,0.64,0.1,0.26,0.38,0.5,0.64,0.1,0.26,0.4,0.5,0.66,0.1,0.24,0.4,0.5,0.66,0.08,0.24,0.4,0.5,0.64
