gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
146,6.99968,-12.4611,-12.319,-12.1795,-12.0416,-11.9054,-11.7715,-11.6395
147,7.0993,-12.2995,-12.1584,-12.0197,-11.8828,-11.7475,-11.6145,-11.4835
148,7.20009,-12.1394,-11.9992,-11.8615,-11.7255,-11.5912,-11.4591,-11.329
149,7.30204,-11.9808,-11.8415,-11.7048,-11.5697,-11.4364,-11.3052,-11.1761
150,7.40517,-11.8237,-11.6853,-11.5496,-11.4155,-11.2831,-11.1529,-11.0247
151,7.5095,-11.668,-11.5306,-11.3958,-11.2627,-11.1313,-11.002,-10.8748
152,7.61503,-11.5138,-11.3774,-11.2436,-11.1114,-10.981,-10.8526,-10.7264
153,7.72179,-11.3611,-11.2256,-11.0928,-10.9616,-10.8322,-10.7048,-10.5795
154,7.82979,-11.2098,-11.0754,-10.9435,-10.8133,-10.6849,-10.5584,-10.4341
155,7.93903,-11.06,-10.9266,-10.7956,-10.6665,-10.539,-10.4135,-10.2902
156,8.04955,-10.9117,-10.7792,-10.6493,-10.5211,-10.3946,-10.2701,-10.1478
157,8.16134,-10.7648,-10.6333,-10.5044,-10.3772,-10.2517,-10.1281,-10.0068
158,8.27443,-10.6194,-10.4889,-10.3609,-10.2347,-10.1103,-9.98763,-9.86732
159,8.38882,-10.4754,-10.3459,-10.2189,-10.0937,-9.97027,-9.8486,-9.72929
160,8.50455,-10.3328,-10.2043,-10.0783,-9.95417,-9.83172,-9.71102,-9.59271
161,8.62161,-10.1916,-10.0642,-9.93919,-9.81604,-9.69461,-9.57489,-9.45758
162,8.74003,-10.0519,-9.92551,-9.80149,-9.67935,-9.55894,-9.44019,-9.32389
163,8.85982,-9.91359,-9.78823,-9.6652,-9.54409,-9.42469,-9.30693,-9.19163
164,8.981,-9.77669,-9.65236,-9.53034,-9.41024,-9.29186,-9.17512,-9.06079
165,9.10358,-9.6412,-9.5179,-9.39688,-9.27781,-9.16045,-9.04473,-8.93138
166,9.22759,-9.5071,-9.38484,-9.26483,-9.14678,-9.03045,-8.91575,-8.80338
167,9.35303,-9.3744,-9.25318,-9.13417,-9.01715,-8.90184,-8.78817,-8.67678
168,9.47992,-9.24308,-9.1229,-9.00491,-8.88892,-8.77463,-8.66199,-8.55157
169,9.60828,-9.11314,-8.994,-8.87702,-8.76206,-8.64881,-8.53719,-8.42776
170,9.73813,-8.98458,-8.86648,-8.75052,-8.63659,-8.52437,-8.41377,-8.30532
171,9.86949,-8.85738,-8.74033,-8.62539,-8.51249,-8.40129,-8.29173,-8.18426
172,10.0024,-8.73154,-8.61554,-8.50161,-8.38975,-8.27958,-8.17104,-8.06456
173,10.1368,-8.60706,-8.49211,-8.3792,-8.26837,-8.15923,-8.05172,-7.94621
174,10.2728,-8.48393,-8.37002,-8.25813,-8.14833,-8.04023,-7.93374,-7.82922
175,10.4103,-8.36214,-8.24928,-8.13841,-8.02964,-7.92256,-7.8171,-7.71356
176,10.5494,-8.24168,-8.12987,-8.02002,-7.91228,-7.80623,-7.70179,-7.59924
177,10.6902,-8.12254,-8.01178,-7.90296,-7.79625,-7.69123,-7.58781,-7.48624
178,10.8326,-8.00473,-7.89502,-7.78721,-7.68154,-7.57754,-7.47515,-7.37456
179,10.9766,-7.88823,-7.77957,-7.67278,-7.56814,-7.46516,-7.36379,-7.26418
180,11.1223,-7.77304,-7.66542,-7.55965,-7.45604,-7.35409,-7.25373,-7.15511
181,11.2697,-7.65914,-7.55257,-7.44782,-7.34523,-7.24431,-7.14497,-7.04732
182,11.4188,-7.54654,-7.44101,-7.33728,-7.23572,-7.13581,-7.03749,-6.94082
183,11.5696,-7.43521,-7.33073,-7.22801,-7.12748,-7.02859,-6.93128,-6.83559
184,11.7222,-7.32517,-7.22172,-7.12003,-7.02051,-6.92264,-6.82634,-6.73162
185,11.8766,-7.21639,-7.11398,-7.0133,-6.91481,-6.81795,-6.72266,-6.62893
186,12.0327,-7.10887,-7.0075,-6.90784,-6.81036,-6.71451,-6.62022,-6.5275
187,12.1906,-7.0026,-6.90227,-6.80364,-6.70715,-6.61231,-6.51903,-6.4273
188,12.3504,-6.89758,-6.79829,-6.70068,-6.60519,-6.51136,-6.41907,-6.32834
189,12.512,-6.7938,-6.69553,-6.59895,-6.50445,-6.41163,-6.32034,-6.23059
190,12.6755,-6.69125,-6.59401,-6.49845,-6.40494,-6.31311,-6.22282,-6.13406
191,12.8409,-6.58991,-6.4937,-6.39916,-6.30664,-6.21581,-6.12651,-6.03873
192,13.0082,-6.4898,-6.39461,-6.30109,-6.20955,-6.11971,-6.03139,-5.94459
193,13.1774,-6.39089,-6.29672,-6.20421,-6.11365,-6.02481,-5.93747,-5.85164
194,13.3486,-6.29317,-6.20002,-6.10852,-6.01895,-5.93108,-5.84473,-5.75987
