gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
151,123.786,-1.79872,-1.79644,-1.79331,-1.7931,-1.79086,-1.78777,-1.78614,-1.78397,-1.78091,-1.77782,-1.77572,-1.77267,-1.76818,-1.76611,-1.76309
152,127.461,-1.77607,-1.77381,-1.77071,-1.77066,-1.76844,-1.76539,-1.76397,-1.76181,-1.75879,-1.75594,-1.75387,-1.75086,-1.74666,-1.74461,-1.74162
153,131.243,-1.75365,-1.75142,-1.74835,-1.74845,-1.74624,-1.74322,-1.742,-1.73986,-1.73688,-1.73428,-1.73222,-1.72925,-1.72533,-1.7233,-1.72036
154,135.136,-1.73145,-1.72925,-1.72621,-1.72645,-1.72427,-1.72128,-1.72025,-1.71812,-1.71517,-1.71281,-1.71077,-1.70784,-1.70419,-1.70218,-1.69928
155,139.143,-1.70948,-1.70731,-1.7043,-1.70467,-1.70251,-1.69955,-1.69871,-1.6966,-1.69368,-1.69154,-1.68952,-1.68662,-1.68325,-1.68126,-1.67839
156,143.267,-1.68774,-1.68559,-1.68261,-1.6831,-1.68098,-1.67805,-1.67737,-1.67529,-1.6724,-1.67047,-1.66847,-1.6656,-1.66249,-1.66052,-1.65768
157,147.512,-1.66622,-1.66409,-1.66115,-1.66176,-1.65966,-1.65677,-1.65625,-1.65418,-1.65133,-1.64961,-1.64762,-1.64479,-1.64192,-1.63997,-1.63717
158,151.882,-1.64492,-1.64282,-1.63991,-1.64064,-1.63856,-1.6357,-1.63533,-1.63329,-1.63047,-1.62894,-1.62698,-1.62418,-1.62155,-1.61961,-1.61684
159,156.38,-1.62385,-1.62177,-1.6189,-1.61973,-1.61767,-1.61484,-1.61462,-1.6126,-1.60982,-1.60847,-1.60653,-1.60377,-1.60135,-1.59945,-1.5967
160,161.009,-1.603,-1.60095,-1.5981,-1.59903,-1.597,-1.5942,-1.59413,-1.59212,-1.58937,-1.58821,-1.58628,-1.58355,-1.58135,-1.57947,-1.57676
