gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
69,10.1395,3.3951e-006,4.21365e-006,3.3951e-006,1.51381e-005,1.87878e-005,1.51381e-005,3.01679e-005,3.74413e-005,3.01679e-005,2.5266e-005,3.13575e-005,2.5266e-005,9.44211e-006,1.17186e-005,9.44211e-006
70,10.4835,2.93053e-006,3.63708e-006,2.93053e-006,1.27267e-005,1.57951e-005,1.27267e-005,2.50048e-005,3.10334e-005,2.50048e-005,2.09163e-005,2.59592e-005,2.09163e-005,7.82518e-006,9.71181e-006,7.82518e-006
71,10.8376,2.495e-006,3.09653e-006,2.495e-006,1.09866e-005,1.36355e-005,1.09866e-005,2.20289e-005,2.734e-005,2.20289e-005,1.86387e-005,2.31325e-005,1.86387e-005,6.91508e-006,8.58228e-006,6.91508e-006
72,11.2021,2.0617e-006,2.55877e-006,2.0617e-006,8.88045e-006,1.10215e-005,8.88045e-006,1.77891e-005,2.2078e-005,1.77891e-005,1.52079e-005,1.88745e-005,1.52079e-005,5.67991e-006,7.04932e-006,5.67991e-006
73,11.5773,1.83815e-006,2.28132e-006,1.83815e-006,8.00627e-006,9.93656e-006,8.00627e-006,1.5628e-005,1.93958e-005,1.5628e-005,1.26851e-005,1.57435e-005,1.26851e-005,4.51887e-006,5.60835e-006,4.51887e-006
74,11.9634,1.54415e-006,1.91644e-006,1.54415e-006,6.68191e-006,8.2929e-006,6.68191e-006,1.30403e-005,1.61842e-005,1.30403e-005,1.06073e-005,1.31647e-005,1.06073e-005,3.75193e-006,4.65651e-006,3.75193e-006
75,12.3609,1.25281e-006,1.55486e-006,1.25281e-006,5.56924e-006,6.91197e-006,5.56924e-006,1.11422e-005,1.38285e-005,1.11422e-005,9.28607e-006,1.15249e-005,9.28607e-006,3.37768e-006,4.19203e-006,3.37768e-006
76,12.77,1.09458e-006,1.35847e-006,1.09458e-006,4.73515e-006,5.87678e-006,4.73515e-006,9.30428e-006,1.15475e-005,9.30428e-006,7.70397e-006,9.56137e-006,7.70397e-006,2.81241e-006,3.49047e-006,2.81241e-006
77,13.1911,9.31107e-007,1.15559e-006,9.31107e-007,4.05497e-006,5.03261e-006,4.05497e-006,8.02774e-006,9.96321e-006,8.02774e-006,6.66632e-006,8.27355e-006,6.66632e-006,2.4293e-006,3.015e-006,2.4293e-006
78,13.6246,7.76654e-007,9.63902e-007,7.76654e-007,3.36894e-006,4.18118e-006,3.36894e-006,6.57736e-006,8.16314e-006,6.57736e-006,5.32171e-006,6.60476e-006,5.32171e-006,1.8664e-006,2.31639e-006,1.8664e-006
79,14.0707,6.57547e-007,8.16079e-007,6.57547e-007,2.84173e-006,3.52686e-006,2.84173e-006,5.52285e-006,6.85439e-006,5.52285e-006,4.5125e-006,5.60045e-006,4.5125e-006,1.62706e-006,2.01934e-006,1.62706e-006
80,14.5299,5.40749e-007,6.71122e-007,5.40749e-007,2.3666e-006,2.93718e-006,2.3666e-006,4.65395e-006,5.776e-006,4.65395e-006,3.80463e-006,4.72191e-006,3.80463e-006,1.35602e-006,1.68295e-006,1.35602e-006
81,15.0026,4.68241e-007,5.81132e-007,4.68241e-007,2.04155e-006,2.53377e-006,2.04155e-006,3.95291e-006,4.90595e-006,3.95291e-006,3.17991e-006,3.94658e-006,3.17991e-006,1.12752e-006,1.39936e-006,1.12752e-006
82,15.4891,3.91959e-007,4.86459e-007,3.91959e-007,1.67315e-006,2.07654e-006,1.67315e-006,3.19427e-006,3.9644e-006,3.19427e-006,2.56129e-006,3.17881e-006,2.56129e-006,9.06443e-007,1.12498e-006,9.06443e-007
83,15.9899,3.15581e-007,3.91666e-007,3.15581e-007,1.3623e-006,1.69074e-006,1.3623e-006,2.61648e-006,3.2473e-006,2.61648e-006,2.07661e-006,2.57727e-006,2.07661e-006,7.24559e-007,8.99248e-007,7.24559e-007
84,16.5054,2.6276e-007,3.26111e-007,2.6276e-007,1.14004e-006,1.4149e-006,1.14004e-006,2.19348e-006,2.72232e-006,2.19348e-006,1.73708e-006,2.15589e-006,1.73708e-006,6.02614e-007,7.47902e-007,6.02614e-007
85,17.036,2.20828e-007,2.74069e-007,2.20828e-007,9.32167e-007,1.15691e-006,9.32167e-007,1.75735e-006,2.18105e-006,1.75735e-006,1.38316e-006,1.71664e-006,1.38316e-006,4.78431e-007,5.93779e-007,4.78431e-007
86,17.5821,1.80371e-007,2.23858e-007,1.80371e-007,7.66892e-007,9.51787e-007,7.66892e-007,1.47041e-006,1.82492e-006,1.47041e-006,1.17022e-006,1.45235e-006,1.17022e-006,4.04187e-007,5.01635e-007,4.04187e-007
87,18.1442,1.4785e-007,1.83496e-007,1.4785e-007,6.26822e-007,7.77947e-007,6.26822e-007,1.19707e-006,1.48568e-006,1.19707e-006,9.52077e-007,1.18162e-006,9.52077e-007,3.31518e-007,4.11446e-007,3.31518e-007
88,18.7228,1.23002e-007,1.52657e-007,1.23002e-007,5.19863e-007,6.452e-007,5.19863e-007,9.87515e-007,1.2256e-006,9.87515e-007,7.81015e-007,9.69315e-007,7.81015e-007,2.70725e-007,3.35996e-007,2.70725e-007
89,19.3184,1.03487e-007,1.28438e-007,1.03487e-007,4.31874e-007,5.35998e-007,4.31874e-007,8.0402e-007,9.97867e-007,8.0402e-007,6.20468e-007,7.7006e-007,6.20468e-007,2.11024e-007,2.61901e-007,2.11024e-007
90,19.9314,8.12891e-008,1.00888e-007,8.12891e-008,3.43805e-007,4.26696e-007,3.43805e-007,6.56771e-007,8.15117e-007,6.56771e-007,5.22816e-007,6.48865e-007,5.22816e-007,1.81844e-007,2.25686e-007,1.81844e-007
91,20.5623,6.83472e-008,8.48255e-008,6.83472e-008,2.87278e-007,3.5654e-007,2.87278e-007,5.34861e-007,6.63814e-007,5.34861e-007,4.14037e-007,5.1386e-007,4.14037e-007,1.43735e-007,1.7839e-007,1.43735e-007
92,21.2118,5.49757e-008,6.82301e-008,5.49757e-008,2.27035e-007,2.81773e-007,2.27035e-007,4.22223e-007,5.24019e-007,4.22223e-007,3.28794e-007,4.08065e-007,3.28794e-007,1.13539e-007,1.40913e-007,1.13539e-007
93,21.8803,4.55147e-008,5.64882e-008,4.55147e-008,1.8837e-007,2.33786e-007,1.8837e-007,3.48571e-007,4.3261e-007,3.48571e-007,2.67173e-007,3.31587e-007,2.67173e-007,9.01984e-008,1.11945e-007,9.01984e-008
94,22.5684,3.77003e-008,4.67897e-008,3.77003e-008,1.52107e-007,1.8878e-007,1.52107e-007,2.79229e-007,3.4655e-007,2.79229e-007,2.1556e-007,2.6753e-007,2.1556e-007,7.36361e-008,9.13895e-008,7.36361e-008
95,23.2766,3.10997e-008,3.85978e-008,3.10997e-008,1.26111e-007,1.56516e-007,1.26111e-007,2.30871e-007,2.86533e-007,2.30871e-007,1.76377e-007,2.189e-007,1.76377e-007,5.96869e-008,7.40772e-008,5.96869e-008
96,24.0056,2.51401e-008,3.12013e-008,2.51401e-008,1.00654e-007,1.24921e-007,1.00654e-007,1.82268e-007,2.26212e-007,1.82268e-007,1.38404e-007,1.71773e-007,1.38404e-007,4.66275e-008,5.78692e-008,4.66275e-008
97,24.756,1.9467e-008,2.41604e-008,1.9467e-008,8.00459e-008,9.93447e-008,8.00459e-008,1.4655e-007,1.81883e-007,1.4655e-007,1.1214e-007,1.39177e-007,1.1214e-007,3.84015e-008,4.76599e-008,3.84015e-008
98,25.5283,1.61278e-008,2.00162e-008,1.61278e-008,6.56096e-008,8.14278e-008,6.56096e-008,1.18745e-007,1.47373e-007,1.18745e-007,8.94312e-008,1.10993e-007,8.94312e-008,3.0027e-008,3.72664e-008,3.0027e-008
99,26.3233,1.30346e-008,1.61772e-008,1.30346e-008,5.29737e-008,6.57455e-008,5.29737e-008,9.64109e-008,1.19655e-007,9.64109e-008,7.3208e-008,9.08582e-008,7.3208e-008,2.43285e-008,3.01941e-008,2.43285e-008
100,27.1416,1.03643e-008,1.28631e-008,1.03643e-008,4.19532e-008,5.2068e-008,4.19532e-008,7.65098e-008,9.49561e-008,7.65098e-008,5.86194e-008,7.27523e-008,5.86194e-008,1.98661e-008,2.46557e-008,1.98661e-008
101,27.9838,8.6038e-009,1.06781e-008,8.6038e-009,3.49318e-008,4.33538e-008,3.49318e-008,6.42646e-008,7.97586e-008,6.42646e-008,4.91854e-008,6.10438e-008,4.91854e-008,1.60218e-008,1.98846e-008,1.60218e-008
102,28.8508,6.67812e-009,8.28819e-009,6.67812e-009,2.71536e-008,3.37002e-008,2.71536e-008,4.94114e-008,6.13244e-008,4.94114e-008,3.72511e-008,4.62323e-008,3.72511e-008,1.21672e-008,1.51007e-008,1.21672e-008
103,29.7431,5.37851e-009,6.67525e-009,5.37851e-009,2.13124e-008,2.64508e-008,2.13124e-008,3.77938e-008,4.69058e-008,3.77938e-008,2.81148e-008,3.48932e-008,2.81148e-008,9.28971e-009,1.15294e-008,9.28971e-009
104,30.6616,4.24685e-009,5.27075e-009,4.24685e-009,1.71799e-008,2.13219e-008,1.71799e-008,3.0834e-008,3.8268e-008,3.0834e-008,2.30063e-008,2.85531e-008,2.30063e-008,7.62646e-009,9.46517e-009,7.62646e-009
105,31.607,3.34914e-009,4.1566e-009,3.34914e-009,1.35578e-008,1.68266e-008,1.35578e-008,2.42243e-008,3.00646e-008,2.42243e-008,1.78959e-008,2.22106e-008,1.78959e-008,5.88586e-009,7.30492e-009,5.88586e-009
106,32.5802,2.77581e-009,3.44505e-009,2.77581e-009,1.12262e-008,1.39328e-008,1.12262e-008,1.99329e-008,2.47386e-008,1.99329e-008,1.45376e-008,1.80426e-008,1.45376e-008,4.65207e-009,5.77367e-009,4.65207e-009
107,33.5818,2.11553e-009,2.62558e-009,2.11553e-009,8.50001e-009,1.05493e-008,8.50001e-009,1.52748e-008,1.89575e-008,1.52748e-008,1.14164e-008,1.41689e-008,1.14164e-008,3.75475e-009,4.66001e-009,3.75475e-009
108,34.6128,1.71526e-009,2.12881e-009,1.71526e-009,6.90438e-009,8.56901e-009,6.90438e-009,1.2302e-008,1.5268e-008,1.2302e-008,9.08485e-009,1.12752e-008,9.08485e-009,2.96897e-009,3.68478e-009,2.96897e-009
