gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
46,4.44143,-10.9916,-10.9914,-10.9875,-10.9799,-10.9688,-10.7311,-10.731,-10.7281,-10.7214,-10.7112,-10.4482,-10.4482,-10.4462,-10.4406,-10.4318,-10.154,-10.154,-10.1527,-10.1481,-10.1403,-9.85886,-9.85886,-9.85833,-9.85455,-9.84767
47,4.61847,-10.9042,-10.9038,-10.8997,-10.892,-10.8807,-10.651,-10.6509,-10.6478,-10.641,-10.6307,-10.376,-10.376,-10.3737,-10.3677,-10.3586,-10.0891,-10.0891,-10.0877,-10.0828,-10.0747,-9.80086,-9.80086,-9.80019,-9.79633,-9.78925
48,4.8007,-10.8176,-10.817,-10.8126,-10.8048,-10.7933,-10.5713,-10.5711,-10.5678,-10.5609,-10.5505,-10.3039,-10.3039,-10.3013,-10.2952,-10.2857,-10.024,-10.024,-10.0225,-10.0174,-10.0091,-9.7429,-9.7429,-9.74198,-9.73801,-9.73068
49,4.98827,-10.7316,-10.7308,-10.7264,-10.7181,-10.7065,-10.4923,-10.4919,-10.4883,-10.4812,-10.4706,-10.2319,-10.2317,-10.2291,-10.2229,-10.2131,-9.95937,-9.95937,-9.95743,-9.95205,-9.94353,-9.68495,-9.68495,-9.6838,-9.67949,-9.6718
50,5.18134,-10.646,-10.645,-10.6405,-10.6318,-10.62,-10.4136,-10.4131,-10.4093,-10.4017,-10.3909,-10.16,-10.1597,-10.1569,-10.1505,-10.1405,-9.89461,-9.89461,-9.8924,-9.88687,-9.87787,-9.62664,-9.62664,-9.62543,-9.62068,-9.61288
51,5.38006,-10.5609,-10.5599,-10.5551,-10.5463,-10.5341,-10.3351,-10.3345,-10.3306,-10.3228,-10.3117,-10.0884,-10.0882,-10.085,-10.0783,-10.0683,-9.8297,-9.82966,-9.8274,-9.82157,-9.81238,-9.568,-9.568,-9.56668,-9.56176,-9.55376
52,5.58461,-10.4763,-10.4752,-10.4702,-10.4614,-10.4489,-10.2569,-10.2563,-10.2522,-10.2443,-10.2328,-10.0169,-10.0167,-10.0132,-10.0062,-9.9961,-9.76472,-9.76457,-9.76225,-9.75612,-9.74691,-9.50957,-9.50955,-9.50774,-9.50265,-9.49435
53,5.79515,-10.3921,-10.3909,-10.3858,-10.3769,-10.3642,-10.1789,-10.1783,-10.174,-10.166,-10.1544,-9.94553,-9.94521,-9.94168,-9.9345,-9.92396,-9.69981,-9.69973,-9.6969,-9.69075,-9.68132,-9.45093,-9.45089,-9.44889,-9.4435,-9.43487
54,6.01186,-10.3084,-10.3071,-10.3018,-10.2929,-10.28,-10.1013,-10.1005,-10.0961,-10.088,-10.0762,-9.87418,-9.87378,-9.8702,-9.86282,-9.85201,-9.63488,-9.63484,-9.63174,-9.62532,-9.61559,-9.39194,-9.39193,-9.38978,-9.38418,-9.37538
55,6.23493,-10.2253,-10.2236,-10.2183,-10.2093,-10.1963,-10.0241,-10.0232,-10.0186,-10.0103,-9.99846,-9.80291,-9.80243,-9.79878,-9.79123,-9.78035,-9.56995,-9.56978,-9.56666,-9.55999,-9.54991,-9.33272,-9.3327,-9.33048,-9.32474,-9.31581
