gridnumber,capital,VF[0 0],VF[1 0],VF[2 0],VF[3 0],VF[4 0]
179,279.901,-4.94897,-4.94481,-4.93963,-4.93336,-4.92597
180,288.15,-4.88311,-4.87912,-4.87414,-4.86811,-4.86102
181,296.641,-4.818,-4.81416,-4.80938,-4.80359,-4.79678
182,305.381,-4.75363,-4.74995,-4.74535,-4.73979,-4.73325
183,314.377,-4.69,-4.68646,-4.68205,-4.67671,-4.67043
184,323.636,-4.6271,-4.6237,-4.61947,-4.61434,-4.60831
185,333.167,-4.56493,-4.56167,-4.55761,-4.55268,-4.54689
186,342.977,-4.50349,-4.50036,-4.49646,-4.49173,-4.48616
187,353.075,-4.44277,-4.43977,-4.43602,-4.43148,-4.42614
188,363.469,-4.38277,-4.37989,-4.37629,-4.37193,-4.3668
189,374.167,-4.32349,-4.32072,-4.31726,-4.31308,-4.30816
190,385.179,-4.26491,-4.26225,-4.25894,-4.25492,-4.25019
191,396.513,-4.20703,-4.20448,-4.2013,-4.19745,-4.19291
192,408.179,-4.14986,-4.14741,-4.14436,-4.14066,-4.1363
193,420.188,-4.09338,-4.09103,-4.0881,-4.08455,-4.08037
194,432.548,-4.03758,-4.03533,-4.03252,-4.02911,-4.0251
195,445.271,-3.98248,-3.98031,-3.97761,-3.97435,-3.9705
196,458.366,-3.92805,-3.92597,-3.92338,-3.92024,-3.91655
197,471.845,-3.8743,-3.87231,-3.86982,-3.8668,-3.86326
198,485.719,-3.8239,-3.82208,-3.81981,-3.81709,-3.81391
199,500,-3.77763,-3.77585,-3.77364,-3.77097,-3.76785
