gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
31,0.686635,0.551515,0.551515,0.551515,0.551515,0.551336,0.551158,0.551158,0.551515,0.551515,0.551515,0.551515,0.551396,0.551277,0.551277,0.551515,0.551515,0.551515,0.551515,0.551455,0.551396,0.551396,0.551515,0.551515,0.551515,0.551515,0.551515,0.551515,0.551515,0.551515,0.551515,0.551515,0.551515,0.551574,0.551634,0.551634,0.551515,0.551515,0.551515,0.551515,0.551634,0.551753,0.551753,0.551515,0.551515,0.551515,0.551515,0.551693,0.551871,0.551871
32,0.713126,0.575243,0.575243,0.575243,0.575243,0.575056,0.57487,0.57487,0.575243,0.575243,0.575243,0.575243,0.575119,0.574994,0.574994,0.575243,0.575243,0.575243,0.575243,0.575181,0.575119,0.575119,0.575243,0.575243,0.575243,0.575243,0.575243,0.575243,0.575243,0.575243,0.575243,0.575243,0.575243,0.575305,0.575367,0.575367,0.575243,0.575243,0.575243,0.575243,0.575367,0.575491,0.575491,0.575243,0.575243,0.575243,0.575243,0.575429,0.575616,0.575616
33,0.739924,0.599373,0.599373,0.599373,0.599373,0.599179,0.598985,0.598985,0.599373,0.599373,0.599373,0.599373,0.599244,0.599114,0.599114,0.599373,0.599373,0.599373,0.599373,0.599309,0.599244,0.599244,0.599373,0.599373,0.599373,0.599373,0.599373,0.599373,0.599373,0.599373,0.599373,0.599373,0.599373,0.599438,0.599503,0.599503,0.599373,0.599373,0.599373,0.599373,0.599503,0.599633,0.599633,0.599373,0.599373,0.599373,0.599373,0.599568,0.599762,0.599762
34,0.767033,0.623828,0.623828,0.623828,0.623828,0.623626,0.623425,0.623425,0.623828,0.623828,0.623828,0.623828,0.623693,0.623559,0.623559,0.623828,0.623828,0.623828,0.623828,0.62376,0.623693,0.623693,0.623828,0.623828,0.623828,0.623828,0.623828,0.623828,0.623828,0.623828,0.623828,0.623828,0.623828,0.623895,0.623962,0.623962,0.623828,0.623828,0.623828,0.623828,0.623962,0.624096,0.624096,0.623828,0.623828,0.623828,0.623828,0.624029,0.624231,0.624231
35,0.794456,0.648566,0.648566,0.648566,0.648566,0.648357,0.648149,0.648149,0.648566,0.648566,0.648566,0.648566,0.648427,0.648288,0.648288,0.648566,0.648566,0.648566,0.648566,0.648497,0.648427,0.648427,0.648566,0.648566,0.648566,0.648566,0.648566,0.648566,0.648566,0.648566,0.648566,0.648566,0.648566,0.648636,0.648705,0.648705,0.648566,0.648566,0.648566,0.648566,0.648705,0.648845,0.648845,0.648566,0.648566,0.648566,0.648566,0.648775,0.648984,0.648984
36,0.822196,0.6736,0.6736,0.6736,0.6736,0.673384,0.673168,0.673168,0.6736,0.6736,0.6736,0.6736,0.673456,0.673312,0.673312,0.6736,0.6736,0.6736,0.6736,0.673528,0.673456,0.673456,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.6736,0.673672,0.673744,0.673744,0.6736,0.6736,0.6736,0.6736,0.673744,0.673888,0.673888,0.6736,0.6736,0.6736,0.6736,0.673816,0.674032,0.674032
37,0.850258,0.698972,0.698972,0.698972,0.698972,0.698748,0.698523,0.698523,0.698972,0.698972,0.698972,0.698972,0.698822,0.698673,0.698673,0.698972,0.698972,0.698972,0.698972,0.698897,0.698822,0.698822,0.698972,0.698972,0.698972,0.698972,0.698972,0.698972,0.698972,0.698972,0.698972,0.698972,0.698972,0.699047,0.699121,0.699121,0.698972,0.698972,0.698972,0.698972,0.699121,0.699271,0.699271,0.698972,0.698972,0.698972,0.698972,0.699196,0.69942,0.69942
38,0.878644,0.724731,0.724731,0.724731,0.724731,0.724498,0.724265,0.724265,0.724731,0.724731,0.724731,0.724731,0.724576,0.724421,0.724421,0.724731,0.724731,0.724731,0.724731,0.724653,0.724576,0.724576,0.724731,0.724731,0.724731,0.724731,0.724731,0.724731,0.724731,0.724731,0.724731,0.724731,0.724731,0.724808,0.724886,0.724886,0.724731,0.724731,0.724731,0.724731,0.724886,0.725041,0.725041,0.724731,0.724731,0.724731,0.724731,0.724964,0.725196,0.725196
39,0.90736,0.750863,0.750863,0.750863,0.750863,0.750622,0.750381,0.750381,0.750863,0.750863,0.750863,0.750863,0.750702,0.750542,0.750542,0.750863,0.750863,0.750863,0.750863,0.750782,0.750702,0.750702,0.750863,0.750863,0.750863,0.750863,0.750863,0.750863,0.750863,0.750863,0.750863,0.750863,0.750863,0.750943,0.751023,0.751023,0.750863,0.750863,0.750863,0.750863,0.751023,0.751183,0.751183,0.750863,0.750863,0.750863,0.750863,0.751103,0.751344,0.751344
40,0.936408,0.777317,0.777317,0.777317,0.777317,0.777069,0.77682,0.77682,0.777317,0.777317,0.777317,0.777317,0.777152,0.776986,0.776986,0.777317,0.777317,0.777317,0.777317,0.777234,0.777152,0.777152,0.777317,0.777317,0.777317,0.777317,0.777317,0.777317,0.777317,0.777317,0.777317,0.777317,0.777317,0.7774,0.777483,0.777483,0.777317,0.777317,0.777317,0.777317,0.777483,0.777648,0.777648,0.777317,0.777317,0.777317,0.777317,0.777566,0.777814,0.777814
41,0.965793,0.804083,0.804083,0.804083,0.804083,0.803827,0.80357,0.80357,0.804083,0.804083,0.804083,0.804083,0.803912,0.803741,0.803741,0.804083,0.804083,0.804083,0.804083,0.803997,0.803912,0.803912,0.804083,0.804083,0.804083,0.804083,0.804083,0.804083,0.804083,0.804083,0.804083,0.804083,0.804083,0.804168,0.804254,0.804254,0.804083,0.804083,0.804083,0.804083,0.804254,0.804425,0.804425,0.804083,0.804083,0.804083,0.804083,0.804339,0.804595,0.804595
42,0.995519,0.831177,0.831177,0.831177,0.831177,0.830913,0.830648,0.830648,0.831177,0.831177,0.831177,0.831177,0.831001,0.830825,0.830825,0.831177,0.831177,0.831177,0.831177,0.831089,0.831001,0.831001,0.831177,0.831177,0.831177,0.831177,0.831177,0.831177,0.831177,0.831177,0.831177,0.831177,0.831177,0.831266,0.831354,0.831354,0.831177,0.831177,0.831177,0.831177,0.831354,0.83153,0.83153,0.831177,0.831177,0.831177,0.831177,0.831442,0.831706,0.831706
43,1.02559,0.858637,0.858637,0.858637,0.858637,0.858364,0.858091,0.858091,0.858637,0.858637,0.858637,0.858637,0.858455,0.858273,0.858273,0.858637,0.858637,0.858637,0.858637,0.858546,0.858455,0.858455,0.858637,0.858637,0.858637,0.858637,0.858637,0.858637,0.858637,0.858637,0.858637,0.858637,0.858637,0.858728,0.85882,0.85882,0.858637,0.858637,0.858637,0.858637,0.85882,0.859002,0.859002,0.858637,0.858637,0.858637,0.858637,0.858911,0.859184,0.859184
44,1.05601,0.88649,0.88649,0.88649,0.88649,0.886208,0.885926,0.885926,0.88649,0.88649,0.88649,0.88649,0.886302,0.886114,0.886114,0.88649,0.88649,0.88649,0.88649,0.886396,0.886302,0.886302,0.88649,0.88649,0.88649,0.88649,0.88649,0.88649,0.88649,0.88649,0.88649,0.88649,0.88649,0.886584,0.886678,0.886678,0.88649,0.88649,0.88649,0.88649,0.886678,0.886866,0.886866,0.88649,0.88649,0.88649,0.88649,0.886772,0.887054,0.887054
